年度,休日診療_医科_診療日,休日診療_医科_受診者,休日診療_歯科_診療日,休日診療_歯科_受診者,夜間診療_医科_診療日,夜間診療_医科_受診者
1996,72,5238,72,792,365,4970
1997,71,3828,72,739,365,4353
1998,71,4354,72,658,365,5022
1999,72,3894,73,690,366,4211
2000,72,3566,72,653,365,4207
2001,73,4042,73,602,365,4323
2002,72,5081,72,647,365,4459
2003,71,4540,71,582,366,4437
2004,72,4908,72,566,365,4801
2005,72,5400,72,533,365,5026
2006,72,4758,72,543,365,4772
2007,73,4820,73,454,366,4479
2008,72,5067,72,464,365,4481
2009,73,6790,73,449,365,6640
2010,72,5715,72,462,365,5057
2011,72,5427,72,466,366,4661
2012,73,5603,73,442,365,4550
2013,72,5322,72,460,365,4433
2014,72,5573,72,418,365,4238
2015,72,5047,72,470,366,3911
2016,72,5676,72,375,365,4351
2017,72,6097,72,282,365,4485
2018,73,5540,73,270,365,4023
2019,76,5089,76,262,366,3507
2020,72,905,72,167,365,684
2021,72,1233,72,139,365,802
2022,72,1500,72,136,365,980
2023,73,4658,73,140,366,3116
