時点,保育所_総数,保育所_市立,保育所_私立,入所児童数_総数,入所児童数_市立,入所児童数市内_私立,入所児童数_管外委託,入所児童数_都立
1955/12/31,5,0,5,108,0,108,0,…
1956/12/31,8,0,8,160,0,160,0,…
1957/12/31,8,0,8,144,0,144,0,…
1958/12/31,8,0,8,203,0,203,0,…
1959/12/31,11,0,11,276,0,276,0,…
1960/12/31,11,0,11,346,0,306,40,…
1961/12/31,11,0,11,347,0,302,45,…
1962/12/31,12,1,11,356,46,267,43,…
1963/12/31,11,1,10,314,49,245,20,…
1964/12/31,11,2,9,470,133,311,26,…
1965/12/31,9,2,7,539,141,367,31,…
1966/12/31,11,3,8,733,193,498,42,…
1967/12/31,12,4,8,884,259,577,48,…
1968/12/31,13,5,8,1107,385,666,56,…
1969/12/31,13,5,8,1129,409,644,76,…
1970/12/31,15,7,8,1337,576,684,77,…
1972/3/31,16,8,8,1390,646,678,66,…
1973/3/31,17,9,8,1509,730,709,70,…
1974/3/31,20,12,8,1724,943,722,59,…
1975/3/31,20,12,8,1826,1009,759,58,…
1976/3/31,21,13,8,1932,1126,756,50,…
1977/3/31,23,15,8,2174,1331,801,42,…
1978/3/31,23,15,8,2256,1362,841,53,…
1979/3/31,23,15,8,2264,1356,839,69,0
1980/3/31,23,15,8,2262,1385,852,25,0
1981/3/31,24,15,9,2398,1361,985,52,0
1982/3/31,23,15,8,2368,1345,962,61,0
1983/3/31,23,15,8,2396,1367,956,72,1
1984/3/31,23,15,8,2415,1369,961,84,1
1985/3/31,26,15,11,2447,1360,1023,62,2
1986/3/31,26,15,11,2466,1377,1042,45,2
1987/3/1,26,15,11,2481,1376,1043,55,7
1988/3/1,26,15,11,2488,1379,1038,71,0
1989/3/1,26,15,11,2477,1371,1026,80,0
1990/3/1,26,15,11,2475,1362,1023,90,0
1991/3/1,26,15,11,2498,1369,1015,114,0
1992/3/1,26,15,11,2457,1345,999,113,0
1993/3/1,26,15,11,2464,1345,1001,118,0
1994/3/1,26,15,11,2510,1365,1032,113,0
1995/3/1,26,15,11,2539,1380,1040,119,0
1996/3/1,26,15,11,2553,1357,1073,123,0
1997/3/1,26,15,11,2635,1393,1122,120,0
1998/3/1,26,15,11,2655,1400,1151,104,0
1999/3/1,26,15,11,2734,1398,1216,120,0
2000/3/1,27,15,12,2844,1415,1319,110,0
2001/3/1,29,15,14,3018,1434,1458,126,0
2002/3/1,30,15,15,3099,1434,1557,108,0
2003/3/1,30,15,15,3137,1453,1592,92,0
2004/3/1,30,15,15,3241,1558,1587,96,0
2005/3/1,30,15,15,3240,1563,1584,93,0
2006/3/1,31,15,16,3356,1578,1664,114,0
2007/3/1,32,16,16,3542,1692,1737,113,0
2008/3/1,32,16,16,3622,1750,1765,107,0
2009/3/1,32,16,16,3653,1742,1823,88,0
2010/3/1,35,16,19,3826,1771,1977,78,0
2011/3/1,37,16,21,3970,1762,2105,103,0
2012/3/1,38,16,22,4069,1739,2258,72,0
2013/3/1,41,16,25,4310,1745,2496,69,0
2014/3/1,41,16,25,4429,1783,2575,71,0
2015/3/1,42,16,26,4585,1794,2714,77,0
2016/3/1,42,16,26,4649,1794,2778,77,0
2017/3/1,45,15,30,4788,1613,3114,61,0
2018/3/1,47,15,32,4913,1578,3275,60,0
2019/3/1,50,14,36,5099,1475,3555,69,0
2020/3/1,53,14,39,5239,1374,3813,52,0
2021/3/1,56,13,43,5429,1293,4084,52,0
2022/3/1,58,13,45,5498,1222,4210,66,0
2023/3/1,57,12,45,5518,1177,4267,74,0
2024/3/1,56,11,45,5533,1129,4328,76,0
