時点,総数,理容所,美容所,クリーニング所,公衆浴場,旅館業,興行場,プール,水道施設,温泉利用施設,飲用井戸等,特定建築物,コインランドリー,コインシャワー,墓地等,小規模給水施設,再製資源取扱業
平成5年度,2884,157,208,206,33,26,8,60,374,…,108,59,48,1,131,1456,9
平成6年度,2993,154,209,209,34,26,9,58,445,…,108,63,39,0,131,1499,9
平成7年度,3110,158,208,218,34,25,9,58,445,…,99,64,38,0,131,1623,0
平成8年度,3246,160,206,210,34,25,9,58,465,…,70,68,38,0,132,1771,0
平成9年度,3480,163,207,217,35,25,9,58,485,…,70,70,37,0,133,1971,0
平成10年度,3156,164,206,212,35,26,9,58,502,…,70,71,35,0,133,1635,…
平成11年度,3174,168,210,219,35,24,9,59,508,…,64,70,36,0,130,1642,…
平成12年度,3169,168,213,213,34,22,9,59,507,…,64,74,35,0,129,1642,…
平成13年度,3413,168,213,213,34,21,9,58,538,…,60,77,32,0,129,1861,…
平成14年度,3387,163,217,203,32,19,9,58,547,…,59,78,32,0,129,1841,…
平成15年度,3338,156,220,200,32,20,9,57,2347,…,58,81,28,…,130,…,…
平成16年度,2908,154,222,194,34,19,18,58,1910,…,54,86,29,…,130,…,…
平成17年度,3232,151,217,187,32,20,17,58,2255,…,51,86,28,…,130,…,…
平成18年度,3186,145,225,187,33,19,17,58,2216,1,39,88,28,…,130,…,…
平成19年度,2936,143,218,185,33,20,18,56,1979,1,32,92,29,…,130,…,…
平成20年度,2888,141,218,185,32,20,18,56,1937,1,28,94,28,…,130,…,…
平成21年度,2792,141,224,177,33,20,18,56,1845,1,27,97,24,…,129,…,…
平成22年度,2753,137,227,172,31,22,18,58,1807,1,27,98,26,…,129,…,…
平成23年度,2698,138,231,169,28,20,18,58,1759,1,27,98,23,…,128,…,…
平成24年度,2671,136,239,169,28,21,18,59,1725,1,100,23,24,…,128,…,…
平成25年度,2613,133,240,163,28,20,18,58,1676,1,24,102,22,…,128,…,…
平成26年度,2562,130,239,157,27,21,18,58,1631,1,24,105,23,…,128,…,…
平成27年度,2519,129,242,154,27,22,18,58,1585,1,24,105,25,…,129,…,…
平成28年度,2481,127,248,148,27,22,18,58,1550,1,23,107,23,…,129,…,…
平成29年度,2456,123,253,143,29,23,19,57,1528,1,19,108,24,…,129,…,…
平成30年度,2439,122,258,140,29,23,18,59,1507,1,18,109,26,…,129,…,…
令和元年度,2389,123,266,131,18,26,18,60,1465,1,18,108,26,…,129,…,…
令和２年度,2186,119,261,124,18,26,18,61,1450,1,18,108,28,…,129,…,…
令和３年度,2157,116,263,114,18,26,18,61,1432,1,14,108,29,…,129,…,…
令和４年度,2157,114,270,109,19,27,18,59,1418,1,14,110,29,…,129,…,…
