年度,対象者,受診者_人数,受診者_金額(円),受診率(%)
2008,18093,9964,89191908,55.07102194
2009,18699,11751,106083546,62.84293278
2010,19600,12355,113039935,63.03571429
2011,20460,13025,126510800,63.7
2012,21336,13660,132673920,64
2013,22037,14408,139940496,65.4
2014,22780,15046,150319540,66
2015,23481,15596,155838010,66.4
2016,24486,16428,164143700,67.09
2017,25491,17038,170209620,66.8
2018,26407,17629,176113710,66.8
2019,27390,18313,182958860,66.9
2020,28083,17451,163288132,62.1
2021,28283,17180,175771860,60.7
2022,29336,17974,183874020,61.2
2023,30412,18754,192266008,61.6
