時点,被保険者_総数,強制加入_第1号被保険者,強制加入_第3号被保険者,強制加入_強制適用,高齢任意加入者,高齢任意加入者_特別,若年任意加入者,任意加入被保険者,保険料免除者,推定強制被保険者
1961/3/31,13277,…,…,9479,…,…,…,3798,…,19771
1962/3/31,13988,…,…,10185,…,…,…,3803,…,19771
1963/3/31,15093,…,…,11043,…,…,…,4050,…,12460
1964/3/31,14784,…,…,10753,…,…,…,4031,…,11841
1965/3/31,15143,…,…,10902,…,…,…,4241,…,11527
1966/3/31,17670,…,…,13058,…,…,…,4612,…,13439
1967/3/31,19607,…,…,14338,…,…,…,5269,…,15279
1968/3/31,22280,…,…,16483,…,…,…,5797,…,16765
1969/3/31,23461,…,…,16947,…,…,…,6514,…,18279
1970/3/31,25266,…,…,18276,…,…,…,6990,…,18536
1971/3/31,26507,…,…,19469,…,…,…,7038,…,20341
1972/3/31,27304,…,…,19998,…,…,…,7306,…,19989
1973/3/31,29216,…,…,20699,…,…,…,8517,…,20792
1974/3/31,31352,…,…,21581,311,235,9225,…,1107,20998
1975/3/31,33077,…,…,22014,125,425,10513,…,1134,22372
1976/3/31,35454,…,…,23096,0,12,12346,…,1460,24183
1977/3/31,37594,…,…,23793,0,1,13800,…,1449,23851
1978/3/31,40713,…,…,24992,0,1,15720,…,1526,25234
1979/3/31,42479,…,…,25792,0,0,16687,…,2034,26567
1980/3/31,43172,…,…,26063,0,0,17109,…,2247,26707
1981/3/31,43472,…,…,26418,0,0,17054,…,2312,27009
1982/3/31,42943,…,…,26126,0,0,16817,…,2095,26830
1983/3/31,42036,…,…,25752,0,0,16284,…,2405,27222
1984/3/31,41436,…,…,26351,…,…,15085,…,1997,26931
1985/3/31,41252,…,…,26478,…,…,14774,…,2835,27865
1986/3/31,40741,…,…,25804,…,…,14937,…,2588,27841
1987/3/31,49962,27648,20445,…,…,…,…,1869,2638,…
1988/3/31,50362,27938,20647,…,…,…,…,1777,2098,…
1989/3/31,50282,27873,20643,…,…,…,…,1766,1587,…
1990/3/31,49697,27575,20400,…,…,…,…,1722,1383,…
1991/3/31,49048,27362,19974,…,…,…,…,1712,1211,…
1992/3/31,51339,30041,19670,…,…,…,…,1628,1794,…
1993/3/31,52385,31422,19867,…,…,…,…,1096,2211,…
1994/3/31,52923,32099,19711,…,…,…,…,1113,2227,…
1995/3/31,53695,32796,19738,…,…,…,…,1161,2503,…
1996/3/31,54359,33320,19847,…,…,…,…,1192,2814,…
1997/3/31,55262,33813,20279,…,…,…,…,1170,2964,…
1998/3/31,56986,35218,20690,…,…,…,…,1078,3467,…
1999/3/31,61335,39632,20716,…,…,…,…,987,4572,…
2000/3/31,62033,40505,20634,…,…,…,…,894,5551,…
2001/3/31,62255,40880,20516,…,…,…,…,859,6889,…
2002/3/31,63503,42177,20459,…,…,…,…,867,7328,…
2003/3/31,63828,42491,20503,…,…,…,…,834,7155,…
2004/3/31,63249,42205,20195,…,…,…,…,849,7417,…
2005/3/31,63086,41885,20344,…,…,…,…,857,7974,…
2006/3/31,62846,41668,20376,…,…,…,…,802,8992,…
2007/3/31,61583,40437,20384,…,…,…,…,762,9349,…
2008/3/31,60115,38613,20748,…,…,…,…,754,8536,…
2009/3/31,59812,38197,20859,…,…,…,…,756,8638,…
2010/3/31,59669,38084,20865,…,…,…,…,720,9130,…
2011/3/31,60009,38385,20943,…,…,…,…,681,9766,…
2012/3/31,59608,38435,20489,…,…,…,…,684,9972,…
2013/3/31,59442,38392,20375,…,…,…,…,675,10753,…
2014/3/31,58537,37581,20344,…,…,…,…,612,11421,…
2015/3/31,57475,36638,20245,…,…,…,…,592,11555,…
2016/3/31,56492,35727,20186,…,…,…,…,579,11420,…
2017/3/31,54222,33890,19805,…,…,…,…,527,11358,…
2018/3/31,52571,32552,19514,…,…,…,…,505,11190,…
2019/3/31,52030,32410,19111,…,…,…,…,509,11723,…
2020/3/31,51526,32407,18593,…,…,…,…,526,11826,…
2021/3/31,51209,32655,18034,…,…,…,…,520,12517,…
2022/3/31,50656,32663,17444,…,…,…,…,549,12998,…
2023/3/31,49088,31910,16612,…,…,…,…,566,13374,…
2024/3/31,48227,31832,15803,…,…,…,…,592,13331,…
