年度,総数,咬傷犬_登録犬_注射犬,咬傷犬_登録犬_未注射犬,咬傷犬_未登録犬_注射犬,咬傷犬_未登録犬_未注射犬,咬傷犬_不明犬,けい留_あり,けい留_なし
1973,50,28,3,1,15,3,31,19
1974,53,28,1,1,15,8,29,24
1975,60,22,7,4,8,19,24,36
1976,39,20,3,4,4,8,18,21
1977,31,17,1,0,9,4,20,11
1978,29,12,2,1,10,4,13,16
1979,21,14,1,1,3,2,17,4
1980,13,9,1,0,3,0,8,5
1981,23,10,1,0,12,0,11,12
1982,33,26,2,3,2,0,18,15
1983,30,15,3,1,11,0,16,14
1984,31,16,2,0,13,0,22,9
1985,29,10,3,3,9,4,15,14
1986,25,10,5,0,6,4,11,14
1987,28,16,0,0,8,4,13,15
1988,35,15,0,1,14,5,20,15
1989,26,13,0,0,5,8,12,14
1990,8,1,1,1,2,3,6,11
1991,18,9,0,0,4,5,4,14
1992,21,9,0,0,7,4,9,12
1993,22,8,0,0,5,9,3,19
1994,20,9,0,0,6,5,5,15
1995,7,4,0,0,1,2,2,5
1996,13,7,2,0,2,2,9,4
1997,11,9,1,0,0,1,5,6
1998,10,9,0,0,1,0,4,6
1999,9,4,3,0,2,0,7,2
2000,10,7,1,0,1,1,6,4
2001,5,0,1,2,0,2,2,3
2002,6,3,1,0,0,2,3,3
2003,10,9,0,0,1,0,7,3
2004,2,2,0,0,0,0,2,0
2005,6,4,1,0,1,0,5,1
2006,5,2,0,0,1,2,2,3
2007,10,6,3,0,0,1,4,6
2008,7,5,0,1,1,0,1,6
2009,4,3,1,0,0,0,3,1
2010,4,4,0,0,0,0,2,2
2011,3,2,0,0,0,1,2,1
2012,5,5,0,0,0,0,4,1
2013,5,4,0,0,1,0,4,1
2014,6,5,0,0,0,1,4,2
2015,3,3,0,0,0,0,3,0
2016,6,5,0,0,1,0,5,1
2017,6,3,0,1,2,0,3,3
2018,11,10,0,0,0,1,9,2
2019,9,7,0,0,1,1,7,2
2020,11,7,1,1,1,1,7,4
2021,5,3,1,0,0,1,4,1
2022,10,9,0,0,0,1,8,2
