年度,総数,老齢年金,通算老齢年金,障害年金,障害基礎年金,遺族基礎年金,老齢基礎年金,母子年金,準母子年金,遺児年金,寡婦年金,(再掲)障害基礎年金無拠出,死亡一時金
1963/3/31,10,0,…,0,…,…,…,8,0,2,0,…,…
1964/3/31,18,0,…,0,…,…,…,14,1,4,0,…,…
1965/3/31,38,0,…,0,…,…,…,33,1,4,0,…,20
1966/3/31,47,0,…,1,…,…,…,42,1,3,0,…,20
1967/3/31,53,0,…,2,…,…,…,48,1,2,0,…,20
1968/3/31,63,0,…,5,…,…,…,56,1,1,0,…,25
1969/3/31,73,0,0,9,…,…,…,61,0,3,0,…,24
1970/3/31,88,0,0,12,…,…,…,72,0,4,0,…,26
1971/3/31,102,0,0,19,…,…,…,79,0,4,0,…,10
1972/3/31,234,127,0,19,…,…,…,82,0,3,3,…,40
1973/3/31,419,299,5,18,…,…,…,86,…,1,10,…,52
1974/3/31,601,461,7,22,…,…,…,98,…,1,12,…,57
1975/3/31,802,634,14,28,…,…,…,101,…,7,18,…,40
1976/3/31,1677,1479,25,34,…,…,…,106,…,7,26,…,54
1977/3/31,2186,1911,59,57,…,…,…,116,…,4,39,…,52
1978/3/31,2719,2346,139,67,…,…,…,121,…,5,41,…,38
1979/3/31,3269,2821,198,79,…,…,…,126,…,6,39,…,61
1980/3/31,3858,3354,232,99,…,…,…,127,…,4,42,…,52
1981/3/31,4562,3850,402,117,…,…,…,139,…,6,48,…,59
1982/3/31,5135,4196,613,139,…,…,…,137,…,4,46,…,58
1983/3/31,5861,4578,925,164,0,0,0,142,…,8,44,…,46
1984/3/31,6563,4964,1222,179,0,0,0,151,…,5,42,…,51
1985/3/31,6974,5131,1453,187,0,0,0,157,…,6,40,…,39
1986/3/31,7724,5488,1837,207,0,0,0,146,…,3,43,…,51
1987/3/31,8374,5704,2174,207,9,20,87,127,…,2,44,…,…
1988/3/31,8501,5604,2332,195,28,26,188,92,…,1,35,…,…
1989/3/31,8821,5648,2535,195,35,17,279,77,…,1,34,…,…
1990/3/31,9367,5700,2847,196,52,32,443,62,…,0,35,…,…
1991/3/31,9747,5677,3116,190,66,32,583,50,…,0,33,729,…
1992/3/31,10907,5579,3165,178,92,45,1775,41,…,0,32,782,…
1993/3/31,12089,5420,3133,173,107,51,3141,32,…,0,32,812,…
1994/3/31,13489,5251,3135,166,128,49,4701,25,…,0,34,857,…
1995/3/31,14806,5060,3128,156,143,51,6214,20,…,0,34,872,…
1996/3/31,16295,4905,3082,150,173,50,7877,16,…,0,42,918,…
1997/3/31,17733,4677,3025,144,200,57,9578,12,…,0,40,954,…
1998/3/31,19548,4472,2970,140,215,50,11651,7,…,0,43,967,…
1999/3/31,21188,4244,2871,133,251,47,13589,7,…,0,46,1009,…
2000/3/31,22875,4069,2806,132,279,72,15461,7,…,0,49,1063,…
2001/3/31,24729,3848,2735,131,310,70,17582,4,…,0,49,1086,…
2002/3/31,26515,3643,2664,125,338,81,19609,1,…,0,54,1136,…
2003/3/31,28190,3402,2570,117,348,74,21626,1,…,0,52,1177,…
2004/3/31,29986,3167,2483,114,387,72,23706,0,…,0,57,1235,…
2005/3/31,31659,2953,2392,105,430,77,25648,0,…,0,54,1282,…
2006/3/31,33530,2739,2293,100,473,73,27808,0,…,0,44,1315,…
2007/3/31,35298,2551,2187,96,506,66,29851,0,…,0,41,1353,…
2008/3/31,36980,2349,2057,92,518,65,31860,0,…,0,39,1376,…
2009/3/31,38863,2150,1937,87,558,62,34036,0,…,…,33,1420,…
2010/3/31,40293,1895,1804,78,594,59,35834,0,…,…,29,1449,…
2011/3/31,41455,1692,1674,72,638,59,37289,0,…,…,31,1447,…
2012/3/31,42938,1523,1519,70,661,57,39079,0,…,…,29,1535,…
2013/3/31,45041,1398,1361,64,703,53,41433,…,…,…,29,1604,…
2014/3/31,48124,1235,1228,60,729,42,44805,…,…,…,25,1642,…
2015/3/31,48667,1074,1089,56,765,45,45615,…,…,…,23,1689,…
2016/3/31,50085,940,954,50,807,44,47268,…,…,…,22,1732,…
2017/3/31,51168,829,828,48,830,52,48556,…,…,…,25,1778,…
2018/3/31,52851,693,711,44,860,49,50473,…,…,…,21,1803,…
2019/3/31,53533,574,605,40,885,53,51355,…,…,…,21,1881,…
2020/3/31,54358,502,514,34,907,58,52325,…,…,…,18,1920,…
2021/3/31,54826,422,435,27,938,57,52930,…,…,…,17,1973,…
2022/3/31,55122,360,356,26,967,69,53325,…,…,…,19,2031,…
2023/3/31,55270,275,294,23,987,67,53609,…,…,…,15,2081,…
2024/3/31,55597,224,231,17,1020,68,54020,…,…,…,17,2125,…
