年度,合計_受診率(%),合計_1件当たり日数,合計_1件当たり診療費(円),1人当たり医療費(円)_診療費,1人当たり医療費(円)_療養諸費,1人当たり医療費(円)_療養諸費保険者負担額,入院_受診率(%),入院1件当たり_日数,入院1件当たり_診療費(円),入院外_受診率(%),入院外1件当たり_日数,入院外1件当たり_診療費(円),歯科_受診率(%),歯科_1件当たり日数,歯科_1件当たり診療費(円)
1973,551.4,3.3,4475,24673,24864,17309,10.6,16.3,64276,451.1,3,3290,89.7,3.3,3555
1974,573.2,3.3,6123,35035,35388,24645,10.7,16.6,100426,469.1,3,4246,93.4,3.2,4658
1975,582,3.4,7297,42469,43075,30066,10.9,17.5,127149,474.8,3.1,4936,96.4,3.1,5399
1976,595.1,3.3,8298,49382,50390,35140,11,17.9,144763,486.1,3,5679,98,3.1,5994
1977,595.5,3.4,9647,57445,58773,40984,12.6,18.7,163541,482.5,3,6184,100.3,3.1,6899
1978,602.4,3.3,11191,67411,69175,48205,13.1,18.8,189502,484.6,3,6927,104.7,2.9,8616
1979,625.9,3.3,12439,77853,80298,55977,14.5,19.7,212399,505.7,2.9,7323,105.7,2.9,9390
1980,640.4,3.2,13529,86639,89753,62589,15.9,20.5,223146,517.1,2.8,7781,107.4,2.9,10152
1981,658.2,3.2,14453,95127,99590,69538,17.5,20.4,233201,520.3,2.8,7986,110.4,2.9,10880
1982,662.3,3.2,15092,99959,102535,73438,17.3,20.5,245473,532.4,2.7,8485,112.7,2.9,11007
1983,588.1,2.9,13466,81534,82718,57674,12.5,18.7,231544,462.4,2.5,8079,113.1,2.9,11395
1984,604.3,2.9,13850,86220,87427,61501,12.8,18.6,244256,477.3,2.4,8147,114.2,2.9,11794
1985,611.4,2.9,15086,92241,96517,68794,13.8,19,263127,480.8,2.4,8672,116.8,2.9,12182
1986,628.7,2.8,16038,100827,105933,75607,15,19.2,267253,491.1,2.3,9304,122.6,2.9,12364
1987,643.3,2.8,16444,105784,111967,79961,15.3,19.4,268516,503.2,2.3,9738,124.8,2.8,12592
1988,662.3,2.8,16634,110165,116655,83291,15.9,19.8,268503,516.3,2.3,9917,130.1,2.8,12441
1989,677.5,2.8,17347,117529,125154,89566,16.6,19.5,275499,525.8,2.2,10470,135.1,2.7,12381
1990,684.4,2.8,18233,125151,133686,95598,17.5,19.9,289995,532.7,2.2,10722,136.2,2.7,12682
1991,718.2,2.7,18611,133662,144161,103269,18.2,19.9,292143,556.6,2.2,11218,143.4,2.7,12674
1992,723.7,2.7,19934,144263,156018,111615,18,20.3,333971,565,2.2,11542,140.7,2.6,13476
1993,729.2,2.7,20088,146489,160071,114543,17.7,20.1,330132,569.8,2.2,12013,141.8,2.6,13844
1994,743.7,2.7,20662,153657,172281,123227,18.3,19.2,337200,585.8,2.2,12304,139.6,2.7,14232
1995,749,2.6,20356,152465,176351,126736,18,18.9,333071,588.2,2.1,12284,142.8,2.6,14244
1996,758.7,2.6,20789,157726,185164,132770,17.8,18.8,351260,594.3,2.1,12317,146.6,2.6,14995
1997,750.3,2.6,20969,157331,187330,133107,17.8,18.6,370310,587.3,2.1,11899,145.2,2.6,14948
1998,774.9,2.5,20019,155136,186252,131524,16.8,18.7,374904,610.5,2,11520,147.7,2.1,14851
1999,775.7,2.5,19967,154882,188115,132603,16.7,18.1,376856,610,2,11544,149,2.6,14568
2000,782.7,2.4,20152,157727,191675,135058,16.4,17.5,394160,618.5,2,11500,147.8,2.5,14860
2001,792.8,2.3,19651,155792,192808,135655,15.4,17.7,407470,628.4,1.9,11277,149,2.5,14829
2002,713.2,2.3,19374,138171,172466,121783,14.1,17.3,397721,562.7,1.9,11105,136.4,2.5,14457
2003,801.5,2.2,19725,158102,198872,141470,15.3,17.4,425399,634.8,1.8,11226,151.4,2.4,14406
2004,832.9,2.2,19596,163213,207810,150009,16,16.9,417056,657.3,1.8,11279,159.6,2.4,13944
2005,887.6,2.1,19685,174723,224484,164588,16.5,16.3,426041,691.1,1.8,11370,162.8,2.3,13682
2006,908.7,2.1,19260,175013,226097,167777,16.6,16.1,426172,722.6,1.7,11310,169.5,2.3,13231
2007,939.2,2.1,19832,186274,242901,180768,17.4,16.4,454100,750.6,1.7,11309,171.2,2.3,13107
2008,957,2,20325,194506,252888,183802,18,16.1,455361,764.6,1.7,11696,174.3,2.2,13205
2009,951.1,2,20266,190062,253132,183830,17.2,16.1,466141,764.6,1.6,11861,170.8,2.2,13012
2010,954,2,20815,198654,255668,189032,17.1,15.8,489354,761.5,1.6,12082,175.4,2.2,13015
2011,969.8,2,21182,204159,270316,196051,17.4,16,509312,770.3,1.6,12119,182.1,2.1,12885
2012,991.7,1.9,21830,214331,281346,204266,17.8,15.9,538311,789,1.6,12271,184.8,2.1,12807
2013,1007.1,1.9,22198,223556,294511,213993,18.5,15.5,544596,800.9,1.6,12352,187.8,2.1,12828
2014,1028.4,1.9,21933,225564,298524,217264,18,15.6,545110,816.5,1.5,12630,193.9,2,12603
2015,1044.3,1.8,22564,235624,312138,227520,18.3,15.4,557936,825.2,1.5,13063,200.7,2,12716
2016,1061.6,1.8,22795,241982,321348,233769,18.9,15.6,556414,839,1.5,13237,203.7,1.9,12557
2017,1065.6,1.8,23449,249863,330395,241107,19.5,15.7,561267,839.8,1.5,13625,206.3,1.9,12660
2018,1074.2,1.8,24199,259931,338504,246971,20.2,15.7,577588,846.4,1.5,13824,207.6,1.9,12751
2019,1077,1.8,24870,267851,348108,253696,19.9,15.6,601419,846.6,1.5,14350,210.5,1.8,12573
2022,1086.4,1.8,26846,291656,377840,276025,20.1,15.8,654592,849.2,1.5,15526,217.1,1.7,13044
2023,1102.7,1.7,26501,292237,382394,279109,19.3,15.9,660871,860.9,1.4,15789,222.5,1.7,12809
