時点,被保険者数(人),現役並み所得者数(人)(再掲),低所得Ⅰ(人)(再掲),低所得Ⅱ(人)(再掲)
2009/3/31,19079,2997,3387,2823
2010/3/31,19997,2878,3519,3075
2011/3/31,21044,2978,3689,3328
2012/3/31,21902,3012,3847,3585
2013/3/31,22756,3018,3910,3975
2014/3/31,23406,3019,4037,4205
2015/3/31,24175,3041,4223,4418
2016/3/31,25139,3047,4447,4695
2017/3/31,26239,3270,4600,4979
2018/3/31,27023,3328,4603,5257
2019/3/31,28077,3529,4696,5494
2020/3/31,28796,3546,4731,5806
2021/3/31,29014,3506,4740,5997
2022/3/31,29707,3683,4697,6344
2023/3/31,30939,3932,4802,6745
2024/3/31,32114,4072,4886,7065
