年度,対象者,助成件数,受診率(％)
1974,39269,14758,37.6
1975,35709,15210,42.6
1976,34072,13355,39.2
1977,35380,11534,32.6
1978,27159,12331,45.4
1979,28711,13658,47.6
1980,28847,13949,48.4
1981,28432,14327,50.4
1982,26264,13320,50.7
1983,25195,12758,50.6
1984,26032,13825,53.1
1985,24257,13297,54.8
1986,23918,13448,56.2
1987,24532,13510,55.1
1988,24259,13228,54.5
1989,23658,12987,54.9
1990,23528,13231,56.2
1991,21777,13816,63.4
1992,22871,14554,63.6
1993,29412,15659,53.2
1994,52677,48500,92.1
1995,49298,55696,113
1996,47971,58556,122.1
1997,46086,58043,125.9
1998,50072,66146,132.1
1999,62441,79399,127.2
2000,80134,102349,127.7
2001,105452,132905,126
2002,130360,172149,132.1
2003,141297,194479,137.6
2004,161372,215067,133.3
2005,177059,260449,147.1
2006,176263,261403,148.3
2007,177204,257641,145.4
2008,177781,266105,149.7
2009,177166,250926,141.6
2010,179308,275373,153.6
2011,180196,276659,153.5
2012,180380,288439,159.906
2013,189972,286249,150.7
2014,179546,286768,159.7
2015,181295,295115,162.8
2016,180386,308707,171.1
2017,175938,300213,170.6
2018,172782,296927,171.9
2019,166756,282109,169.2
2020,160892,199408,123.9
2021,153872,229386,149.1
2022,145905,229653,157.4
2023,139740,256729,183.7
