年度,総数(人),大人(人),子ども(人)
1974,2477,2155,322
1975,1358,1083,275
1976,1653,1356,297
1977,1551,1149,402
1978,2096,1462,634
1979,2029,1267,762
1980,2654,1739,915
1981,1970,1201,769
1982,1765,1009,756
1983,0,0,0
1984,7264,4848,2416
1985,9107,6944,2163
1986,6445,4885,1560
1987,7188,5438,1750
1988,8915,6659,2256
1989,17648,12742,4906
1990,19046,13413,5633
1991,17461,12104,5357
1992,18458,13317,5141
1993,18506,11748,6758
1994,17831,12773,5058
1995,16061,11761,4300
1996,15779,11314,4465
1997,13577,9704,3873
1998,13645,9718,3927
1999,12716,9204,3512
2000,14129,10571,3558
2001,14003,10067,3936
2002,12374,8684,3690
2003,12243,8160,4083
2004,12326,6935,5391
2005,14898,8136,6762
2006,14654,8756,5898
2007,16523,9661,6862
2008,14928,8002,6926
2009,14484,8067,6417
2010,15204,8402,6802
2011,15577,5080,10497
2012,15476,5019,10457
2013,15574,4895,10679
2014,15549,5043,10506
2015,12866,3274,9592
2016,13931,4359,9572
2017,14573,4295,10278
2018,14360,4591,9769
2019,15350,4818,10532
2020,782,548,234
2021,2329,508,1821
2022,4838,1374,3464
2023,0,0,0
