"年度","区分","18～20歳[人]","21～30歳[人]","31～40歳[人]","41～50歳[人]","51～60歳[人]","61歳以上[人]","合計[人]"
"2015","合計","1","6","7","8","5","3","30"
"2016","合計","1","5","7","6","4","3","26"
"2017","合計","1","5","7","5","3","1","22"
"2018","合計","3","6","7","7","5","2","30"
"2019","性別 男","0","4","3","4","2","3","16"
"2019","性別 女","3","3","4","2","2","0","14"
"2019","障害別 知的障害","3","7","6","6","4","3","29"
"2019","障害別 身体障害","0","1","1","0","0","1","3"
"2019","障害別 （重複障害）","0","1","0","0","0","1","2"
"2019","障害等級 愛の手帳 1・2度","0","1","3","1","0","1","6"
"2019","障害等級 愛の手帳 3・4度","2","6","3","5","4","2","22"
"2019","障害等級 愛の手帳 手帳なし","1","0","1","0","0","0","2"
"2019","障害等級 身体障害者手帳 1・2級","0","0","1","0","0","0","1"
"2019","障害等級 身体障害者手帳 3・4級","0","0","0","0","0","0","0"
"2019","障害等級 身体障害者手帳 5・6級","0","1","0","0","0","1","2"
"2019","障害等級 身体障害者手帳 手帳なし","3","6","6","6","4","2","27"

"令和元年度港区行政資料集　障害保健福祉センター就労継続支援B型事業利用状況","Ver201904",,,,,,,
