事項１,事項２,平成29（件）,30（件）,令和元（件）,2（件）,3（件）
総数,,75,61,49,51,87
組合承認・組合活動等,,3,2,5,-,2
協約締結・全面改定,,-,-,1,-,-
協約効力・解釈,,1,-,-,-,-
賃金等,,33,19,15,17,34
賃金等,賃金増額,4,2,3,1,5
賃金等,一時金,6,3,5,3,5
賃金等,諸手当,6,5,-,3,4
賃金等,その他賃金に関するもの,11,9,6,7,10
賃金等,退職一時金・年金,3,-,1,1,4
賃金等,解雇・休業手当,3,-,-,2,6
給与以外の労働条件,,14,17,9,8,20
給与以外の労働条件,労働時間,2,3,1,2,2
給与以外の労働条件,休日・休暇,3,3,1,2,1
給与以外の労働条件,作業方法の変更,-,-,-,-,2
給与以外の労働条件,定年制,1,2,-,1,3
給与以外の労働条件,その他の労働条件,8,9,7,3,12
経営又は人事,,20,23,11,20,24
経営又は人事,事業休廃止・事業縮小,-,1,1,1,-
経営又は人事,企業合併・営業譲渡,-,-,-,1,-
経営又は人事,人員整理,-,1,-,1,-
経営又は人事,配置転換,1,4,2,4,4
経営又は人事,解雇,17,15,7,10,14
経営又は人事,その他の経営・人事,2,2,1,3,6
福利厚生,,-,-,2,1,2
団交ﾙｰﾙ設定・当事者の態度等,,-,-,-,-,-
事前協議制,,-,-,1,-,-
その他,,4,-,5,5,5
