規模,平成28,29,30,令和元,2
総数（件）,87,73,60,48,56
総数（％）,100,100,100,100,100
49人以下（件）,11,12,11,7,8
49人以下（％）,12.6,16.4,18.3,14.6,14.3 
50～99（件）,12,6,8,8,9
50～99（％）,13.8,8.2,13.3,16.7,16.1 
100～199（件）,16,13,9,3,12
100～199（％）,18.4,17.8,15,6.3,21.4 
200～299（件）,6,4,3,2,2
200～299（％）,6.9,5.5,5,4.2,3.6 
300～499（件）,12,10,11,4,9
300～499（％）,13.8,13.7,18.3,8.3,16.1 
500～999（件）,11,9,6,9,6
500～999（％）,12.6,12.3,10,18.8,10.7 
"1,000人以上（件）",17,18,10,12,8
"1,000人以上（％）",19.5,24.7,16.7,25,14.3 
不詳（件）,2,1,2,3,2
不詳（％）,2.3,1.4,3.3,6.3,3.6 
