規模,平成29,30,令和元,2,3
総数（件）,73,60,48,56,83
総数（％）,100,100,100,100,100
49人以下（件）,12,11,7,8,10
49人以下（％）,16.4,18.3,14.6,14.3 ,12.1
50～99（件）,6,8,8,9,10
50～99（％）,8.2,13.3,16.7,16.1 ,12.1
100～199（件）,13,9,3,12,10
100～199（％）,17.8,15,6.3,21.4 ,12.1
200～299（件）,4,3,2,2,3
200～299（％）,5.5,5,4.2,3.6 ,3.6
300～499（件）,10,11,4,9,9
300～499（％）,13.7,18.3,8.3,16.1 ,10.8
500～999（件）,9,6,9,6,17
500～999（％）,12.3,10,18.8,10.7 ,20.4
"1,000人以上（件）",18,10,12,8,18
"1,000人以上（％）",24.7,16.7,25,14.3 ,21.7
不詳（件）,1,2,3,2,6
不詳（％）,1.4,3.3,6.3,3.6 ,7.2
