区分,平成28,29,30,令和元,2
総数（件）,97,105,97,95,116
総数（％）,100,100,100,100,100
49人以下（件）,29,27,33,23,26
49人以下（％）,29.9,25.7,34,24.2,22.4
50～99（件）,11,18,8,8,11
50～99（％）,11.3,17.1,8.2,8.4,9.5
100～199（件）,9,14,6,9,12
100～199（％）,9.3,13.3,6.2,9.5,10.3
200～299（件）,5,6,7,7,5
200～299（％）,5.2,5.7,7.2,7.4,4.3
300～499（件）,7,9,5,5,6
300～499（％）,7.2,8.6,5.2,5.3,5.2
500～999（件）,4,5,4,9,4
500～999（％）,4.1,4.8,4.1,9.5,3.4
"1,000人以上（件）",14,22,27,19,33
"1,000人以上（％）",14.4,21,27.8,20,28.4
不詳（件）,18,4,7,15,19
不詳（％）,18.6,3.8,7.2,15.8,16.4
