区分,件数平成29（件）,件数30（件）,件数令和元（件）,件数2（件）,件数3（件）,構成比平成29（％）,構成比30（％）,構成比令和元（％）,構成比2（％）,構成比3（％）
総数,105,97,95,116,99,100,100,100,100 ,100
Ａ・Ｂ・Ｃ　農・林・漁・鉱,-,-,- ,- ,- ,-,-,-,- ,- 
Ｄ　建設業,2,3,3,2,5,1.9,3.1,3.2,1.7 ,5.1
Ｅ　製造業,6,9,15,9,10,5.7,9.3,15.8,7.8 ,10.1
Ｆ　電気・ガス・熱供給・水道業,1,2,- ,7,1,1,2.1,- ,6.0 ,1
Ｇ　情報通信業,11,13,4,13,6,10.5,13.4,4.2,11.2 ,6.1
Ｈ　運輸・郵便業,24,17,13,20,14,22.9,17.5,13.7,17.2 ,14.1
Ｉ　卸売・小売業,13,9,13,9,12,12.4,9.3,13.7,7.8 ,12.1
Ｊ・Ｋ　金融・保険・不動産・物品賃貸業,5,5,6,3,5,4.8,5.2,6.3,2.6 ,5.1
Ｌ　学術研究・専門サービス業,7,3,4,3,2,6.7,3.1,4.2,2.6 ,2
Ｍ　宿泊業・飲食サービス業,1,6,10,5,9,1,6.2,10.5,4.3 ,9.1
Ｎ　生活関連サービス業・娯楽業,6,2,3,2,4,5.7,2.1,3.2,1.7 ,4
Ｏ　教育・学習支援業,7,8,6,11,10,6.7,8.2,6.3,9.5 ,10.1
Ｐ　医療・福祉,13,12,6,16,13,12.4,12.4,6.3,13.8 ,13.1
Ｑ　複合サービス事業,-,-,1,2,- ,-,-,1.1,1.7 ,- 
Ｒ　サービス業,7,4,10,12,7,6.7,4.1,10.5,10.3 ,7.1
Ｓ　公務,2,4,1,2,- ,1.9,4.1,1.1,1.7 ,- 
Ｔ　分類不能,-,-,- ,- ,1,-,-,- ,- ,1
