区分,件数平成28（件）,件数29（件）,件数30（件）,件数令和元（件）,件数2（件）,構成比平成28（％）,構成比29（％）,構成比30（％）,構成比令和元（％）,構成比2（％）
総数,97,105,97,95,116,100,100,100,100,100 
Ａ・Ｂ・Ｃ　農・林・漁・鉱,-,-,-,- ,- ,-,-,-,-,- 
Ｄ　建設業,3,2,3,3,2,3.1,1.9,3.1,3.2,1.7 
Ｅ　製造業,14,6,9,15,9,14.4,5.7,9.3,15.8,7.8 
Ｆ　電気・ガス・熱供給・水道業,-,1,2,- ,7,-,1,2.1,- ,6.0 
Ｇ　情報通信業,11,11,13,4,13,11.3,10.5,13.4,4.2,11.2 
Ｈ　運輸・郵便業,13,24,17,13,20,13.4,22.9,17.5,13.7,17.2 
Ｉ　卸売・小売業,13,13,9,13,9,13.4,12.4,9.3,13.7,7.8 
Ｊ・Ｋ　金融・保険・不動産・物品賃貸業,3,5,5,6,3,3.1,4.8,5.2,6.3,2.6 
Ｌ　学術研究・専門サービス業,2,7,3,4,3,2.1,6.7,3.1,4.2,2.6 
Ｍ　宿泊業・飲食サービス業,11,1,6,10,5,11.3,1,6.2,10.5,4.3 
Ｎ　生活関連サービス業・娯楽業,4,6,2,3,2,4.1,5.7,2.1,3.2,1.7 
Ｏ　教育・学習支援業,6,7,8,6,11,6.2,6.7,8.2,6.3,9.5 
Ｐ　医療・福祉,9,13,12,6,16,9.3,12.4,12.4,6.3,13.8 
Ｑ　複合サービス事業,-,-,-,1,2,-,-,-,1.1,1.7 
Ｒ　サービス業,8,7,4,10,12,8.2,6.7,4.1,10.5,10.3 
Ｓ　公務,-,2,4,1,2,-,1.9,4.1,1.1,1.7 
Ｔ　分類不能,-,-,-,- ,- ,-,-,-,- ,- 
