事項１,事項２,平成28(件）,29（件）,30（件）,令和元（件）,2（件）
総数,,77,75,61,49,51
組合承認・組合活動等,,4,3,2,5,-
協約締結・全面改定,,-,-,-,1,-
協約効力・解釈,,-,1,-,-,-
賃金等,,24,33,19,15,17
賃金等,賃金増額,1,4,2,3,1
賃金等,一時金,3,6,3,5,3
賃金等,諸手当,3,6,5,-,3
賃金等,その他賃金に関するもの,14,11,9,6,7
賃金等,退職一時金・年金,1,3,-,1,1
賃金等,解雇・休業手当,2,3,-,-,2
給与以外の労働条件,,14,14,17,9,8
給与以外の労働条件,労働時間,2,2,3,1,2
給与以外の労働条件,休日・休暇,2,3,3,1,2
給与以外の労働条件,作業方法の変更,-,-,-,-,-
給与以外の労働条件,定年制,-,1,2,-,1
給与以外の労働条件,その他の労働条件,10,8,9,7,3
経営又は人事,,30,20,23,11,20
経営又は人事,事業休廃止・事業縮小,3,-,1,1,1
経営又は人事,企業合併・営業譲渡,-,-,-,-,1
経営又は人事,人員整理,2,-,1,-,1
経営又は人事,配置転換,5,1,4,2,4
経営又は人事,解雇,16,17,15,7,10
経営又は人事,その他の経営・人事,4,2,2,1,3
福利厚生,,-,-,-,2,1
団交ﾙｰﾙ設定・当事者の態度等,,-,-,-,-,-
事前協議制,,-,-,-,1,-
その他,,5,4,-,5,5
