事項１,事項２,平成28（件）,29（件）,30（件）,令和元（件）,2（件）
総数,,189,158,126,103,116
１件当たり平均事項数,,2.17,2.16,2.1,2.15,2.07
組合承認・組合活動等,,4,7,3,5,3
協約締結・全面改定,,-,-,2,1,-
協約効力・解釈,,3,2,-,-,-
賃金等,,39,42,29,24,31
賃金等,賃金増額,2,4,2,3,1
賃金等,一時金,5,6,3,7,4
賃金等,諸手当,5,9,9,-,6
賃金等,その他賃金に関するもの,19,15,12,12,12
賃金等,退職一時金・年金,3,5,3,1,2
賃金等,解雇・休業手当,5,3,-,1,6
給与以外の労働条件,,24,21,19,13,9
給与以外の労働条件,労働時間,3,4,3,3,3
給与以外の労働条件,休日・休暇,2,3,3,2,2
給与以外の労働条件,作業方法の変更,-,-,-,-,-
給与以外の労働条件,定年制,1,2,2,-,1
給与以外の労働条件,その他の労働条件,18,12,11,8,3
経営又は人事,,59,28,34,19,28
経営又は人事,事業休廃止・事業縮小,6,1,1,1,1
経営又は人事,企業合併・営業譲渡,1,-,-,-,1
経営又は人事,人員整理,3,-,1,-,1
経営又は人事,配置転換,9,1,5,3,4
経営又は人事,解雇,32,24,24,14,17
経営又は人事,その他の経営・人事,8,2,3,1,4
福利厚生,,1,-,-,2,1
団交促進,,54,53,39,31,33
事前協議制,,-,-,-,1,0
その他,,5,5,-,7,11
