理由,平成29,30,令和元,2,3
総数（件）,12,8,7,6 ,7
総数（％）,100,100,100,100 ,100
自主交渉で解決、又はその見通しがつく（件）,3,2,1,-,1
自主交渉で解決、又はその見通しがつく（％）,25,25,14.3,,14.2
自主交渉で解決したい（件）,1,1,1,1,-
自主交渉で解決したい（％）,8.3,12.5,14.3,16.7 ,
審査手続又は裁判所で和解（件）,-,1,1,-,-
審査手続又は裁判所で和解（％）,,12.5,14.3,,
不当労働行為事件命令交付（件）,-,-,-,-,-
不当労働行為事件命令交付（％）,,,,,
調停申請、不当労働行為申立、裁判所提訴（件）,2,1,-,2,3
調停申請、不当労働行為申立、裁判所提訴（％）,16.7,12.5,,33.3 ,42.9
調整拒否（件）,2,1,4,3,-
調整拒否（％）,16.7,12.5,57.1,50.0 ,
当事者主張固持歩みより困難（件）,3,-,-,-,-
当事者主張固持歩みより困難（％）,25,,,,
その他（件）,1,2,-,-,3
その他（％）,8.3,25,,,42.9
