区分,平成29,30,令和元,2,3
総数（件）,105,97,95,116,99
総数（％）,100,100,100,100,100
49人以下（件）,27,33,23,26,14
49人以下（％）,25.7,34,24.2,22.4,14.1
50～99（件）,18,8,8,11,7
50～99（％）,17.1,8.2,8.4,9.5,7.1
100～199（件）,14,6,9,12,15
100～199（％）,13.3,6.2,9.5,10.3,15.2
200～299（件）,6,7,7,5,2
200～299（％）,5.7,7.2,7.4,4.3,2
300～499（件）,9,5,5,6,3
300～499（％）,8.6,5.2,5.3,5.2,3
500～999（件）,5,4,9,4,7
500～999（％）,4.8,4.1,9.5,3.4,7.1
"1,000人以上（件）",22,27,19,33,25
"1,000人以上（％）",21,27.8,20,28.4,25.2
不詳（件）,4,7,15,19,26
不詳（％）,3.8,7.2,15.8,16.4,26.3
,,,,,
