区分１,区分２,件数平成28（件）,件数29（件）,件数30（件）,件数令和元（件）,件数2（件）,構成比平成28（％）,構成比29（％）,構成比30（％）,構成比令和元（％）,構成比2（％）
申立件数,,97,105,97,95,116,100,100,100,100,100 
大分類,1号関係,35,39,37,30,45,36.1,37.1,38.1,31.6,38.8 
大分類,2号関係,73,79,71,75,82,75.3,75.2,73.2,78.9,70.7 
大分類,3号関係,41,64,66,56,62,42.3,61,68,58.9,53.4 
大分類,4号関係,-,5,2,1,2,-,4.8,2.1,1.1,1.7 
内訳,1号,6,2,1,- ,7,6.2,1.9,1,- ,6.0 
内訳,2号,41,31,24,35,41,42.3,29.5,24.7,36.8,35.3 
内訳,3号,8,12,12,11,8,8.2,11.4,12.4,11.6,6.9 
内訳,4号,-,-,-,- ,- ,-,-,-,- ,- 
内訳,1・2号,9,8,5,4,6,9.3,7.6,5.2,4.2,5.2 
内訳,1・3号,10,9,12,9,18,10.3,8.6,12.4,9.5,15.5 
内訳,1・4号,-,-,-,- ,- ,-,-,-,- ,- 
内訳,2・3号,13,22,23,19,22,13.4,21,23.7,20,19.0 
内訳,2・4号,-,-,1,- ,- ,-,-,1,- ,- 
内訳,3・4号,-,1,-,- ,- ,-,1,-,- ,- 
内訳,1・2・3号,10,16,18,16,12,10.3,15.2,18.6,16.8,10.3 
内訳,1・2・4号,-,-,-,- ,- ,-,-,-,- ,- 
内訳,1・3・4号,-,2,1,- ,1,-,1.9,1,- ,0.9 
内訳,2・3・4号,-,-,-,- ,- ,-,-,-,- ,- 
内訳,1・2・3・4号,-,2,-,1,1,-,1.9,-,1.1,0.9 
