規模,平成28,29,30,令和元,2
総数（件）,87,73,60,48,56
総数（％）,100,100,100,100,100
49人以下（件）,36,29,18,11,18
49人以下（％）,41.4,39.7,30,22.9,32.1 
50～99（件）,7,4,7,10,8
50～99（％）,8,5.5,11.7,20.8,14.3 
100～199（件）,8,7,4,6,3
100～199（％）,9.2,9.6,6.7,12.5,5.4 
200～299（件）,9,3,1,1,3
200～299（％）,10.3,4.1,1.7,2.1,5.4 
300～499（件）,3,6,6,1,2
300～499（％）,3.4,8.2,10,2.1,3.6 
500～999（件）,9,5,3,3,7
500～999（％）,10.3,6.8,5,6.3,12.5 
"1,000人以上（件）",13,11,16,6,9
"1,000人以上（％）",14.9,15.1,26.7,12.5,16.1 
不詳（件）,2,8,5,10,6
不詳（％）,2.3,11,8.3,20.8,10.7 
