事項１,事項２,平成29（件）,30（件）,令和元（件）,2（件）,3（件）
総数,,158,126,103,116,192
１件当たり平均事項数,,2.16,2.1,2.15,2.07,2.31
組合承認・組合活動等,,7,3,5,3,3
協約締結・全面改定,,-,2,1,-,2
協約効力・解釈,,2,-,-,-,-
賃金等,,42,29,24,31,51
賃金等,賃金増額,4,2,3,1,5
賃金等,一時金,6,3,7,4,5
賃金等,諸手当,9,9,-,6,6
賃金等,その他賃金に関するもの,15,12,12,12,18
賃金等,退職一時金・年金,5,3,1,2,6
賃金等,解雇・休業手当,3,-,1,6,11
給与以外の労働条件,,21,19,13,9,28
給与以外の労働条件,労働時間,4,3,3,3,2
給与以外の労働条件,休日・休暇,3,3,2,2,2
給与以外の労働条件,作業方法の変更,-,-,-,-,2
給与以外の労働条件,定年制,2,2,-,1,4
給与以外の労働条件,その他の労働条件,12,11,8,3,18
経営又は人事,,28,34,19,28,43
経営又は人事,事業休廃止・事業縮小,1,1,1,1,2
経営又は人事,企業合併・営業譲渡,-,-,-,1,-
経営又は人事,人員整理,-,1,-,1,-
経営又は人事,配置転換,1,5,3,4,9
経営又は人事,解雇,24,24,14,17,25
経営又は人事,その他の経営・人事,2,3,1,4,7
福利厚生,,-,-,2,1,2
団交促進,,53,39,31,33,50
事前協議制,,-,-,1,0,1
その他,,5,-,7,11,12
