規模,平成29,30,令和元,2,3
総数（件）,73,60,48,56,83
総数（％）,100,100,100,100,100
49人以下（件）,29,18,11,18,27
49人以下（％）,39.7,30,22.9,32.1 ,32.5
50～99（件）,4,7,10,8,7
50～99（％）,5.5,11.7,20.8,14.3 ,8.4
100～199（件）,7,4,6,3,8
100～199（％）,9.6,6.7,12.5,5.4 ,9.7
200～299（件）,3,1,1,3,2
200～299（％）,4.1,1.7,2.1,5.4 ,2.4
300～499（件）,6,6,1,2,9
300～499（％）,8.2,10,2.1,3.6 ,10.8
500～999（件）,5,3,3,7,6
500～999（％）,6.8,5,6.3,12.5 ,7.2
"1,000人以上（件）",11,16,6,9,14
"1,000人以上（％）",15.1,26.7,12.5,16.1 ,16.9
不詳（件）,8,5,10,6,10
不詳（％）,11,8.3,20.8,10.7 ,12.1
