区分１,区分２,件数平成29（件）,件数30（件）,件数令和元（件）,件数2（件）,件数3（件）,構成比平成29（％）,構成比30（％）,構成比令和元（％）,構成比2（％）,構成比3（％）
申立件数,,105,97,95,116,99,100,100,100,100 ,100
大分類,1号関係,39,37,30,45,35,37.1,38.1,31.6,38.8 ,35.4
大分類,2号関係,79,71,75,82,76,75.2,73.2,78.9,70.7 ,76.8
大分類,3号関係,64,66,56,62,53,61,68,58.9,53.4 ,53.5
大分類,4号関係,5,2,1,2,2,4.8,2.1,1.1,1.7 ,2
内訳,1号,2,1,- ,7,4,1.9,1,- ,- ,4
内訳,2号,31,24,35,41,38,29.5,24.7,36.8,35.3 ,38.4
内訳,3号,12,12,11,8,7,11.4,12.4,11.6,6.9 ,7.1
内訳,4号,-,-,- ,- ,- ,-,-,- ,- ,- 
内訳,1・2号,8,5,4,6,4,7.6,5.2,4.2,5.2 ,4
内訳,1・3号,9,12,9,18,10,8.6,12.4,9.5,15.5 ,10.1
内訳,1・4号,-,-,- ,- ,- ,-,-,- ,- ,- 
内訳,2・3号,22,23,19,22,19,21,23.7,20,19.0 ,19.2
内訳,2・4号,-,1,- ,- ,- ,-,1,- ,- ,- 
内訳,3・4号,1,-,- ,- ,- ,1,-,- ,- ,- 
内訳,1・2・3号,16,18,16,12,15,15.2,18.6,16.8,10.3 ,15.2
内訳,1・2・4号,-,-,- ,- ,- ,-,-,- ,- ,- 
内訳,1・3・4号,2,1,- ,1,2,1.9,1,- ,- ,2
内訳,2・3・4号,-,-,- ,- ,- ,-,-,- ,- ,- 
内訳,1・2・3・4号,2,-,1,1,- ,1.9,-,1.1,0.9 ,- 
