区分１,区分２,区分３,平成29（日）,30（日）,令和元（日）,2（日）,3（日）
総平均日数,,,417.5,401.8,513.3,492.0 ,496.7
総平均日数,うち、長期以外,,417.5,385.2,513.3,474.3 ,496.7
総平均日数,うち、長期以外,全部救済,602.5,776.7,765.2,631.3 ,845.2
総平均日数,うち、長期以外,一部救済,958.8,815.9,992.8,892.0 ,815.8
総平均日数,うち、長期以外,棄却,569,554,793.8,1048.0 ,999
総平均日数,うち、長期以外,却下,-,1056,- ,311.0 ,- 
総平均日数,うち、長期以外,関与和解,374.1,351.7,438,342.6 ,397.1
総平均日数,うち、長期以外,無関与和解,320.7,218.4,297.6,394.5 ,315.5
総平均日数,うち、長期以外,取下,231.8,236.7,364.1,835.0 ,349.7
終結事件総数（件）,,,90,89,99,79,91
終結事件数（長期以外）（件）,,,90,88,99,78,91
