産業,件数平成28（件）,件数29（件）,件数30（件）,件数令和元（件）,件数2（件）,構成比平成28（％）,構成比29（％）,構成比30（％）,構成比令和元（％）,構成比2（％）
総数,87,73,60,48,56,100,100,100,100,100
Ａ・Ｂ・Ｃ　農・林・漁・鉱,-,-,-,- ,- ,-,-,-,- ,- 
Ｄ　建設業,3,2,3,2,1,3.4,2.7,5,4.2,1.8 
Ｅ　製造業,10,3,3,5,4,11.5,4.1,5,10.4,7.1 
Ｆ　電気・ガス・熱供給・水道業,-,-,-,1,- ,-,-,-,2.1,- 
Ｇ　情報通信業,5,5,5,5,2,5.7,6.8,8.3,10.4,3.6 
Ｈ　運輸・郵便業,6,10,9,5,10,6.9,13.7,15,10.4,17.9 
Ｉ　卸売・小売業,12,6,8,8,4,13.8,8.2,13.3,16.7,7.1 
Ｊ・Ｋ　金融・保険・不動産・物品賃貸業,4,-,1,1,3,4.6,-,1.7,2.1,5.4 
Ｌ　学術研究・専門サービス業,4,2,3,1,4,4.6,2.7,5,2.1,7.1 
Ｍ　宿泊業・飲食サービス業,4,8,2,7,8,4.6,11,3.3,14.6,14.3 
Ｎ　生活関連サービス業・娯楽業,5,2,1,1,1,5.7,2.7,1.7,2.1,1.8 
Ｏ　教育・学習支援業,14,8,10,8,3,16.1,11,16.7,16.7,5.4 
Ｐ　医療・福祉,9,14,9,2,8,10.3,19.2,15,4.2,14.3 
Ｑ　複合サービス事業,1,1,-,- ,1,1.1,1.4,-,- ,1.8 
Ｒ　サービス業,10,11,6,2,7,11.5,15.1,10,4.2,12.5 
Ｓ　公務,-,1,-,- ,- ,-,1.4,-,- ,- 
Ｔ　分類不能,-,-,-,- ,- ,-,-,-,- ,- 
