行,EPSGコード,経度,緯度,施設名,郵便番号,所在地,電話番号,ＵＲＬ,種類,"収容台数
（台）","定期台数
（台）","一時台数
（台）","定期料金
（円）","一時料金
（円）",入退場時間,受付時間,開設年月
1,EPSG:6668,139.4432129,35.54287761,森野第一自転車駐車場,194-0022,東京都町田市森野1-1,042-728-8185,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,"1,957","1,682",311,（3階屋上屋根無）730（2階屋内）1260（1階屋内・地階屋内）1890,110,24時間,平日6：30～20：00土日祝7：00～16：00,1984/3/1
2,EPSG:6668,139.4440786,35.54325314,森野第二自転車駐車場,194-0022,東京都町田市森野1-15,042-728-8185,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,363,300,63,（1階平置屋根有）1890,110,24時間,平日6：30～20：00土日祝7：00～16：00,1983/7/1
3,EPSG:6668,139.4424664,35.54357069,森野第三自転車駐車場,194-0022,東京都町田市森野1-2、1-3,042-728-8185,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,522,384,138,（1階平置屋根有・駅近）1890（1階平置屋根有・駅遠）1260,110,24時間,平日6：30～20：00土日祝7：00～16：00,1991/1/1
4,EPSG:6668,139.4424769,35.54357072,森野第三自転車駐車場,194-0022,東京都町田市森野1-2、1-3,042-728-8185,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～50）,72,24,48,（1階平置屋根有・駅近）3140,160,24時間,平日6：30～20：00土日祝7：00～16：00,1991/1/1
5,EPSG:6668,139.4434422,35.54296653,森野第一バイク駐車場,194-0022,東京都町田市森野1-1,042-728-8185,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,"1,311","1,071",240,（2階屋外屋根無　～50）1990（2階屋内・1階屋外屋根無　～50）2510（1階屋内・地階屋内　～50）3140（1階屋外屋根無　～125）3140（1階屋外屋根無　125～）3770,,24時間,平日6：30～20：00土日祝7：00～16：00,1984/4/1
6,EPSG:6668,139.4412543,35.54448556,森野第二バイク駐車場,194-0022,東京都町田市森野1-3,042-728-8185,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,154,154,0,（1階平置屋根有　～50）3140（1階平置屋根有　～125）3770（1階平置屋根有　125～）4400,,24時間,平日6：30～20：00土日祝7：00～16：00,1985/4/1
7,EPSG:6668,139.4445772,35.54617103,森野第三バイク駐車場,194-0022,東京都町田市森野1-34,042-728-8185,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（125～）,60,55,5,（1階平置屋根無）4400,310,平日6：30～20：00土日祝8：00～17：00,平日6：30～20：00休日7：00～16：00,2002/9/1
8,EPSG:6668,139.4481349,35.54022581,原町田一丁目自転車駐車場,194-0013,東京都町田市原町田1-6-21,042-724-1368,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,675,597,78,1890,110,24時間,管理は町田ターミナルからの巡回による,1983/11/1
9,EPSG:6668,139.4503142,35.54022369,原町田三丁目自転車駐車場,194-0013,東京都町田市原町田3-2-18,042-724-1368,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,207,137,70,1570,110,24時間,管理は町田ターミナルからの巡回による,1990/11/1
10,EPSG:6668,139.4503142,35.54022369,原町田三丁目自転車駐車場,194-0013,東京都町田市原町田3-2-18,042-724-1368,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～125）,37,17,20,（～50）2620（～125）3250,,24時間,管理は町田ターミナルからの巡回による,1990/11/1
