"名称","郵便番号","所在地","電話番号","緯度","経度"
"アイスランド大使館","108-0074","東京都港区高輪四丁目18番26号","03-3447-1944","35.6264331","139.7337885"
"アフガニスタン・イスラム共和国大使館","106-0041","東京都港区麻布台二丁目2番1号","03-5574-7611","35.6581733","139.7421556"
"アメリカ合衆国大使館","107-8420","東京都港区赤坂一丁目10番5号","03-3224-5000","35.6687277","139.7433496"
"アルゼンチン共和国大使館","106-0046","東京都港区元麻布二丁目14番14号","03-5420-7101/5","35.6526709","139.7302902"
"アルメニア共和国大使館","107-0052","東京都港区赤坂一丁目11番36号 Residence Viscountess#230","03-6277-7453","35.6687471","139.7416664"
"イタリア大使館","108-8302","東京都港区三田二丁目5番4号","03-3453-5291","35.6507323","139.7424901"
"イラン・イスラム共和国大使館","106-0047","東京都港区南麻布三丁目13番9号","03-3446-8011/5","35.6480215","139.7312458"
"ウガンダ共和国大使館","107-0052","東京都港区赤坂九丁目6番44号　乃木坂フォレスト3階","03-6384－5516","35.667884","139.728201"
"ウクライナ大使館","106-0031","東京都港区西麻布三丁目5番31号","03-5474-9770","35.6571702","139.7251627"
"ウズベキスタン共和国大使館","108-0074","東京都港区高輪二丁目1番52号","03-6277-2166/3442","35.6396365","139.7369983"
"ウルグアイ東方共和国大使館","105-0012","東京都港区芝大門一丁目2番1号　大門KSビル7階","03-6452-9150","35.660137","139.754308"
"エクアドル共和国大使館","106-0041","東京都港区麻布台三丁目5番7号　麻布アメレックスビル8階","03-6441-0122","35.659912","139.740334"
"エチオピア連邦民主共和国大使館","108-0074","東京都港区高輪三丁目4番1号 高輪偕成ビル2階","03-5420-6860/1","35.6349036","139.7315462"
"エリトリア国大使館","108-0071","東京都港区白金台四丁目7番4号 白金台STビル第401号室","03-5791-1815","35.6382058","139.7260688"
"エルサルバドル共和国大使館","106-0031","東京都港区西麻布三丁目20番5号西麻布清美堂ビル","03-6804-2177","35.660122","139.726176"
"オーストラリア大使館","108-8361","東京都港区三田二丁目1番14号","03-5232-4111","35.6518768","139.7392561"
"オーストリア共和国大使館","106-0046","東京都港区元麻布一丁目1番20号","03-3451-8281/2","35.6559233","139.7328506"
"オランダ王国大使館","105-0011","東京都港区芝公園三丁目6番3号","03-5776-5400","35.6617308","139.7457635"
"ガーナ共和国大使館","106-0031","東京都港区西麻布一丁目5番21号","03-5410-8631/3","35.6616585","139.7254015"
"カザフスタン共和国大使館","106-0041","東京都港区麻布台一丁目8番14号","03-3589-1821/6（領事部）","35.6601054","139.7415321"
"カタール国大使館","106-0046","東京都港区元麻布二丁目3番28号","03-5475-0611～3","35.6536651","139.727446"
"カナダ大使館","107-8503","東京都港区赤坂七丁目3番38号","03-5412-6200","35.6728851","139.7290507"
"カンボジア王国大使館","107-0052","東京都港区赤坂八丁目6番9号","03-5412-8521","35.6711075","139.7287814"
"キプロス共和国大使館","106-0047","東京都港区南麻布四丁目6番28号  ヨーロッパハウス４階","03-6432-5040/1/2","35.649859","139.727095"
"キューバ共和国大使館","106-0044","東京都港区東麻布一丁目28番4号","03-5570-3182","35.6554404","139.7439639"
"ギリシャ大使館","106-0031","東京都港区西麻布三丁目16番30号","03-3403-0871/2","35.6583589","139.7260126"
"キルギス共和国大使館","108-0073","東京都港区三田一丁目5番7号","03-6453-8277","35.6534121","139.7402048"
"グアテマラ共和国大使館","106-0044","東京都港区東麻布一丁目10番11号東麻布アベビル4階","03-5797-7502","35.656787","139.744699"
"クウェート国大使館","108-0073","東京都港区三田四丁目13番12号","03-3455-0361","35.6453832","139.7415477"
"コスタリカ共和国大使館","106-0032","東京都港区六本木六丁目6番2号　R-WEST","03-6434-0426","35.662057","139.730388"
"コソボ共和国大使館","105-0003","東京都港区西新橋三丁目13番7号 VORT虎ノ門サウスビル10階","03-6809-2577","35.6644617","139.7508019"
"コンゴ民主共和国大使館","107-0062","東京都港区南青山二丁目9番21号","03-6456-4394","35.670013","139.721764"
"サウジアラビア王国大使館","106-0032","東京都港区六本木一丁目8番4号","03-3589-5241","35.6633476","139.7392807"
"サモア独立国大使館","106-0041","東京都港区麻布台三丁目5番7号 麻布アメレックスビル５階","03-6228-3692","35.659912","139.740334"
"サンマリノ共和国大使館","106-0046","東京都港区元麻布三丁目5番1号","03-5414-7745","35.6568536","139.7283125"
"ジャマイカ大使館","106-0046","東京都港区元麻布二丁目13番1号","03-3435-1861","35.6542929","139.7306929"
"ジョージア大使館","107-0061","東京都港区北青山二丁目10番22号 K2ビル","03-4361-4470","35.671564","139.715588"
"シリア・アラブ共和国大使館","107-0052","東京都港区赤坂六丁目19番45号 ホーマット・ジェイド","03-3586-8977/8","35.6674275","139.7337144"
"シンガポール共和国大使館","106-0032","東京都港区六本木五丁目12番3号","03-3586-9111/2","35.6575179","139.7341877"
"ジンバブエ共和国大使館","108-0073","東京都港区三田五丁目4番3号三田プラザビル6階","03-6416-8434/5","35.647706","139.738902"
"スイス大使館","106-8589","東京都港区南麻布五丁目9番12号","03-5449-8400","35.6533543","139.7238112"
"スウェーデン王国大使館","107-6016","東京都港区赤坂一丁目12番32号アーク森ビル16階","03-5562-5050","35.667113","139.740135"
"スペイン王国大使館","106-0032","東京都港区六本木一丁目3番29号","03-3583-8531/2","35.6656197","139.7415027"
"スリランカ民主社会主義共和国大使館","108-0074","東京都港区高輪二丁目1番54号","03-3440-6911/2","35.6398548","139.7368818"
"スロバキア共和国大使館","106-0046","東京都港区元麻布二丁目11番33号","03-3451-2200/1033","35.6543957","139.7304846"
"スロベニア共和国大使館","107-0062","東京都港区南青山七丁目14番12号","03-5468-6275","35.6567233","139.7173269"
"セルビア共和国大使館","108-0074","東京都港区高輪四丁目16番12号","03-3447-3571/3572","35.626481","139.733066"
"大韓民国大使館","106-0047","東京都港区南麻布一丁目2番5号","03-3452-7611～9","35.6519849","139.7327622"
"中華人民共和国大使館","106-0046","東京都港区元麻布三丁目4番33号","03-3403-3388","35.6562898","139.7272209"
"チリ共和国大使館","105-0014","東京都港区芝三丁目1番14号 芝公園阪神ビル7階、8階","03-3452-7561/2/7585","35.6541906","139.745636"
"ドイツ連邦共和国大使館","106-0047","東京都港区南麻布四丁目5番10号","03-5791-7700","35.6507821","139.7252074"
"トンガ王国大使館","106-0041","東京都港区麻布台一丁目9番10号 飯倉ITビル2階","03-6441-2481","35.6597232","139.7426027"
"ナイジェリア連邦共和国大使館","105-0001","東京都港区虎ノ門三丁目6番1号(３階を除く）","03-5425-8011","35.6666085","139.7453606"
"ナミビア共和国大使館","106-0041","東京都港区麻布台三丁目5番7号 AMEREXビル","03-6426-5460","35.6599509","139.7402891"
"ノルウェー王国大使館","105-0011","東京都港区芝公園三丁目4番30号　32芝公園ビル 9階","03-5422-1200","35.658906","139.746403"
"バーレーン王国大使館","107-0052","東京都港区赤坂一丁目11番36号 レジデンス・バイカウンテス710号","03-3584-8001","35.6687471","139.7416664"
"ハイチ共和国大使館","106-0044","東京都港区東麻布一丁目10番11号東麻布アベビル7階","03-6277-8413","35.656787","139.744699"
"パキスタン・イスラム共和国大使館","106-0047","東京都港区南麻布四丁目6番17号","03-5421-7741/2","35.6500156","139.7278433"
"パナマ共和国大使館","106-0032","東京都港区六本木三丁目15番5号　六本木アシャラヒルズ・ビル2階","03-3505-3661","35.662997","139.735864"
"パラオ共和国大使館","106-0044","東京都港区東麻布二丁目21番11号","03-5797-7480","35.6565624","139.7413391"
"ハンガリー大使館","108-0073","東京都港区三田二丁目17番14号","03-5730-7120/1","35.6485772","139.7403255"
"フィジー共和国大使館","106-0041","東京都港区麻布台二丁目3番5号 ノア・ビルディング14階","03-3587-2038","35.6593204","139.7425305"
"フィリピン共和国大使館","106-8537","東京都港区六本木五丁目15番5号","03-5562-1600","35.6600674","139.7355256"
"フィンランド大使館","106-8561","東京都港区南麻布三丁目5番39号","03-5447-6000","35.65021","139.7286876"
"ブラジル連邦共和国大使館","107-8633","東京都港区北青山二丁目11番12号","03-3404-5211","35.670846","139.7145132"
"フランス大使館","106-8514","東京都港区南麻布四丁目11番44号","03-5798-6000","35.6471686","139.7260991"
"ボスニア・ヘルツェゴビナ大使館","106-0047","東京都港区南麻布五丁目3番29号 ガーデニアビルディング2階、3階","03-5422-8231","35.65354","139.7245268"
"ボツワナ共和国大使館","108-0014","東京都港区芝四丁目5番10号 ACN田町ビル6階","03-5440-5676","35.648743","139.750956"
"ボリビア多民族国大使館","105-0011 ","東京都港区芝公園三丁目4番30号　32芝公園ビル802、804号室","03-6803-4362","35.658906","139.746403"
"ポルトガル大使館","106-0031","東京都港区西麻布三丁目6番6号","03-6447-7870","35.655652","139.726186"
"ホンジュラス共和国大使館","106-0044","東京都港区東麻布一丁目10番11号　東麻布アベビル5階","03-4361-8142","35.656787","139.744699"
"マダガスカル共和国大使館","106-0046","東京都港区元麻布二丁目3番23号","03-3446-7252/3","35.6536385","139.727782"
"マラウイ共和国大使館","108-0074","東京都港区高輪三丁目4番1号 高輪偕成ビル5階、7階","03-3449-3010","35.6349036","139.7315462"
"マルタ共和国大使館","105-0001","東京都港区虎ノ門四丁目3番20号　神谷町MTビル14階　41～43号室","03-5404-3450/1","35.663522","139.744543"
"南スーダン共和国大使館","107-0052","東京都港区赤坂二丁目21番15号　赤坂OSビル4階","080-8718-3700","35.6683317","139.7391071"
"モロッコ王国大使館","107-0062","東京都港区南青山五丁目4番30号","03-5485-7171","35.6619887","139.7142941"
"ラオス人民民主共和国大使館","106-0031","東京都港区西麻布三丁目3番22号","03-5411-2291/2","35.6581581","139.7268442"
"リトアニア共和国大使館","106-0046","東京都港区元麻布三丁目7番18号","03-3408-5091","35.656276","139.729729"
"ルーマニア大使館","106-0031","東京都港区西麻布三丁目16番19号","03-3479-0311/3","35.6579466","139.7245295"
"レソト王国大使館","107-0052","東京都港区赤坂七丁目5番47号 U&M赤坂ビル1階、3階","03-3584-7455","35.6721019","139.7299785"
"ロシア連邦大使館","106-0041","東京都港区麻布台二丁目1番1号","03-3583-4224/5982","35.6594343","139.7413362"

"港区_大使館(令和6年9月1日現在)","Ver202409",,,,
