"年度[西暦]","区分","芝地区（芝）[件]","麻布地区（南麻布）[件]","赤坂地区（北青山）[件]","高輪地区（白金の森）[件]","芝浦港南地区（港南の郷）[件]","合計[件]"
"2018","訪問","4746","3801","2612","2692","5174","19025"
"2018","電話","2828","5041","7201","9643","9415","34128"
"2018","来所","1047","1798","2245","1553","1771","8414"
"2018","文書","144","72","4611","3914","447","9188"
"2018","その他","28","5","15","41","0","89"
"2018","合計","8793","10717","16684","17843","16807","70844"
"2019","訪問","5892","3820","1376","2512","4646","18246"
"2019","電話","3652","5635","6026","8219","9565","33097"
"2019","来所","1467","1810","2039","1879","1539","8734"
"2019","文書","602","108","4012","4994","495","10211"
"2019","その他","81","18","6","84","0","189"
"2019","合計","11694","11391","13459","17688","16245","70477"
"2020","訪問","3570","1521","1306","1439","2743","10579"
"2020","電話","4205","5632","7575","9223","11048","37683"
"2020","来所","1034","1152","1323","1347","1190","6046"
"2020","文書","351","150","3891","4516","1042","9950"
"2020","その他","69","52","40","69","1","231"
"2020","合計","9229","8507","14135","16594","16024","64489"
"2021","訪問","2776","1427","1870","1913","2857","10843"
"2021","電話","4218","5417","7800","8238","12191","37864"
"2021","来所","1020","1065","1357","1342","1296","6080"
"2021","文書","257","157","4073","4868","1817","11172"
"2021","その他","61","205","41","63","0","370"
"2021","合計","8332","8271","15141","16424","18161","66329"
"2022","訪問","2930","1821","1896","2738","3446","12831"
"2022","電話","5227","4999","8965","9456","11834","40481"
"2022","来所","1258","1183","1408","1337","1371","6557"
"2022","文書","204","187","3901","4368","840","9500"
"2022","その他","121","232","212","194","13","772"
"2022","合計","9740","8422","16382","18093","17504","70141"

"令和5年度港区行政資料集　高齢者相談センター（地域包括支援センター）相談方法別件数","Ver202303",,,,,,
