分類/品目/銘柄/単位,2009年4月,2010年2月,2010年3月,2010年4月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一原料米、コシヒカリ(5kg入り）/1袋(円),2589,2522,2503,2519,
（穀類）/うるち米/国内産、精米、単一原料米、コシヒカリを除く(5kg入り）/1袋(円),2261,2178,2173,2167,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1808,1763,1763,1770,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),620,602,596,616,
（穀類）/食パン/普通品/1kg(円),489,440,442,447,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),97,96,95,95,
（穀類）/カレーパン/揚げパン、普通品/100g(円),110,106,107,107,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),39,39,40,40,
（穀類）/干しうどん/袋入り（250g～300g入り）、普通品/100g(円),69,68,68,67,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),192,179,173,171,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),146,146,146,146,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),114,115,113,114,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワーチャック付」/1袋(円),234,229,228,226,
（穀類）/もち/包装生もち、袋入り（1kg入り）、普通品/1袋(円),938,833,882,874,
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),383,386,388,392,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),117,104,134,121,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),106,95,106,107,
（魚介類）/かつお/切り身（刺身用）/100g(円),278,        -,277,249,
（魚介類）/かれい/まがれい、あかがれい、むしがれい又はまこがれい、丸（長さ約20cm以上）/100g(円),161,180,193,172,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),220,219,215,225,
（魚介類）/さば/まさば又はごまさば、切り身/100g(円),123,113,135,109,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),64,63,59,58,
