年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前年(度)比(％)／平成17年度平均,2005,,-0.1,-0.3,-1.2,0.1,-0.3,1.8,-2.1,0.7,-0.3,0.6,0.7,-0.8,0.6
前年(度)比(％)／平成18年度平均,2006,,0.2,0.3,0.7,-0.1,0,2.7,-1.8,0.7,-0.5,0.2,0.7,-1.3,1.1
前年(度)比(％)／平成19年度平均,2007,,0.4,0.4,0.6,-0.1,0,1.7,-1.5,0.6,0.3,0.9,0.7,-1.1,0.6
前年(度)比(％)／平成20年度平均,2008,,1.1,1.3,3,0.1,0.5,5.5,0,0.2,-0.2,-0.2,0.7,-0.7,0.2
月別指数／平成21年2月,2009,2,100.4,100.6,104,99.8,100.5,110.4,95.8,95.3,99.6,96.4,102.7,94.4,101.9
月別指数／平成21年3月,2009,3,100.7,100.9,104.3,99.8,100.5,109.8,95.2,98.9,99.7,96.9,102.5,95.1,101.7
月別指数／平成21年4月,2009,4,100.8,101,104.2,99.8,100.5,109.4,95.1,102.9,98.2,96.8,103.1,94.5,101.8
月別指数／平成21年5月,2009,5,100.6,100.8,104.3,99.8,100.4,106.3,94.6,103.7,99.3,97,103.2,94.5,101.7
月別指数／平成21年6月,2009,6,100.4,100.6,103.8,99.8,100.5,105.3,94.3,103.2,99.1,97.5,103.2,94.1,101.7
月別指数／平成21年7月,2009,7,100.1,100.2,103.1,99.8,100.4,104.4,93.4,98.9,99.4,98.1,103.2,94.3,101.5
月別指数／平成21年8月,2009,8,100.4,100.5,104.2,99.8,100.4,103.9,92.7,97.3,99.3,98.3,103.2,95.6,101.5
月別指数／平成21年9月,2009,9,100.4,100.6,104,99.8,100.4,103.4,92.7,103.1,99.2,98.2,103.1,94.3,101.6
月別指数／平成21年10月,2009,10,100,100.1,102.9,99.7,100.3,103.1,92.7,104,99,98.1,103.1,93.8,101.6
月別指数／平成21年11月,2009,11,99.8,99.8,102.1,99.7,100.2,103.2,92.3,104.3,99.1,97.8,103.1,93.2,101.5
月別指数／平成21年12月,2009,12,99.6,99.7,101.9,99.6,100.2,103.7,91.5,103.6,98.6,97.9,103.1,93.1,101.4
月別指数／平成22年1月,2010,1,99.4,99.4,102.9,99.6,100.1,104.1,90.9,95.7,98.7,97.8,103.1,91.8,101.4
月別指数／平成22年2月,2010,2,99.3,99.3,102.5,99.6,100,104.9,90.7,94.3,98.6,98,103.3,91.9,101.3
前月比(％)／平成21年2月,2009,2,-0.3,-0.3,-0.9,-0.1,-0.1,-0.1,-0.4,-1.9,-0.2,0.4,0.4,-0.3,0
前月比(％)／平成21年3月,2009,3,0.3,0.3,0.3,0,0,-0.5,-0.6,3.8,0.1,0.5,-0.2,0.7,-0.2
前月比(％)／平成21年4月,2009,4,0.1,0.1,-0.1,0,0,-0.4,-0.1,4,-0.5,-0.1,0.6,-0.6,0.1
前月比(％)／平成21年5月,2009,5,-0.2,-0.2,0.1,0,-0.1,-2.8,-0.5,0.8,0.1,0.2,0.1,0,-0.1
前月比(％)／平成21年6月,2009,6,-0.2,-0.2,-0.5,0,0.1,-0.9,-0.3,-0.5,-0.2,0.5,0,-0.4,0
前月比(％)／平成21年7月,2009,7,-0.3,-0.4,-0.7,0,-0.1,-0.9,-1,-4.2,0.3,0.6,0,0.2,-0.2
前月比(％)／平成21年8月,2009,8,0.3,0.3,1.1,0,0,-0.5,-0.7,-1.6,-0.1,0.2,0,1.4,0
前月比(％)／平成21年9月,2009,9,0,0.1,-0.2,0,0,-0.5,0,6,-0.1,-0.1,-0.1,-1.4,0.1
前月比(％)／平成21年10月,2009,10,-0.4,-0.5,-1.1,-0.1,-0.1,-0.3,0,0.9,-0.2,-0.1,0,-0.5,0
前月比(％)／平成21年11月,2009,11,-0.2,-0.3,-0.8,0,-0.1,0.1,-0.4,0.3,0.1,-0.3,0,-0.6,-0.1
前月比(％)／平成21年12月,2009,12,-0.2,-0.1,-0.2,-0.1,0,0.5,-0.9,-0.7,-0.5,0.1,0,-0.1,-0.1
前月比(％)／平成22年1月,2010,1,-0.2,-0.3,1,0,-0.1,0.4,-0.7,-7.6,0.1,-0.1,0,-1.4,0
前月比(％)／平成22年2月,2010,2,-0.1,-0.1,-0.4,0,-0.1,0.8,-0.2,-1.5,-0.1,0.2,0.2,0.1,-0.1
前年同月比(％)／平成21年2月,2009,2,-0.1,0,2.6,-0.1,-0.1,2.2,0.2,-0.2,0,-5.5,1,-1.3,-0.1
前年同月比(％)／平成21年3月,2009,3,-0.3,-0.2,2.2,-0.1,0.4,1.6,-0.6,-0.5,0.1,-5.4,0.8,-1.1,-0.2
前年同月比(％)／平成21年4月,2009,4,-0.1,-0.1,1.6,-0.1,0.2,0.2,-0.9,-0.3,-0.3,-2,0.8,-2.2,-0.2
前年同月比(％)／平成21年5月,2009,5,-1.1,-1.2,1,-0.1,0.1,-3,-1.6,-0.1,-0.2,-5.6,0.9,-2.5,-0.2
前年同月比(％)／平成21年6月,2009,6,-1.8,-1.9,-0.2,-0.2,0.1,-5.2,-1.7,-0.4,-0.3,-6.6,0.9,-2.6,-0.4
前年同月比(％)／平成21年7月,2009,7,-2.2,-2.6,-0.7,-0.2,-0.1,-8.1,-2.9,-0.7,0,-7.4,0.9,-2.9,-0.6
前年同月比(％)／平成21年8月,2009,8,-2.2,-2.6,-0.1,-0.2,-0.1,-9.1,-3.1,-0.6,0,-7.6,0.9,-3,-0.7
前年同月比(％)／平成21年9月,2009,9,-2.2,-2.5,-0.5,-0.2,-0.2,-9.1,-3.5,-1.2,-0.3,-6.1,0.9,-3.2,-0.6
前年同月比(％)／平成21年10月,2009,10,-2.5,-2.9,-2,-0.3,-0.3,-9,-3.8,-1.4,-0.4,-4.6,0.8,-3.5,-0.6
前年同月比(％)／平成21年11月,2009,11,-1.9,-2.2,-2.1,-0.3,-0.4,-6.9,-4.2,-1.6,-0.1,-1.6,0.8,-3.1,-0.7
前年同月比(％)／平成21年12月,2009,12,-1.7,-1.8,-2.5,-0.4,-0.4,-4.9,-4.8,-1.9,-0.5,0.5,0.8,-3.3,-0.5
前年同月比(％)／平成22年1月,2010,1,-1.3,-1.5,-1.9,-0.3,-0.5,-5.6,-5.5,-1.4,-1.1,1.9,0.8,-3.1,-0.5
前年同月比(％)／平成22年2月,2010,2,-1.1,-1.3,-1.4,-0.2,-0.5,-5,-5.3,-1,-1,1.7,0.6,-2.6,-0.6
,,,,,,,,,,,,,,,
東京の物価／平成２２年３月,,,,,,,,,,,,,,,
１０．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,
