分類/品目/銘柄/単位,2009年10月,2010年8月,2010年9月,2010年10月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一原料米、コシヒカリ(5kg入り）/1袋(円),2533,2463,2478,2409,
（穀類）/うるち米/国内産、精米、単一原料米、コシヒカリを除く(5kg入り）/1袋(円),2192,2130,2167,2082,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1793,1758,1704,1684,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),620,598,589,604,
（穀類）/食パン/普通品/1kg(円),452,436,439,439,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),94,93,93,93,
（穀類）/カレーパン/揚げパン、普通品/100g(円),106,105,104,102,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),39,40,41,41,
（穀類）/干しうどん/袋入り（250g～300g入り）、普通品/100g(円),70,66,68,68,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),182,176,177,179,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),146,146,145,148,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),113,110,107,109,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワーチャック付」/1袋(円),230,222,221,221,
（穀類）/もち/包装生もち、袋入り（1kg入り）、普通品/1袋(円),871,858,848,840,
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),386,390,385,387,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),112,112,98,94,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),119,79,101,98,
（魚介類）/かつお/切り身（刺身用）/100g(円),241,166,189,196,
（魚介類）/かれい/まがれい、あかがれい、むしがれい又はまこがれい、丸（長さ約20cm以上）/100g(円),192,207,189,173,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),212,215,226,226,
（魚介類）/さば/まさば又はごまさば、切り身/100g(円),104,103,105,102,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),68,118,96,75,
（魚介類）/たい/まだい、刺身用、さく/100g(円),577,565,565,576,
（魚介類）/ぶり/切り身/100g(円),247,260,244,239,
（魚介類）/いか/するめいか/100g(円),73,84,86,75,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),248,233,230,243,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),239,240,234,239,
（魚介類）/あさり/殻付き/100g(円),120,118,116,119,
（魚介類）/かき/まがき、むき身/100g(円),317,        -,        -,324,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),202,202,197,198,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),159,155,152,151,
（魚介類）/たらこ/並/100g(円),474,432,434,427,
（魚介類）/しらす干し/並/100g(円),411,411,410,407,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),163,155,153,153,
（魚介類）/丸干しいわし/まいわし（長さ約12cm以上）、並/100g(円),118,108,109,103,
（魚介類）/煮干し/かたくちいわし、並/100g(円),231,215,211,217,
（魚介類）/ししゃも/子持ちししゃも、カラフトシシャモ、パック入り（8～12匹入り/100g(円),168,146,147,147,
（魚介類）/さつま揚げ/並/100g(円),124,121,121,119,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),142,136,137,136,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、100g～160g、普通品/100g(円),176,177,173,177,
（魚介類）/かつお節/かつおかれぶし削りぶし、パック入り（3g×10袋入り）、普通品/1パック(円),281,277,275,271,
（魚介類）/塩辛/いかの塩辛、並/100g(円),200,168,170,169,
（魚介類）/魚みそ漬/さわら又はさけ、並/100g(円),228,223,219,225,
（魚介類）/魚介つくだ煮/小女子、ちりめん又はしらす、並/100g(円),457,488,475,473,平成22年1月から基本銘柄改正
（魚介類）/いくら/さけ卵塩漬波/100g(円),        -,937,895,924,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、内容量80g入り3缶パック又は4缶パック/1缶(円),157,111,112,111,
（肉類）/牛肉/国産品、ロース/100g(円),827,808,808,789,
（肉類）/牛肉/肩肉/100g(円),        -,        -,        -,        -,
（肉類）/牛肉/輸入品、チルド（冷蔵）、肩ロース又はもも/100g(円),343,200,195,205,
（肉類）/豚肉/ロース/100g(円),234,239,237,233,
（肉類）/豚肉/もも肉/100g(円),173,171,176,178,
（肉類）/鶏肉/ブロイラー、もも肉/100g(円),128,130,129,128,
（肉類）/レバー/豚レバー/100g(円),119,120,119,122,
（肉類）/ハム/ロースハム、JAS格付けなし、普通品/100g(円),262,231,235,232,
（肉類）/ソーセージ/ウインナーソーセージ、袋入り、JAS規格品・特級/100g(円),198,196,196,197,
（肉類）/ベーコン/ベーコン、JAS格付なし、普通品/100g(円),241,237,234,228,
（乳卵類）/牛乳/瓶入り（180ML）配達、瓶代を除く、月極め/1本(円),113,115,115,115,
（乳卵類）/牛乳/紙容器入り（1000ML入り）、店頭売り/1本(円),216,217,217,216,
