総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素原材料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料・動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財  注)
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643
平成17年平均,2005,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成18年平均,2006,,104.4,102.2,113.9,121.3,105.5,105.7,103,110.8,101.3,99.7,99.4,99.8,97.1,101,107.6,100.6
平成19年平均,2007,,107.4,104,122.4,132.3,109.7,110.3,106.7,115,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4
平成20年平均,2008,,113.3,108.8,133.3,165.7,115.8,114.3,113.4,133,108.1,100,98,100.9,91.1,105.2,122.4,102.9
平成21年平均,2009,,102.4,103,100,112,105.6,104.9,108.1,106.3,106.6,96.5,95.9,96.8,88.1,100.6,106.4,99.9
平成16年度平均,2004,,97.4,98.8,90.3,84.1,97.2,97.3,97.8,93.2,99.4,100.4,101.2,99.9,101.8,99.1,95.4,100
平成17年度平均,2005,,101.3,100.5,104.5,107.3,101.3,101.2,100.6,103.8,100.4,100,99.8,100.2,99.4,100.5,102.1,100
平成18年度平均,2006,,105,102.5,115.7,122.8,106.5,107,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.7,100.9
平成19年度平均,2007,,108.6,104.9,124.9,139.3,110.9,111.1,107.2,119.4,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4
平成20年度平均,2008,,111.5,108.2,126,155.2,114.5,113,114,129,108.7,99.2,97.6,100,90.4,104.1,119.9,102.9
平成21年１月,2009,1,102.8,104.6,95.1,104.1,107.6,106.2,111.4,110.6,108.4,96.6,96.6,96.6,89.2,99.8,107.1,101.4
平成21年２月,2009,2,102.8,104.1,96.8,106,107.1,105.8,110.2,109.7,108.1,96.6,96.4,96.7,89.2,100,106.9,100.9
平成21年３月,2009,3,103.2,103.9,100.2,108.7,107.2,106.2,109.9,109.7,108,96.9,96.6,97.1,89.4,100.4,107.4,100.9
平成21年４月,2009,4,102.7,103.2,100.4,109.1,106.2,105.5,108.8,107,106.9,96.9,96.5,97.1,88.7,100.8,106.6,100.5
平成21年５月,2009,5,101.9,102.8,98,106.9,105.1,104.7,108.3,102.6,106.8,96.8,96.2,97.1,88.5,100.8,105.3,100.1
平成21年６月,2009,6,102.1,102.4,100.7,111.9,104.8,104.4,107.8,101.9,106.9,96.8,96.3,97.1,88.4,100.8,105.7,100
平成21年７月,2009,7,102.6,102.8,101.9,117.1,105.2,104.3,107.5,107.2,106.2,96.5,95.8,96.8,87.9,100.7,106.8,99.6
平成21年８月,2009,8,102.7,102.8,102.3,116.4,105.6,105,107.4,106.8,105.9,96.4,95.7,96.8,87.8,100.7,107,99.5
平成21年９月,2009,9,102.4,102.9,100.6,115.8,105.2,104.5,107.2,107,105.7,96.3,95.3,96.7,87.5,100.8,106.6,99.2
平成21年10月,2009,10,101.7,102.1,99.8,112.9,104.3,103.9,106.7,103.4,105.2,96.1,95.2,96.5,87,100.6,105.4,99
平成21年11月,2009,11,101.8,102.1,100.4,114.9,104.3,103.8,106.3,104.2,105.3,96,95.2,96.4,86.9,100.5,105.7,98.8
平成21年12月,2009,12,102.4,102.1,103.4,119.6,104.7,104.1,106,106,105.1,96.1,95.3,96.5,86.7,100.7,106.6,98.8
平成22年１月,2010,1,102.9,102.4,105,120.8,105.6,105.1,106.1,108.3,105,96,95.4,96.3,86.2,100.7,107.6,98.9
対前月比(%),,,0.5,0.3,1.5,1,0.9,1,0.1,2.2,-0.1,-0.1,0.1,-0.2,-0.6,0,0.9,0.1
対前年同月比(%),,,0.1,-2.1,10.4,16,-1.9,-1,-4.8,-2.1,-3.1,-0.6,-1.2,-0.3,-3.4,0.9,0.5,-2.5
,,,,, ,,,,,,,,,,,,,
東京の物価／平成22年2月,,,,,,,,,,,,,,,,,,
付属資料３  需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
