年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／うち米類,財／工業製品,財／工業製品／大企業性製品,財／工業製品／中小企業性製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス／一般サービス／外食,サービス／一般サービス／民営家賃,サービス／一般サービス／持家の帰属家賃,サービス／一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
前年（度）比（％）／平成18年平均,2006,,0.1,0.3,-0.1,2.4,2.9,-1.9,-1.9,-0.5,-1.4,0.4,-0.5,0.1,9.4,-1.7,2.2,0.4,0.1,0.1,0,0.1,0.3,-0.2,0.1,0,-6.8,0.5,1,0.7
前年（度）比（％）／平成19年平均,2007,,0.1,-0.3,-0.4,0.5,0.9,-2.1,-2.2,-0.8,-1.1,-0.3,-0.1,-1.5,3.1,-1.7,1.2,0.4,0.2,0.2,0.3,0.2,0.4,-0.4,0.2,0.4,-6.2,-0.4,0.4,0.6
前年（度）比（％）／平成20年平均,2008,,1,1.5,1.8,0.2,0.5,-2.3,-2.4,1.4,0.8,2.2,3.1,-0.4,12.9,-0.8,4.1,0.1,0.6,0.7,0.1,0.7,1.9,0,0.3,0.8,-5.5,0.2,2.6,1.2
前年（度）比（％）／平成21年平均,2009,,-1.2,-2.2,-2,-3.6,-3.7,-1.5,-1.4,-2.1,-3.9,-0.4,0.6,-2.5,-22.1,-2.8,-1.4,0.6,-0.4,-0.3,-0.2,-0.4,0.8,-0.3,-0.6,-0.7,-6.8,-1.8,-1.8,-0.5
前年（度）比（％）／平成17年度平均,2005,,-0.4,-0.9,-0.4,-3.9,-3.3,-8.3,-8.5,-0.2,-0.7,0.1,-0.1,0.1,8.9,-1.5,-0.5,0.4,-0.1,-0.1,-0.6,0.1,0,-0.7,0.2,0.3,-3.3,0.3,-0.9,-0.5
前年（度）比（％）／平成18年度平均,2006,,0.3,0.3,-0.1,2.5,3.1,-1.6,-1.5,-0.5,-1.2,0.5,-0.3,-0.2,6.7,-1.3,1.8,0.4,0.1,0.1,-0.1,0.3,0.4,-0.2,0.1,0.3,-6.2,0.4,1.1,0.6
前年（度）比（％）／平成19年度平均,2007,,0.1,-0.1,-0.1,0.8,1.2,-3,-3.2,-0.5,-0.7,-0.4,0.1,-1.4,7.5,-1.8,1.2,0.3,0.3,0.3,0.4,0.2,0.5,-0.4,0.2,0.4,-6.3,-0.5,0.7,0.7
前年（度）比（％）／平成20年度平均,2008,,1,1.6,1.8,-0.3,-0.1,-1.1,-1.2,1.3,0,2.7,3.8,-0.6,1.4,-0.7,6.1,0.3,0.5,0.7,0,0.7,2.2,0.1,0.3,0.7,-5.2,0.1,2.6,1.6
月別指数／平成21年2月,2009,2,100.4,100.4,100.4,100.7,101.6,93.9,93.8,97.8,95.2,100.8,103.5,91,93.5,94.8,114.5,101.4,100.4,100.6,100.2,100.5,103.5,99.2,100,100.1,79.9,95.7,103.9,104.2
月別指数／平成21年3月,2009,3,100.7,100.8,100.7,101.2,102.3,92.5,92.4,98.3,95.2,101.9,104.1,93.7,93.4,94.4,114.5,101.4,100.6,100.9,100.4,100.7,103.5,99.3,100.1,100.6,79.2,97.4,104.2,104.4
月別指数／平成21年4月,2009,4,100.7,101,100.9,101,102,93.3,93.1,98.7,94.8,103.2,103.9,97.5,96.1,93.8,113.7,101.7,100.5,100.7,100.1,100.6,103.3,99.2,100.1,100.6,78.1,99.9,103.9,103.9
月別指数／平成21年5月,2009,5,100.5,100.3,100,101.8,103,92.8,92.7,98.8,94.9,103.3,103.8,98.1,96.2,93.8,106.9,101.5,100.6,100.8,100.2,100.7,103.6,99.1,100.1,100.6,77.8,100.3,103,102.2
月別指数／平成21年6月,2009,6,100.1,99.5,99.3,100.3,101.4,92.3,92.1,98.4,94.7,102.7,103.4,97.6,99.5,93,104.5,101.6,100.5,100.7,100.1,100.6,103.5,99.1,100.1,100.5,76.9,99.8,102.1,101.5
月別指数／平成21年7月,2009,7,99.7,98.4,98.5,97.9,98.5,92.7,92.6,97.7,94.8,101,103.3,93.1,102.9,92.8,102.5,101.6,100.6,100.7,100.2,100.6,103.4,99.1,100.2,100.5,75.9,96.8,101.4,101.1
月別指数／平成21年8月,2009,8,99.9,98.6,97.9,102.2,103.5,92.1,92,97.1,94.3,100.3,102.7,92.1,103.5,92.5,101.4,101.7,100.9,101.3,100.7,100.9,103.4,99.1,100.1,101.5,75.7,96,101.9,101.1
月別指数／平成21年9月,2009,9,99.8,98.9,98.5,101.1,102.3,92.2,92,98.1,94.7,101.9,102.5,98,106.2,92.4,100,101.6,100.5,100.7,99.9,100.6,103.3,99.1,100,100.6,75.8,99.9,101.4,100.2
月別指数／平成21年10月,2009,10,99.4,97.9,98.2,95.9,96.5,91.2,91,97.8,94,102.1,102.1,98.8,104.3,91.9,99.8,101.6,100.5,100.7,99.9,100.6,103.4,99,100,100.6,75.5,99.9,100,100.2
月別指数／平成21年11月,2009,11,99.2,97.7,98.3,94.3,94.7,91.3,91.2,97.8,93.8,102.3,102.1,98.6,103.3,92.1,100.2,101.6,100.2,100.4,99.8,100.4,103.2,98.9,99.8,100.2,75.1,100.3,99.6,100.2
月別指数／平成21年12月,2009,12,99.1,97.3,97.8,94.6,95.2,90.2,90.3,97,93,101.5,101.6,97.4,103,91,100.9,101.6,100.4,100.6,100.1,100.4,103.3,98.9,99.8,100.4,73.9,99.2,99.5,100.6
月別指数／平成22年1月,2010,1,98.6,96.7,96.4,98.5,99.6,89.8,89.6,95.2,92.8,98,101.5,88,102.4,90.7,101.5,101.7,99.9,100,100,99.9,103.1,98.9,99.8,99.1,73,93,100.4,100.6
月別指数／平成22年2月,2010,2,98.6,96.9,96.7,98.5,99.6,90.4,90.2,95.3,93,98.1,101.6,87.2,105.4,90.9,102.2,101.7,99.9,100,99.8,99.9,103.3,98.7,99.6,99.2,73.4,92.7,100.7,100.7
前月比（％）／平成21年2月,2009,2,-0.3,-0.5,-0.2,-2.2,-2.5,-0.3,-0.4,-0.3,0.1,-0.6,-0.3,-1.2,4.2,-0.2,0,0.3,-0.1,-0.1,-0.2,-0.1,0,-0.2,-0.2,-0.1,-0.9,-0.8,-0.5,-0.1
前月比（％）／平成21年3月,2009,3,0.3,0.4,0.3,0.5,0.7,-1.5,-1.5,0.5,0,1.1,0.6,3,-0.1,-0.4,0,0,0.2,0.3,0.2,0.2,0,0.1,0.1,0.5,-0.9,1.8,0.3,0.2
前月比（％）／平成21年4月,2009,4,0,0.2,0.2,-0.2,-0.3,0.9,0.8,0.4,-0.4,1.3,-0.2,4.1,2.9,-0.6,-0.7,0.3,-0.1,-0.2,-0.3,-0.1,-0.2,-0.1,0,0,-1.4,2.6,-0.3,-0.5
前月比（％）／平成21年5月,2009,5,-0.2,-0.7,-0.9,0.8,1,-0.5,-0.4,0.1,0.1,0.1,-0.1,0.6,0.1,0,-6,-0.2,0.1,0.1,0.1,0.1,0.3,-0.1,0,0,-0.4,0.4,-0.9,-1.6
前月比（％）／平成21年6月,2009,6,-0.4,-0.8,-0.7,-1.5,-1.6,-0.5,-0.6,-0.4,-0.2,-0.6,-0.4,-0.5,3.4,-0.9,-2.2,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,-0.1,-1.2,-0.5,-0.9,-0.7
前月比（％）／平成21年7月,2009,7,-0.4,-1.1,-0.8,-2.4,-2.9,0.4,0.5,-0.7,0.1,-1.7,-0.1,-4.6,3.4,-0.2,-1.9,0,0.1,0,0.1,0,-0.1,0,0.1,0,-1.3,-3,-0.7,-0.4
前月比（％）／平成21年8月,2009,8,0.2,0.2,-0.6,4.4,5.1,-0.6,-0.6,-0.6,-0.5,-0.7,-0.6,-1.1,0.6,-0.3,-1.1,0.1,0.3,0.6,0.5,0.3,0,0,-0.1,1,-0.3,-0.8,0.5,0
前月比（％）／平成21年9月,2009,9,-0.1,0.3,0.6,-1.1,-1.2,0.1,0,1,0.4,1.6,-0.2,6.4,2.6,-0.1,-1.4,-0.1,-0.4,-0.6,-0.8,-0.3,-0.1,0,-0.1,-0.9,0.1,4.1,-0.5,-0.9
前月比（％）／平成21年10月,2009,10,-0.4,-1,-0.3,-5.1,-5.7,-1.1,-1.1,-0.3,-0.7,0.2,-0.4,0.8,-1.8,-0.5,-0.2,0,0,0,0,0,0.1,-0.1,0,0,-0.4,0,-1.4,0
前月比（％）／平成21年11月,2009,11,-0.2,-0.2,0.1,-1.7,-1.9,0.1,0.2,0,-0.2,0.2,0,-0.2,-1,0.2,0.4,0,-0.3,-0.3,-0.1,-0.2,-0.2,-0.1,-0.2,-0.4,-0.5,0.4,-0.4,0
前月比（％）／平成21年12月,2009,12,-0.1,-0.4,-0.5,0.3,0.5,-1.2,-1,-0.8,-0.9,-0.8,-0.5,-1.2,-0.3,-1.2,0.7,0,0.2,0.2,0.3,0,0.1,0,0,0.2,-1.6,-1.1,-0.1,0.4
前月比（％）／平成22年1月,2010,1,-0.5,-0.6,-1.4,4.1,4.6,-0.4,-0.8,-1.9,-0.2,-3.4,-0.1,-9.7,-0.6,-0.3,0.6,0.1,-0.5,-0.6,-0.1,-0.5,-0.2,0,0,-1.3,-1.2,-6.3,0.9,0
前月比（％）／平成22年2月,2010,2,0,0.2,0.3,0,0,0.7,0.7,0.1,0.2,0.1,0.1,-0.9,2.9,0.2,0.7,0,0,0,-0.2,0,0.2,-0.2,-0.2,0.1,0.5,-0.3,0.3,0.1
前月比寄与度,,,0.00 ,0.09 ,0.12 ,0.00 ,0.00 ,0.01 ,0.01 ,0.03 ,0.03 ,0.01 ,0.01 ,-0.04 ,0.03 ,0.02 ,0.04 ,0.00 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.01 ,-0.01 ,-0.04 ,0.02 ,0.01 ,-0.02 ,0.09 ,0.02 
前年同月比（％）／平成21年2月,2009,2,0.5,1,1.2,-1.1,-1.3,0.9,1.1,-0.1,-2.7,2.9,3.3,-0.2,-24.6,-1,9.2,0.7,0.2,0.5,-0.1,0.3,2.2,-0.2,-0.4,0.4,-4.5,-0.1,1.7,2.5
前年同月比（％）／平成21年3月,2009,3,0.2,0.3,0.6,-2.5,-2.8,-0.8,-0.6,-0.6,-2.7,1.7,3.5,-2.4,-25,-1.7,9.2,0.7,0.2,0.4,-0.2,0.3,1.8,-0.1,-0.3,0.4,-5.9,-1.4,1.4,2.5
前年同月比（％）／平成21年4月,2009,4,-0.1,-0.1,0.2,-2.6,-3,0.4,0.4,-0.7,-2.7,1.4,2.2,-1.7,-12.8,-2.3,6.1,0.6,-0.2,-0.1,0,-0.2,1.1,-0.3,-0.4,-0.5,-6.9,-0.9,0.7,1.7
前年同月比（％）／平成21年5月,2009,5,-0.8,-1.5,-1.4,-2.2,-2.5,0.2,0.4,-1.7,-3.9,0.9,1.6,-2.1,-25.9,-2.2,0.2,0.5,-0.3,-0.1,-0.2,-0.3,1.3,-0.4,-0.7,-0.6,-6.9,-1,-1,-0.1
前年同月比（％）／平成21年6月,2009,6,-1.5,-2.9,-2.6,-4.7,-5.1,-1.2,-1.1,-2.8,-4.9,-0.3,0.1,-2.3,-28.8,-2.8,-2.1,0.6,-0.4,-0.3,-0.2,-0.5,1,-0.4,-0.7,-0.8,-7.1,-1.5,-2.8,-0.7
前年同月比（％）／平成21年7月,2009,7,-1.8,-3.5,-3.3,-4.5,-5,-1.3,-1.1,-3,-5,-0.8,-0.2,-2.7,-30,-2.8,-5.9,0.7,-0.5,-0.6,-0.4,-0.6,0.4,-0.3,-0.5,-1.1,-7.7,-1.8,-3.5,-1.8
前年同月比（％）／平成21年8月,2009,8,-1.7,-3,-3.7,0.3,0.6,-2.2,-2.1,-3.4,-5.2,-1.3,-0.8,-2.3,-30.1,-3,-6.9,0.7,-0.6,-0.6,-0.3,-0.8,0.4,-0.3,-0.6,-1.3,-7.3,-1.7,-3,-2.1
前年同月比（％）／平成21年9月,2009,9,-2.1,-3.8,-4.1,-2.1,-2.1,-1.8,-1.8,-3.6,-4.6,-2.6,-1.3,-3.4,-25.1,-3.8,-8.2,0.7,-0.7,-0.7,-0.4,-0.9,0,-0.3,-0.8,-1.5,-7.2,-2.6,-3.7,-2.5
前年同月比（％）／平成21年10月,2009,10,-2.4,-4.7,-4.3,-7.1,-7.6,-3.7,-3.8,-3.6,-4.8,-2.5,-1.8,-2.9,-20,-4.2,-9,0.6,-0.7,-0.7,-0.4,-0.9,0,-0.4,-0.8,-1.5,-7.5,-3,-4.9,-2.7
前年同月比（％）／平成21年11月,2009,11,-2.2,-4.1,-3.7,-7,-7.3,-4.3,-4.3,-2.9,-3.2,-2.7,-1.7,-3.9,-6.3,-3.6,-8.7,0.6,-0.8,-0.7,-0.4,-0.8,-0.3,-0.6,-1,-1.1,-6.7,-3,-4.2,-2.6
前年同月比（％）／平成21年12月,2009,12,-2.2,-4.2,-3.6,-7.8,-8.1,-5,-4.8,-3.1,-2.9,-3.2,-2,-4.4,4.7,-4.6,-8,0.5,-0.6,-0.7,-0.3,-0.8,-0.3,-0.5,-0.7,-1.1,-8.2,-3.6,-4.1,-2.4
前年同月比（％）／平成22年1月,2010,1,-2.1,-4.2,-4.2,-4.4,-4.4,-4.7,-4.9,-3,-2.4,-3.4,-2.2,-4.5,14.2,-4.5,-11.4,0.6,-0.6,-0.7,-0.4,-0.7,-0.4,-0.5,-0.4,-1.1,-9.4,-3.6,-3.8,-3.5
前年同月比（％）／平成22年2月,2010,2,-1.8,-3.5,-3.7,-2.2,-2,-3.7,-3.8,-2.6,-2.3,-2.7,-1.8,-4.2,12.7,-4.1,-10.7,0.3,-0.5,-0.6,-0.4,-0.6,-0.2,-0.5,-0.4,-0.9,-8.1,-3.1,-3.1,-3.4
前年同月比寄与度,,,-1.80 ,-1.46 ,-1.39 ,-0.15 ,-0.12 ,-0.03 ,-0.03 ,-0.71 ,-0.34 ,-0.36 ,-0.23 ,-0.18 ,0.12 ,-0.42 ,-0.60 ,0.01 ,-0.29 ,-0.24 ,-0.05 ,-0.27 ,-0.01 ,-0.02 ,-0.07 ,-0.15 ,-0.23 ,-0.23 ,-0.98 ,-0.65 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２２年２月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．東京都区部消費者物価財・サービス分類指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
