年度,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和22年度平均/前年度比(%),1947,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和23年度平均/前年度比(%),1948,    -,60.8,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和24年度平均/前年度比(%),1949,    -,11.5,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和25年度平均/前年度比(%),1950,    -,-4.7,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和26年度平均/前年度比(%),1951,    -,17.4,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和27年度平均/前年度比(%),1952,    -,2.8,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和28年度平均/前年度比(%),1953,    -,9.6,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和29年度平均/前年度比(%),1954,    -,2.4,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和30年度平均/前年度比(%),1955,    -,-1.1,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和31年度平均/前年度比(%),1956,    -,1.4,0.4,    -,10.4,3.2,2.5,1.3,-0.1,10.9,1.5,1.2,-0.6
昭和32年度平均/前年度比(%),1957,    -,2.6,3,    -,6.6,4.1,-0.2,2.2,1.1,1,1.4,-0.5,1.2
昭和33年度平均/前年度比(%),1958,    -,1.4,1.3,    -,12.8,-2.7,-0.1,-3.8,-2.5,-3.4,12,2.6,1.8
昭和34年度平均/前年度比(%),1959,    -,1.6,0.3,    -,10.8,0.3,1,2,-1.3,0.8,0,6.9,0.3
昭和35年度平均/前年度比(%),1960,    -,3.8,4.1,    -,6.4,5.1,3.6,0.1,0.2,0.8,13.6,4.1,3.3
昭和36年度平均/前年度比(%),1961,    -,6.1,6.7,    -,8.7,3.9,2.2,4.7,5.4,7.8,8.3,6.9,5.6
昭和37年度平均/前年度比(%),1962,    -,6.6,7.2,    -,4.7,1.6,1.9,6,5.3,3.1,15,7.4,6.9
昭和38年度平均/前年度比(%),1963,    -,7.2,7.9,    -,8.3,-0.1,1.7,5.7,-1.1,2.2,12.4,10.7,6.7
昭和39年度平均/前年度比(%),1964,    -,4.7,4.8,    -,6.6,-0.1,1.4,3.2,2.2,2.1,9,8.8,4.9
昭和40年度平均/前年度比(%),1965,    -,6.8,8.1,    -,7.4,0.5,1.9,4,5.9,3.4,9.1,8.4,7.6
昭和41年度平均/前年度比(%),1966,    -,4.7,3,    -,10.7,0,1.8,4,0.4,14.3,11.9,6.5,4.2
昭和42年度平均/前年度比(%),1967,    -,4.1,5.7,    -,4.8,0.1,2.7,3.2,3.2,1.5,2.7,4.8,2.4
昭和43年度平均/前年度比(%),1968,    -,5.2,6.5,    -,2.3,0.5,2.1,6.2,4.8,3.7,5,5.2,7.4
昭和44年度平均/前年度比(%),1969,    -,6.6,8.1,    -,6.3,1.1,0,7.1,0.1,5.4,5.9,8.5,5.9
昭和45年度平均/前年度比(%),1970,    -,6.9,7.4,    -,8.5,1.2,5.7,11.9,6.5,4.4,3.9,5.3,7.7
昭和46年度平均/前年度比(%),1971,6,6,5.8,6.4,7.2,1.2,3.8,9.5,2.6,3.2,9.6,7.9,4.7
昭和47年度平均/前年度比(%),1972,6.5,5.6,5.3,14.5,9.2,5.7,2.4,6.3,8.9,4.8,6.9,4.5,5.1
昭和48年度平均/前年度比(%),1973,14.7,15.3,17.8,9.9,14.3,5.4,21.7,26,-2.9,7.4,12.1,13.9,8.6
昭和49年度平均/前年度比(%),1974,19.7,20.7,22.9,13.7,19.1,23.2,26.3,16.3,13.4,18.7,22.2,19.8,16.2
昭和50年度平均/前年度比(%),1975,11.1,10.9,11.4,10.5,8.6,14.5,-1.6,5.4,9.2,11.3,28.3,13.5,15
昭和51年度平均/前年度比(%),1976,9.5,9.5,8.9,9.8,9.5,12.6,2.3,8.9,10.9,12.4,14.5,5.5,17
昭和52年度平均/前年度比(%),1977,7.3,7,5.5,9.4,8.2,6.4,2.6,3.8,4.1,18.3,14.6,7,5.8
昭和53年度平均/前年度比(%),1978,4.5,3.9,3.4,8.9,6.8,-2,0.9,4.5,9.7,1.8,12.2,3.3,2.5
昭和54年度平均/前年度比(%),1979,4.5,4.5,3.1,4.9,5.6,9.8,2.6,3.8,3.8,6.8,8.9,3.8,4.6
昭和55年度平均/前年度比(%),1980,7,7.5,4.7,3.6,5.4,37.5,8.2,5.4,1,3.1,9.6,8.1,15
昭和56年度平均/前年度比(%),1981,4,4,4.2,3.6,3.1,3.8,2.6,3.2,3.2,5.7,7.3,3,3.1
昭和57年度平均/前年度比(%),1982,2.8,2.9,2.3,2.6,2.8,4.8,0,3.7,1.4,4.2,5.9,2.5,2.1
昭和58年度平均/前年度比(%),1983,2.2,2.2,2.3,2.9,3.6,-0.6,0.1,2.5,2,-1.6,4.7,3.1,5.1
昭和59年度平均/前年度比(%),1984,2.3,2.4,2.4,2.4,3.5,1.7,0.4,3.2,4,2.9,4.3,2.1,1.1
昭和60年度平均/前年度比(%),1985,2.3,2.2,1.6,2.9,2.8,-0.3,0.6,3.4,5.4,2.4,5.2,1.9,1
昭和61年度平均/前年度比(%),1986,0.3,0.1,-0.9,2.1,1.7,-7.7,0.4,2,2.4,-0.8,3.2,2.1,2.3
昭和62年度平均/前年度比(%),1987,0.9,0.5,0.6,3.1,2.9,-4.9,-0.8,-0.3,1.3,1.1,3.6,0.8,1
昭和63年度平均/前年度比(%),1988,1.1,1.1,1.2,1.4,1.9,-1.6,-0.2,2.2,0.3,-0.3,3.7,1.5,0.8
平成元年度平均/前年度比(%),1989,3.2,3.1,3.8,3.6,3.7,-1.2,0.8,5.5,1.2,1.5,3,4.1,1.9
平成2年度平均/前年度比(%),1990,3.2,3.3,4.4,2.8,3.3,1.3,0.4,4.2,1,0.9,4.7,4.1,1.6
平成3年度平均/前年度比(%),1991,3,2.9,3.6,3.7,4,0.4,0.6,6.1,1,1,3.1,2.3,1.6
平成4年度平均/前年度比(%),1992,1.6,1.5,0.5,3,3.5,0,1.5,0.8,2.5,2,3.6,2.7,1.6
平成5年度平均/前年度比(%),1993,1.2,0.8,1.3,3.7,2.1,-0.5,-1.9,-2,0.4,-0.2,3.6,1.8,1.4
