,,,,,,,,,(単位：トン）,,,
　　40年(1965),"32,106,097","4,061,040","28,045,057","6,882,517","117,005","6,765,512","25,223,580","3,944,035","21,279,545",,,
　　41年(1966),"35,308,281","4,634,404","30,673,877","8,021,623","144,957","7,876,666","27,286,658","4,489,447","22,797,211",,,
　　42年(1967),"41,578,498","5,456,333","36,122,165","8,459,318","169,228","8,290,090","33,119,180","5,287,105","27,832,075",,,
　　43年(1968),"41,916,310","6,181,256","35,735,054","8,615,620","312,389","8,303,231","33,300,690","5,868,867","27,431,823",,,
　　44年(1969),"43,198,406","6,356,988","36,841,418","8,660,336","478,151","8,182,185","34,538,070","5,878,837","28,659,233",,,
　　45年(1970),"44,233,376","6,071,140","38,162,236","9,494,937","649,785","8,845,152","34,738,439","5,421,355","29,317,084",,,
　　46年(1971),"42,004,526","5,683,699","36,320,827","8,678,752","666,321","8,012,431","33,325,774","5,017,378","28,308,396",,,
　　47年(1972),"45,534,451","6,701,529","38,832,922","10,002,068","1,483,105","8,518,963","35,532,383","5,218,424","30,313,959",,,
　　48年(1973),"55,354,139","10,772,119","44,582,020","12,926,174","2,782,966","10,143,208","42,427,965","7,989,153","34,438,812",,,
　　49年(1974),"55,573,468","12,909,850","42,663,618","13,609,249","3,702,260","9,906,989","41,964,219","9,207,590","32,756,629",,,
　　50年(1975),"49,886,395","12,705,915","37,180,480","11,499,821","3,533,145","7,966,676","38,386,574","9,172,770","29,213,804",,,
　　51年(1976),"55,238,025","15,743,920","39,494,105","14,093,810","4,874,981","9,218,829","41,144,215","10,868,939","30,275,276",,,
　　52年(1977),"58,541,053","16,924,861","41,616,192","15,291,104","5,521,454","9,769,650","43,249,949","11,403,407","31,846,542",,,
　　53年(1978),"59,660,852","17,043,531","42,617,321","16,273,842","5,653,780","10,620,062","43,387,010","11,389,751","31,997,259",,,
　　54年(1979),"61,875,080","17,667,191","44,207,889","17,408,594","5,607,281","11,801,313","44,466,486","12,059,910","32,406,576",,,
　　55年(1980),"62,006,729","18,987,794","43,018,935","17,335,180","6,588,701","10,746,479","44,671,549","12,399,093","32,272,456",,,
　　56年(1981),"60,515,052","19,425,964","41,089,088","17,133,968","7,306,749","9,827,219","43,381,084","12,119,215","31,261,869",,,
　　57年(1982),"59,091,932","19,028,695","40,063,237","17,490,749","7,238,468","10,252,281","41,601,183","11,790,227","29,810,956",,,
　　58年(1983),"57,927,926","18,903,891","39,024,035","16,937,824","6,808,019","10,129,805","40,990,102","12,095,872","28,894,230",,,
　　59年(1984),"60,756,819","19,568,560","41,188,259","17,927,720","7,745,593","10,182,127","42,829,099","11,822,967","31,006,132",,,
　　60年(1985),"59,546,034","19,597,605","39,948,429","18,463,451","8,195,371","10,268,080","41,082,583","11,402,234","29,680,349",,,
　　61年(1986),"61,782,999","19,133,184","42,649,815","19,730,217","7,979,378","11,750,839","42,052,782","11,153,806","30,898,976",,,
　　62年(1987),"66,402,827","19,913,983","46,488,844","22,715,632","8,259,239","14,456,393","43,687,195","11,654,744","32,032,451",,,
　　63年(1988),"70,430,855","20,568,705","49,862,150","23,957,253","8,084,639","15,872,614","46,473,602","12,484,066","33,989,536",,,
平成 元年(1989),"75,570,753","23,233,288","52,337,465","24,465,754","8,356,461","16,109,293","51,104,999","14,876,827","36,228,172",,,
　　 2年(1990),"79,335,223","25,957,297","53,377,926","25,371,358","9,663,866","15,707,492","53,963,865","16,293,431","37,670,434",,,
　　 3年(1991),"84,146,734","27,712,695","56,434,039","27,699,430","10,444,392","17,255,038","56,447,304","17,268,303","39,179,001",,,
　　 4年(1992),"81,538,674","27,494,022","54,044,652","27,649,121","10,487,962","17,161,159","53,889,553","17,006,060","36,883,493",,,
　　 5年(1993),"73,690,144","24,569,532","49,120,612","22,736,532","7,795,534","14,940,998","50,953,612","16,773,998","34,179,614",,,
　　 6年(1994),"77,907,628","25,702,422","52,205,206","25,293,272","8,474,743","16,818,529","52,614,356","17,227,679","35,386,677",,,
　　 7年(1995),"87,289,654","30,208,754","57,080,900","28,643,974","10,040,820","18,603,154","58,645,680","20,167,934","38,477,746",,,
　　 8年(1996),"92,196,137","32,675,099","59,521,038","34,541,524","13,074,637","21,466,887","57,654,613","19,600,462","38,054,151",,,
　　 9年(1997),"93,131,079","34,197,940","58,933,139","35,393,493","14,089,630","21,303,863","57,737,586","20,108,310","37,629,276",,,
　　10年(1998),"88,391,508","32,812,548","55,578,960","33,969,621","14,332,817","19,636,804","54,421,887","18,479,731","35,942,156",,,
　　11年(1999),"85,414,441","31,765,887","53,648,554","36,112,328","14,614,638","21,497,690","49,302,113","17,151,249","32,150,864",,,
　　12年(2000),"84,559,363","31,034,313","53,525,050","39,283,394","15,512,031","23,771,363","45,275,969","15,522,282","29,753,687",,,
　　13年(2001),"82,056,013","29,090,256","52,965,757","38,064,298","15,054,858","23,009,440","43,991,715","14,035,398","29,956,317",,,
　　14年(2002),"82,519,796","30,591,857","51,927,939","39,809,943","16,008,849","23,801,094","42,709,853","14,583,008","28,126,845",,,
　　15年(2003),"88,473,966","32,842,827","55,631,139","43,329,278","17,197,803","26,131,475","45,144,688","15,645,024","29,499,664",,,
　　16年(2004),"91,426,731","34,455,324","56,971,407","45,954,479","18,382,322","27,572,157","45,472,252","16,073,002","29,399,250",,,
    17年(2005),"92,032,259","34,952,568","57,079,691","46,509,208","18,717,399","27,791,809","45,523,051","16,235,169","29,287,882",,,
    18年(2006),"90,811,219","33,827,231","56,983,988","45,858,277","17,492,342","28,365,935","44,952,942","16,334,889","28,618,053",,,
    19年(2007),"87,629,230","32,569,889","55,059,341","46,111,571","17,635,901","28,475,670","41,517,659","14,933,988","26,583,671",,,
    20年(2008),"81,356,537","26,133,976","55,222,561","45,118,924","13,678,997","31,439,927","36,237,613","12,454,979","23,782,634",,,
    21年(2009),"72,413,330","22,610,207","49,803,123","40,684,247","12,134,684","28,549,563","31,729,083","10,475,523","21,253,560",,,
    22年(2010),"77,515,271","25,008,352","52,506,919","45,149,688","13,574,996","31,574,692","32,365,583","11,433,356","20,932,227",,,
    23年(2011),"83,394,743","26,312,640","57,082,103","46,841,252","12,953,609","33,887,643","36,553,491","13,359,031","23,194,460",,,
    24年(2012),"82,786,421","25,979,518","56,806,903","47,399,227","13,146,722","34,252,505","35,387,194","12,832,796","22,554,398",,,
    25年(2013),"86,032,354","27,393,605","58,638,749","48,494,300","13,146,512","35,347,788","37,538,054","14,247,093","23,290,961",,,
    26年(2014),"87,189,132","27,438,804","59,750,328","48,867,479","13,222,318","35,645,161","38,321,653","14,216,486","24,105,167",,,
　　27年(2015),"85,332,872","26,838,023","58,494,849","46,699,117","12,933,120","33,765,997","38,633,755","13,904,903","24,728,852",,,
    28年(2016),"85,954,195","27,664,131","58,290,064","48,102,417","13,368,468","34,733,949","37,851,778","14,295,663","23,556,115",,,
平成29年(2017),"90,780,146","29,300,368","61,479,778","50,116,156","13,508,587","36,607,569","40,663,990","15,791,781","24,872,209",,,
前年比（％）,105.6%,105.9%,105.5%,104.2%,101.0%,105.4%,107.4%,110.5%,105.6%,,,
前年比較増減,"4,825,951","1,636,237","3,189,714","2,013,739","140,119","1,873,620","2,812,212","1,496,118","1,316,094",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
