,,,,,,,,,,,,,,,,,,,(単位：トン）
品種,,アフリカ,太洋州,,,,,,,,,,,,,,,品種,
,,レユニオン,計,オーストラリア,,,,,,,,,,,ニュージーランド,,,,
,,諸港（レユニオン）,,小計,ブリスベーン,ニューカッスル,シドニー,メルボルン,アデレード,ジェラルドトン,フリマントル,バンバリー,オールバニ,クイナナ,小計,オークランド,タウランガ,,
合計,,30,"466,836","150,475",929,"19,925",514,"1,814","1,667","10,979","16,494","44,400","42,332","11,421","315,461","2,442","169,943",合計,
農水産品,,30,"205,230","38,885",417,-,15,653,75,"10,979","5,347",-,"9,978","11,421","165,475",781,"115,670",農水産品,
1,麦,-,"37,838","37,680",15,-,-,-,-,"10,979","5,287",-,"9,978","11,421",158,-,-,1,麦
2,米,-,390,390,-,-,-,390,-,-,-,-,-,-,-,-,-,2,米
3,とうもろこし,-,435,-,-,-,-,-,-,-,-,-,-,-,435,-,-,3,とうもろこし
4,豆類,-,300,-,-,-,-,-,-,-,-,-,-,-,300,-,-,4,豆類
5,その他雑穀,-,60,-,-,-,-,-,-,-,-,-,-,-,60,-,-,5,その他雑穀
6,野菜・果物,-,"133,897",342,290,-,-,52,-,-,-,-,-,-,"133,555",30,"105,482",6,野菜・果物
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花
8,その他農産品,-,"1,991",210,-,-,-,150,-,-,60,-,-,-,"1,781",160,416,8,その他農産品
9,羊毛,-,154,-,-,-,-,-,-,-,-,-,-,-,154,-,-,9,羊毛
10,その他畜産品,-,"22,406",176,100,-,15,61,-,-,-,-,-,-,"22,230",308,"5,767",10,その他畜産品
11,水産品,30,"7,759",87,12,-,-,-,75,-,-,-,-,-,"6,802",283,"4,005",11,水産品
林産品,,-,"27,416",-,-,-,-,-,-,-,-,-,-,-,"27,416",-,"1,243",林産品,
12,原木,-,120,-,-,-,-,-,-,-,-,-,-,-,120,-,120,12,原木
13,製材,-,"26,563",-,-,-,-,-,-,-,-,-,-,-,"26,563",-,390,13,製材
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類
15,木材チップ,-,45,-,-,-,-,-,-,-,-,-,-,-,45,-,45,15,木材チップ
16,その他林産品,-,688,-,-,-,-,-,-,-,-,-,-,-,688,-,688,16,その他林産品
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,薪炭
鉱産品,,-,"91,684","91,609",-,"19,925",-,45,320,-,15,"44,400","26,904",-,75,-,75,鉱産品,
18,石炭,-,"19,925","19,925",-,"19,925",-,-,-,-,-,-,-,-,-,-,-,18,石炭
