施設名,設置基数,総容量（kW),参考：年間発電量（kWh),備考
庁舎（太陽光）,2,20,17580,年度途中の導入や故障等により、データ未取得となった月あり
岩戸地域センター（太陽光）,1,3,4252,
和泉多摩川地区センター（太陽光）,1,3,3548.2,
狛江第三小学校（太陽光）,2,20,19935.8,年度途中の導入や故障等により、データ未取得となった月あり
狛江第五小学校（太陽光）,1,10,12746.9,
狛江第六小学校（太陽光）,2,20,16238.4,年度途中の導入や故障等により、データ未取得となった月あり
緑野小学校（太陽光）,2,1.44,‐,
狛江第二中学校（太陽光）,1,15,12208.2,
駒井保育園（太陽光）,1,10,2574.5,年度途中の導入や故障等により、データ未取得となった月あり
中学校給食センター（太陽光）,1,10,12653.1,
北部児童館（太陽光）,1,5,998,
第五小学校放課後クラブ（太陽光）,1,3,1053,
子育て・教育支援複合施設（太陽光）,1,5,6277,年度途中の導入や故障等により、データ未取得となった月あり
狛江駅北口喫煙所（太陽光）,2,0.24,-,
えきまえ広場（太陽光）,1,0.18,-,
緑小学校小学校（風力）,2,2.5,-,
