行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,URL,時刻表,備考2,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時
1,-35254.864,-50573.186,1 町田バスセンター,194-0022,東京都町田市森野1丁目1407-2番,042-724-4261,路線バスと兼用　※乗車場は6番乗り場になります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,45,25,05 40,20 55,30,05 45,20 55,30,05 45,25
2,-35738.276,-50173.152,2 町田市役所市民ホール前,194-0022,東京都町田市森野2丁目1000-2番,042-724-4261,路線バスと兼用　※乗車場は2番乗り場になります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,47,27,07 42,22 57,32,07 47,22 57,32,07 47,27
3,-35827.603,-49817.399,3 第四小学校前,194-0022,東京都町田市森野5丁目676-5番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,49,29,09 44,24 59,34,09 49,24 59,34,09 49,29
4,-35614.328,-49583.284,4 中町二丁目,194-0023,東京都町田市旭町1丁目644-10番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,50,30,10 45,25,00 35,10 50,25,00 35,10 50,30
5,-35471.927,-49355.223,5 旭町,194-0023,東京都町田市旭町1丁目586-2番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,50,30,10 45,25,00 35,10 50,25,00 35,10 50,30
6,-35824.171,-49072.948,6 町田市民病院,194-0023,東京都町田市旭町2丁目1691-1番,042-724-4261,,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,56,36,16 51,31,06 41,16 56,31,06 41,16 56,36
7,-35363.603,-49486.69,7 五間道路,194-0021,東京都町田市中町2丁目475-2番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,58,38,18 53,33,08 43,18 58,33,08 43,18 58,38
8,-35232.74,-49668.835,8 図書館前,194-0021,東京都町田市中町2丁目564-9番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,59,39,19 54,34,09 44,19 59,34,09 44,19 59,39
9,-35011.165,-49976.552,9 中町一丁目,194-0021,東京都町田市中町1丁目373-4番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,,00 40,20 55,35,10 45,20,00 35,10 45,20,00 40
10,-34768.664,-50313.577,10 原町田五丁目,194-0013,東京都町田市原町田5丁目289-2番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,,02 42,22 57,37,12 47,22,02 37,12 47,22,02 42
11,-34583.821,-50570.967,11 原町田四丁目,194-0013,東京都町田市原町田4丁目148-2番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。,,03 43,23 58,38,13 48,23,03 38,13 48,23,03 43
12,-34822.654,-50937.793,12 町田ターミナル,194-0013,東京都町田市原町田3丁目1020-6番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/koukyou04.html,（2019.4.1改正）,土日祝日、年末年始を除く平日のみの運行です。　*降車のみになります。,,05 45,25,00 40,15 50,25,05 40,15 50,25,05 45
