行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,URL,時刻表,備考2,8時,9時,10時,11時,12時,14時,15時,16時,17時,18時
1,-49617.6763,-42847.62045,1 ネイチャーファクトリー東京町田（町田ターミナル方面）,194-0211,東京都町田市相原町5772,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,30,,,50,,,,0,,
2,-49372.35024,-42775.72793,2 上大戸（町田ターミナル方面）,194-0211,東京都町田市相原町4638,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,31,,,51,,,,1,,
3,-49141.58552,-42818.65109,3 大戸橋（町田ターミナル方面）,194-0211,東京都町田市相原町4473,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,32,,,52,,,,2,,
4,-48652.90495,-43063.96978,4 公会堂前（町田ターミナル方面）,194-0211,東京都町田市相原町4278,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,33,,,53,,,,3,,
5,-48449.90073,-43151.04194,5 水の口（町田ターミナル方面）,194-0211,東京都町田市相原町3309,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,34,                        ,,54,,,,4,,
6,-48178.29097,-43419.96139,6 円林寺前（町田ターミナル方面）,194-0211,東京都町田市相原町3727-2,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,35,,,55,,,,5,,
7,-47893.28439,-43599.87393,7 境橋（町田ターミナル方面）,194-0211,東京都町田市相原町3131,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,37,,,57,,,,7,,
8,-47476.52377,-43656.79768,8 根岸（町田ターミナル方面）,194-0211,東京都町田市相原町3085,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,38,,,58,,,,8,,
9,-46853.44538,-43613.87309,9 相原十字路（町田ターミナル方面）,194-0211,東京都町田市相原町2180-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,40,,,,0,,,10,,
10,-46547.10473,-43538.90573,10 開都（町田ターミナル方面）,194-0211,東京都町田市相原町2117-3,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,41,,,,1,,,11,,
