行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,備考_2,URL,時刻表,備考_13,7時,9時,11時,13時,15時
1,-33497.421,-48357.527,1 玉川学園前駅南口,194-0041,町田市玉川学園2丁目3892-3番,042-724-4260,東ルートと兼用,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,0*,37,37,37,37
2,-33369.016,-48338.795,2 ぬぼこ山,194-0041,町田市玉川学園7丁目4110-3番,042-724-4260,東ルートと兼用,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,3*,40,40,40,40
3,-33506.827,-48586.258,3 七丁目児童公園前,174-0041,町田市玉川学園7丁目630-6番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,4*,41,41,41,41
4,-33611.825,-48872.651,4 松見ヶ丘北,194-0041,町田市玉川学園8丁目654-1番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,5*,42,42,42,42
5,-33617.431,-49058.931,5 松見ヶ丘西,194-0041,町田市玉川学園8丁目673-9番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,6*,43,43,43,43
6,-33600.353,-49150.891,6 松見ヶ丘南,194-0041,町田市玉川学園8丁目671-1番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,7*,44,44,44,44
7,-33549.834,-49089.352,7 松見ヶ丘尾根,194-0041,町田市玉川学園8丁目675-2番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,8*,45,45,45,45
8,-33512.3,-48936.624,8 松見ヶ丘東,194-0041,町田市玉川学園8丁目646-26番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,9*,46,46,46,46
9,-33507.667,-48863.049,9 無窮坂上,194-0041,町田市玉川学園8丁目656-9番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,9*,46,46,46,46
10,-33630.47,-48584.486,10 のらくろ坂下,194-0041,町田市玉川学園2丁目663-4番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/minamiroutekaishi.html,（2022.1.16改正）,*は平日のみ運行。（土曜・日祝を除く、8/13～8/16、12/30～1/3は祝日扱い）,10*,47,47,47,47
