行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,URL,時刻表,備考2,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時
1,-39042.132,-45611.629,1 小山田桜台（多摩南部地域病院行）,194-0204,町田市小山田桜台1丁目17-2番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,05 55,25,00 30,45,45,45,45,45,45,45,45,45,45,45,45,
2,-38660.646,-45583.444,2 桜台入口（多摩南部地域病院行）,194-0202,町田市下小山田町3333-5番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,多摩南部地域病院発は、当バス停に止まりません。,06 56,26,01 31,46,46,46,46,46,46,46,46,46,46,46,46,
3,-38472.275,-45198.339,3 清住平（多摩南部地域病院行）,194-0202,町田市下小山田町2884-2番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,07 57,27,02 32,47,47,47,47,47,47,47,47,47,47,47,47,
4,-38297.299,-44695.321,4 大泉寺（多摩南部地域病院行）,194-0202,町田市下小山田町2565-1番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,08 58,28,03 33,48,48,48,48,48,48,48,48,48,48,48,48,
5,-38469.288,-44629.935,5 山の端（多摩南部地域病院行）,194-0202,町田市下小山田町2601-2番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,09 59,29,04 34,49,49,49,49,49,49,49,49,49,49,49,49,
6,-38510.223,-44073.524,6 大善倶楽部（多摩南部地域病院行）,194-0202,町田市下小山田町2354-4番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,11,01 31,06 36,51,51,51,51,51,51,51,51,51,51,51,51,
7,-38533.458,-43379.806,7 山中集会所（多摩南部地域病院行）,194-0201,町田市上小山田町973-2番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,12,02 32,07 37,52,52,52,52,52,52,52,52,52,52,52,52,
8,-38527.262,-43384.248,7 山中集会所（小山田桜台行）,194-0201,町田市上小山田町973-1番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,37,37,7,17,26,26,26,26,26,26,26,23,24,24,24,26
9,-38495.105,-44101.645,6 大善倶楽部（小山田桜台行）,194-0202,町田市下小山田町2353-2番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,39,39,9,19,28,28,28,28,28,28,28,25,26,26,26,28
10,-38460.813,-44622.672,5 山の端（小山田桜台行）,194-0202,町田市下小山田町2602-1番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,40,40,10,20,29,29,29,29,29,29,29,26,27,27,27,29
11,-38297.279,-44695.364,4 大泉寺（小山田桜台行）,194-0202,町田市下小山田町2565-1番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,41,41,11,21,30,30,30,30,30,30,30,27,28,28,28,30
12,-38298.73,-45075.987,3 清住平（小山田桜台行）,194-0202,町田市下小山田町2834-4番,042-724-4261,平日のみ運行（土日祝日、12月29日～1月3日を除く）,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/rosen/karakidakensyounko.html,（2022.3.12改正）,,42,42,12,22,31,31,31,31,31,31,31,28,29,29,29,31
