行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,備考_2,URL,時刻表,備考,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時
1,-33570.24682,-48389.30292,1 玉川学園前駅,194-0041,町田市玉川学園2丁目3891番,042-724-4260,路線バスと兼用,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,35,00 25 50,15 40*,10,10 40*,10,10 40*,10,10 40*,10,10 40*,10 40,10 35,00 30,00 30,00 30有
2,-33670.1845,-48588.26436,2 玉川学園前駅西,194-0041,町田市玉川学園2丁目3881番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,36,01 26 51,16 41*,11,11 41*,11,11 41*,11,11 41*,11,11 41*,11 41,11 36,01 31,01 31,01 31有
3,-33711.67135,-48760.916,3 玉川学園一丁目,194-0041,町田市玉川学園1丁目614番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,37,02 27 52,17 42*,12,12 42*,12,12 42*,12,12 42*,12,12 42*,12 42,12 37,02 32,02 32,02 32有
4,-33807.99099,-48812.45162,4 月見ヶ丘,194-0041,町田市玉川学園1丁目607番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,38,03 28 53,18 43*,13,13 43*,13,13 43*,13,13 43*,13,13 43*,13 43,13 38,03 33,03 33,03 33有
5,-33958.36936,-48750.72063,5 一丁目児童公園,194-0041,町田市玉川学園1丁目3725番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,39,04 29 54,19 44*,14,14 44*,14,14 44*,14,14 44*,14,14 44*,14 44,14 39,04 34,04 34,04 34有
6,-34100.30293,-48734.87308,6 玉林台児童遊園,194-0041,町田市玉川学園1丁目4334番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,40,05 30 55,20 45*,15,15 45*,15,15 45*,15,15 45*,15,15 45*,15 45,15 40,05 35,05 35,05 35有
7,-34228.00857,-48628.65422,7 玉園台,194-0041,町田市玉川学園3丁目3690番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,41,06 31 56,21 46*,16,16 46*,16,16 46*,16,16 46*,16,16 46*,16 46,16 41,06 36,06 36,06 36有
8,-34307.4747,-48331.84284,8 玉林台駐在所,194-0041,町田市玉川学園3丁目3628番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,42,07 32 57,22 47*,17,17 47*,17,17 47*,17,17 47*,17,17 47*,17 47,17 42,07 37,07 37,07 37有
19,-34095.64419,-48281.09882,19 第五小学校,194-0041,町田市玉川学園4丁目3742番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,,,48*,,48*,,48*,,48*,,48*,,,,,
20,-33998.70118,-48373.52772,20 さくらんぼホール,194-0041,町田市玉川学園3丁目3728番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,,,49*,,49*,,49*,,49*,,49*,,,,,
