行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,URL,時刻表,備考2,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時
1,"-32,708.01","-51,504.86",1 成瀬駅南口前,194-0011,町田市成瀬が丘2丁目53番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：45,平日：10 38　土休日：38,03 31 56,24 52,20 45,13 38,09 34,02 37 55,23 51,16 44,09 40,05 36,01 33,平日：02 30 55  土休日：02　30,平日：24 52,
2,"-32,983.28","-51,482.54",2 成瀬が丘三丁目東,194-0011,町田市成瀬が丘3丁目5-3番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：46,平日：11 39　土休日：39,04 32 57,25 53,21 46,14 39,10 35,03 28 56,24 52,17 45,10 41,06 37,02 34,平日：03 31 56  土休日：03 31,平日：25 53,
3,"-33,083.46","-51,498.26",3 三丁目児童公園入口,194-0011,町田市成瀬が丘3丁目19-3番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：46,平日：11 39　土休日：39,04 32 57,25 53,21 46,14 39,10 35,03 28 56,24 52,17 45,10 41,06 37,02 34,平日：03 31 56  土休日：03 31,平日：25 53,
4,"-33,236.17","-51,564.17",4 成瀬が丘三丁目西,194-0011,町田市成瀬が丘3丁目30-3番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：47,平日：12 40　土休日：40,05 33 58,26 54,22 47,15 40,11 36,04 29 57,25 53,18 46,11 42,07 38,03 35,平日：04 32 57  土休日：04 32,平日：26 54,
5,"-33,353.40","-51,637.34",5 金森図書館前,194-0015,町田市金森東2丁目1105-4番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：48,平日：13 41　土休日：41,06 34 59,27 55,23 48,16 41,12 37,05 30 58,26 54,19 47,12 43,08 39,04 36,平日：05 33 58  土休日：05 33,平日：27 55,
6,"-33,530.14","-51,537.55",6 松葉谷戸公園入口,194-0015,町田市金森東2丁目521-2番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：48,平日：13 41　土休日：41,06 34 59,27 55,23 48,16 41,12 37,05 30 58,26 54,19 47,12 43,08 39,04 36,平日：05 33 58  土休日：05 33,平日：27 55,
7,"-33,680.44","-51,577.32",7 都営金森第9前,194-0015,町田市金森東2丁目516-4番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：49,平日：14 42　土休日：42,07 35,00 28 56,24 49,17 42,13 38,06 31 59,27 55,20 48,13 44,09 40,05 37,平日：06 34 59  土休日：06 34,平日：28 56,
8,"-33,781.85","-51,641.12",8 金森二丁目中央,194-0015,町田市金森東2丁目558-4番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：49,平日：14 42　土休日：42,07 35,00 28 56,24 49,17 42,13 38,06 31 59,27 55,20 48,13 44,09 40,05 37,平日：06 34 59  土休日：06 34,平日：28 56,
9,"-33,761.89","-51,777.14",9 金森,194-0015,町田市金森東2丁目541-7番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：50,平日：15 43　土休日：43,08 36,01 29 57,25 50,18 43,14 39,07 32,00 28 56,21 49,14 45,10 41,06 38,07 35,平日：00 29 57,
10,"-33,668.68","-52,005.20",10 都営金森第11入口,194-0012,町田市金森2丁目952-2番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：51,平日：16 44　土休日：44,09 37,02 30 58,26 51,19 44,15 40,08 33,01 29 57,22 50,15 46,11 42,17 39,08 36,平日：01 30 58,
