番号,項目,回答数（人）,回答数（％）
1,住民等、利用者からの反応が良かったから,27,50.9
2,参加店舗からの反応が良かったから,25,47.2
3,デジタル活用事業について、想定を上回る執行があったから,8,15.1
4,住民等、利用者への広報事務の負担が減ったから,3,5.7
5,店舗への広報事務の負担が減ったから,10,18.9
6,利用者や参加店舗からの問い合わせが減少したから,7,13.2
7,紙商品券の印刷や集計確認作業などの事務負担が減少したから,34,64.2
8,接触機会を減らせるから,33,62.3
9,１円単位の支払いにも利用することができるから,16,30.2
10,地域におけるキャッシュレス化を推進することができるから,45,84.9
11,利用データを今後の施策展開に生かすことができるから,20,37.7
12,事業中においても、デジタル活用事業の利用状況をリアルタイムに把握することができるから,16,30.2
13,デジタル活用事業では、在勤者や観光客を含め、利用者層を広げることができるから,10,18.9
14,その他,2,3.8
全体,,212,
