,,,,結果（%）,結果（点）,結果（億円）,結果（自治体）,参考値（%）,参考値（点）,参考値（自治体）,達成率（%）
キャッシュレス化の推進,キャッシュレス化の契機,KPI(1),ユーザー（利用者）の増加率,16.3,,,,15,,,109
キャッシュレス化の推進,キャッシュレス化の契機,KPI(2),決済取引金額（利用者）の増加率,60.1,,,,50,,,120
キャッシュレス化の推進,キャッシュレス化の契機,KPI(3),決済取引回数（利用者）の増加率,60.6,,,,50,,,121
キャッシュレス化の推進,キャッシュレス化の契機,KPI(4),ユーザー（店舗）の増加率,9,,,,30,,,30
キャッシュレス化の推進,キャッシュレス化の契機,KPI(5),決済取引金額（店舗）の増加率,76.4,,,,50,,,153
キャッシュレス化の推進,キャッシュレス化の契機,KPI(6),決済取引回数（店舗）の増加率,81.2,,,,50,,,162
キャッシュレス化の推進,キャッシュレス化推進の継続,KPI(7),ユーザー（利用者）の継続意向,97.4,,,,80,,,122
キャッシュレス化の推進,キャッシュレス化推進の継続,KPI(8),決済取引金額（利用者）の維持率,89.2,,,,50,,,178
キャッシュレス化の推進,キャッシュレス化推進の継続,KPI(9),決済取引回数（利用者）の維持率,88.7,,,,50,,,177
キャッシュレス化の推進,キャッシュレス化推進の継続,KPI(10),ユーザー（店舗）の継続意向,97.7,,,,90,,,109
キャッシュレス化の推進,キャッシュレス化推進の継続,KPI(11),決済取引金額（店舗）の維持率,69.4,,,,50,,,139
キャッシュレス化の推進,キャッシュレス化推進の継続,KPI(12),決済取引回数（店舗）の維持率,67.6,,,,50,,,135
地域経済の活性化,利用者,KPI(13),消費を増加させた人の増加率,60.6,,,,50,,,121
地域経済の活性化,店舗,KPI(14),売上が増加した店舗の増加率,51.3,,,,40,,,128
地域経済の活性化,店舗,KPI(15),事業の満足度（店舗）,,6.84,,,,7,,98
都民の生活応援,利用者,KPI(16),経済波及効果額,,,753,,,,,
都民の生活応援,利用者,KPI(17),還元額,,,107,,,,,
都民の生活応援,利用者,KPI(18),事業の満足度（利用者）,,7.06,,,,7,,101
新しい日常の定着,新しい日常への意識変化,KPI(19),新しい日常への意識変化（利用者）,61,,,,50,,,122
新しい日常の定着,新しい日常への意識変化,KPI(20),新しい日常への意識変化（店舗）,53.6,,,,50,,,107
新しい日常の定着,新しい日常の行動変容,KPI(21),接触回数減少率（利用者）,48.4,,,,50,,,97
新しい日常の定着,新しい日常の行動変容,KPI(1),ユーザー（利用者）の増加率【再掲】,16.3,,,,15,,,109
新しい日常の定着,新しい日常の行動変容,KPI(22),接触回数減少率（店舗）,34.7,,,,50,,,68
新しい日常の定着,新しい日常の行動変容,KPI(4),ユーザー（店舗）の増加率【再掲】,9,,,,30,,,30
新しい日常の定着,新しい日常の行動変容,KPI(23),自治体のデジタル化,,,,38,,,46,82
