番号,項目,回答数（人）,回答数（％）
1,利用者側にキャッシュレスに対する抵抗感があるから,4,7.5
2,地元店舗においてキャッシュレスに対する強い抵抗感があるから,5,9.4
3,デジタル活用事業について、思うように執行が伸びなかったから,1,1.9
4,利用者に対する、デジタル活用事業の概要説明や決済方法説明会等を実施する負担が大きかったから,0,0
5,参加店舗に対し、デジタル活用事業の概要説明や決済端末の使い方説明会等を実施する負担が大きかったから,0,0
6,紙商品券事業に比して、利用者や参加店舗からの問い合わせが増加したから,1,1.9
7,決済事業者等との調整に苦労したから,3,5.7
8,決済事業者等から得られる決済情報等が少なかったから,3,5.7
9,自団体の住民に利用者を限定する等、事業対象者を絞り込むことができるから,6,11.3
10,キャンペーンによる還元（プレミアム付与）分も、自団体の区域内での消費に還元することができるから,11,20.8
11,幅広い年代の住民等が参加することができるから,16,30.2
12,規模の小さな個人商店等を含め多くの店舗に参加してもらえるから,11,20.8
13,該当なし（デジタル活用事業を中心に実施予定のため）,34,64.2
14,その他,4,7.5
全体,,88,186.9
