,本事業指標名,指標測定方法,参考値（%）,参考値（点）,参考値（自治体）,参考値設定の考え方
KPI(1),ユーザー（利用者）の増加率,利用者アンケートで「本事業をきっかけにキャッシュレス決済を開始した」と回答した人の割合,15,,,キャッシュレス・消費者還元事業の「事業をきっかけとしたキャッシュレス決済の開始率」17.5％を参考に設定
KPI(2),決済取引金額（利用者）の増加率,利用者アンケートで「事業前よりもキャッシュレス決済を利用する金額を増やした」と回答した人の割合,50,,,キャッシュレス・消費者還元事業の「消費者の利用頻度増加率」50.2％を参考に設定
KPI(3),決済取引回数（利用者）の増加率,利用者アンケートで「事業前よりもキャッシュレス決済を利用する回数を増やした」と回答した人の割合,50,,,キャッシュレス・消費者還元事業の「消費者の利用頻度増加率」50.2％を参考に設定
KPI(4),ユーザー（店舗）の増加率,店舗アンケートで「本事業をきっかけにキャッシュレス決済を導入または再開した」と回答した店舗の割合,30,,,キャッシュレス・消費者還元事業の「事業をきっかけとしたキャッシュレス決済の導入率」32.7％を参考に設定
KPI(5),決済取引金額（店舗）の増加率,店舗アンケートで「事業前よりもキャッシュレス決済取引金額が増加した」と回答した店舗の割合,50,,,キャッシュレス・消費者還元事業の「消費者の利用頻度増加率」50.2％を参考に設定
KPI(6),決済取引回数（店舗）の増加率,店舗アンケートで「事業前よりもキャッシュレス決済取引回数が増加した」と回答した店舗の割合,50,,,キャッシュレス・消費者還元事業の「消費者の利用頻度増加率」50.2％を参考に設定
KPI(7),ユーザー（利用者）の継続意向,利用者アンケートで「事業終了後も、キャッシュレス決済利用の継続意向がある」と回答した人の割合,80,,,キャッシュレス・消費者還元事業の「事業終了後のキャッシュレス決済利用の継続意向率」83.8％を参考に設定
KPI(8),決済取引金額（利用者）の維持率,利用者アンケートで「事業終了後のキャッシュレス決済金額が事業期間中よりも増加した、又はほぼ変わらない」と回答した人の割合,50,,,概ね効果があったと判断できる維持率50％を達成することを目標に設定
KPI(9),決済取引回数（利用者）の維持率,利用者アンケートで「事業終了後のキャッシュレス決済回数が事業期間中よりも増加した、又はほぼ変わらない」と回答した人の割合,50,,,概ね効果があったと判断できる維持率50％を達成することを目標に設定
KPI(10),ユーザー（店舗）の継続意向,店舗アンケートで「事業終了後も、キャッシュレス決済の提供を継続する意向がある」と回答した店舗の割合,90,,,キャッシュレス・消費者還元事業の「事業終了後のキャッシュレス決済提供の継続意向率」91.6％を参考に設定
KPI(11),決済取引金額（店舗）の維持率,店舗アンケートで「事業終了後のキャッシュレス決済の取引金額が事業期間中よりも増加した、又はほぼ変わらない」と回答した店舗の割合,50,,,概ね効果があったと判断できる維持率50％を達成することを目標に設定
KPI(12),決済取引回数（店舗）の維持率,店舗アンケートで「事業終了後のキャッシュレス決済の取引回数が事業期間中よりも増加した、又はほぼ変わらない」と回答した店舗の割合,50,,,概ね効果があったと判断できる維持率50％を達成することを目標に設定
KPI(13),消費を増加させた人の増加率,利用者アンケートで「本事業をきっかけに、現金払いやその他の決済手段も含め、普段より多く消費した」と回答した人の割合,50,,,概ね効果があったと判断できる増加率50％を達成することを目標に設定
KPI(14),売上が増加した店舗の増加率,店舗アンケートで「本事業をきっかけに、平均売上が事業期間前と比較して増加した」と回答した店舗の割合,40,,,キャッシュレス・消費者還元事業の「売上確保効果があったと回答した店舗の率」40.1％を参考に設定
KPI(15),事業の満足度（店舗）,店舗アンケートにおける、事業の総合満足度（１０点満点）の平均点,,7,,概ね良好と判断できる平均点7.0点を獲得とすることを目標に設定
KPI(16),経済波及効果額,利用者アンケートから得られた「本事業をきっかけとした購入概算金額」から産業連関表を用いて算出,,,,―
KPI(17),還元額,参加自治体からの報告から算出,,,,―
KPI(18),事業の満足度（利用者）,利用者アンケートにおける、事業の総合満足度（１０点満点）の平均点,,7,,概ね良好と判断できる平均点を獲得とすることを目標に設定
KPI(19),新しい日常への意識変化（利用者）,利用者アンケートで「本事業をきっかけに新しい日常を意識することが増えた」と回答した人の割合,50,,,概ね効果があったと判断できる増加率50％を達成することを目標に設定
KPI(20),新しい日常への意識変化（店舗）,店舗アンケートで「本事業をきっかけに新しい日常を意識することが増えた」と回答した店舗の割合,50,,,概ね効果があったと判断できる増加率50％を達成することを目標に設定
KPI(21),接触回数減少率（利用者）,利用者アンケートで「事業開始前と比較して、買い物時における人との接触回数が減少した」と回答した人の割合,50,,,概ね効果があったと判断できる減少率50％を達成することを目標に設定
KPI(22),接触回数減少率（店舗）,店舗アンケートで「事業開始前と比較して、買い物時における人との接触回数が減少した」と回答した店舗の割合,50,,,概ね効果があったと判断できる減少率50％を達成することを目標に設定
KPI(23),自治体のデジタル化,令和３年度当初時点において、デジタル活用事業が未実施だった46自治体のうち、本事業によりデジタル活用事業を実施した自治体数,,,46自治体,令和３年度当初時点において、デジタル活用事業が未実施だった46自治体全てが本事業をきっかけにデジタル事業を実施することを目標に設定
