番号,項目,回答数（人）,回答数（％）
1,千代田区,2,0.2
2,中央区,0,0
3,港区,23,2
4,新宿区,15,1.3
5,文京区,20,1.7
6,台東区,11,1
7,墨田区,24,2.1
8,江東区,48,4.2
9,品川区,38,3.3
10,目黒区,27,2.3
11,大田区,56,4.9
12,世田谷区,69,6
13,渋谷区,11,1
14,中野区,17,1.5
15,杉並区,215,18.6
16,豊島区,23,2
17,北区,33,2.9
18,荒川区,0,0
19,板橋区,34,2.9
20,練馬区,34,2.9
21,足立区,34,2.9
22,葛飾区,43,3.7
23,江戸川区,32,2.8
24,八王子市,55,4.8
25,立川市,14,1.2
26,武蔵野市,14,1.2
27,三鷹市,0,0
28,青梅市,55,4.8
29,府中市,20,1.7
30,昭島市,6,0.5
31,調布市,57,4.9
32,町田市,0,0
33,小金井市,5,0.4
34,小平市,18,1.6
35,日野市,17,1.5
36,東村山市,14,1.2
37,国分寺市,11,1
38,国立市,3,0.3
39,福生市,5,0.4
40,狛江市,8,0.7
41,東大和市,2,0.2
42,清瀬市,5,0.4
43,東久留米市,8,0.7
44,武蔵村山市,6,0.5
45,多摩市,6,0.5
46,稲城市,3,0.3
47,羽村市,0,0
48,あきる野市,6,0.5
49,西東京市,0,0
50,瑞穂町,3,0.3
51,日の出町,1,0.1
52,檜原村,1,0.1
53,奥多摩町,0,0
54,大島町,1,0.1
55,利島村,0,0
56,新島村,0,0
57,神津島村,0,0
58,三宅村,0,0
59,御蔵島村,0,0
60,八丈町,1,0.1
61,青ヶ島村,0,0
62,小笠原村,0,0
全体,,1154,100
