番号,項目,回答数（人）,回答数（％）
1,スマートフォンを持っていないから,25,14
2,キャッシュレス決済の使い方がわからないから,33,18.4
3,パソコンやスマホなどデジタル機器に苦手意識があるから,17,9.5
4,個人情報の流出や不正使用等のおそれがあるから,54,30.2
5,カード等の紛失・盗難のおそれがあるから,12,6.7
6,使い過ぎてしまうおそれがあるから,28,15.6
7,自身の購入・決済履歴等が取得・利用されることに抵抗があるから,14,7.8
8,決済手段・サービスが乱立しており、自分に最適なものが分かりにくいから,31,17.3
9,かえって支払いに時間や手間が掛かるから,24,13.4
10,利用できる店舗や施設が少ないから,17,9.5
11,手数料や会費等が掛かるから,13,7.3
12,返金等に時間が掛かる場合があるから,3,1.7
13,加盟店側に追加の負担（手数料等）を掛けてしまうから,5,2.8
14,キャンペーン等がないと割引や還元率が低くて魅力を感じないから,14,7.8
15,現金決済で特に不便を感じないから,64,35.8
16,その他,7,3.9
全体,,141,
