 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,675,"12,773,365",411,"10,864,167",264,"1,909,198","3,998,257","3,758,692","905,881","2,852,811","239,565","141,117","98,448"
,96.7%,97.8%,94.7%,96.3%,100.0%,107.4%,94.4%,93.7%,84.9%,96.9%,107.0%,105.6%,109.2%
,"5,632","102,753,931","3,297","85,882,899","2,335","16,871,032","32,796,654","30,885,853","7,888,238","22,997,615","1,910,801","1,050,955","859,846"
,99.4%,101.1%,96.9%,99.9%,103.1%,107.6%,98.0%,98.3%,93.6%,100.0%,93.7%,84.7%,107.8%
品川岸壁,133,"1,501,003",74,"743,049",59,"757,954","346,064","346,064","69,970","276,094",-,-,-
,97.8%,99.0%,98.7%,98.4%,96.7%,99.5%,94.8%,94.8%,82.8%,98.5%,-,-,-
,"1,109","12,372,905",591,"5,952,265",518,"6,420,640","2,726,513","2,726,513","524,719","2,201,794",-,-,-
,96.9%,98.1%,94.1%,95.7%,100.4%,100.6%,94.7%,94.7%,79.2%,99.4%,-,-,-
10号西岸壁,59,"665,157",-,-,59,"665,157","36,443",-,-,-,"36,443","24,625","11,818"
,115.7%,123.3%,-,-,115.7%,123.3%,90.5%,-,-,-,90.5%,82.7%,112.5%
,554,"6,093,215",-,-,554,"6,093,215","313,871",-,-,-,"313,871","211,561","102,310"
,115.2%,119.7%,-,-,115.2%,119.7%,99.4%,-,-,-,99.4%,96.3%,106.7%
青海コンテナふ頭（公共）,106,"1,538,766",86,"1,520,326",20,"18,440","751,029","733,437","120,832","612,605","17,592","12,518","5,074"
,85.5%,91.0%,91.5%,91.0%,66.7%,86.9%,96.2%,95.9%,85.5%,98.2%,112.4%,149.1%,69.9%
,858,"12,123,957",680,"11,953,406",178,"170,551","5,894,429","5,761,778","1,059,619","4,702,159","132,651","81,676","50,975"
,89.7%,100.3%,97.0%,100.5%,69.5%,93.4%,96.3%,95.9%,91.4%,97.0%,117.1%,111.1%,128.3%
青海コンテナふ頭(埠頭㈱),73,"2,084,099",68,"2,080,854",5,"3,245","556,179","544,012","120,366","423,646","12,167","10,275","1,892"
,100.0%,104.2%,100.0%,104.2%,100.0%,86.6%,94.9%,94.8%,98.3%,93.9%,97.1%,82.0%,-
,544,"15,195,116",504,"15,162,969",40,"32,147","4,485,901","4,370,266","951,501","3,418,765","115,635","93,618","22,017"
,96.1%,94.1%,94.4%,94.0%,125.0%,134.2%,93.9%,92.9%,92.8%,92.9%,156.8%,128.6%,"2,388.0%"
お台場ライナーふ頭,14,"103,778",1,"32,551",13,"71,227","1,940","1,940",5,"1,935",-,-,-
,73.7%,101.3%,100.0%,100.0%,72.2%,101.9%,91.6%,91.6%,-,91.4%,-,-,-
,127,"787,544",7,"227,857",120,"559,687","16,552","16,552","2,862","13,690",-,-,-
,90.7%,93.9%,77.8%,77.8%,91.6%,102.5%,111.4%,111.4%,-,92.1%,-,-,-
大井コンテナふ頭,242,"6,353,882",164,"6,272,201",78,"81,681","2,064,536","1,964,255","559,776","1,404,479","100,281","48,776","51,505"
,98.4%,95.0%,94.3%,95.2%,108.3%,81.3%,93.2%,92.4%,85.0%,95.7%,113.8%,119.6%,108.8%
,"1,963","51,106,209","1,302","50,193,755",661,"912,454","17,268,110","16,547,527","5,040,912","11,506,615","720,583","271,299","449,284"
,101.1%,101.6%,96.4%,101.4%,112.0%,113.2%,99.3%,100.3%,95.8%,102.4%,79.8%,56.2%,106.9%
その他,48,"526,680",18,"215,186",30,"311,494","242,066","168,984","34,932","134,052","73,082","44,923","28,159"
,98.0%,100.9%,81.8%,89.1%,111.1%,111.0%,97.7%,93.6%,58.1%,111.3%,108.8%,106.6%,112.5%
,477,"5,074,985",213,"2,392,647",264,"2,682,338","2,091,278","1,463,217","308,625","1,154,592","628,061","392,801","235,260"
,108.7%,110.9%,118.3%,123.7%,101.9%,101.5%,107.0%,110.7%,96.7%,115.2%,99.2%,100.2%,97.5%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
