 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,872 ","14,905,283 ","15,764 ","120,304,598 ",440 ,"11,290,169 ","3,488 ","89,625,117 ","1,432 ","3,615,114 ","12,276 ","30,679,481 "
公共計,969 ,"5,336,017 ","7,871 ","44,301,904 ",172 ,"2,487,420 ","1,389 ","20,639,544 ",797 ,"2,848,597 ","6,482 ","23,662,360 "
ドルフィン,4 ,"2,492 ",36 ,"23,394 ",-,-,-,-,4 ,"2,492 ",36 ,"23,394 "
芝浦ふ頭,24 ,"50,687 ",248 ,"626,531 ",-,-,-,-,24 ,"50,687 ",248 ,"626,531 "
芝浦物揚場,23 ,"10,418 ",194 ,"88,900 ",-,-,-,-,23 ,"10,418 ",194 ,"88,900 "
日の出ふ頭,7 ,"5,381 ",57 ,"43,155 ",-,-,-,-,7 ,"5,381 ",57 ,"43,155 "
竹芝ふ頭,231 ,"450,712 ","1,352 ","2,884,322 ",-,-,-,-,231 ,"450,712 ","1,352 ","2,884,322 "
品川岸壁,136 ,"1,504,357 ","1,147 ","12,413,393 ",74 ,"743,049 ",591 ,"5,952,265 ",62 ,"761,308 ",556 ,"6,461,128 "
 品川コンテナ,75 ,"719,039 ",614 ,"5,659,053 ",72 ,"715,685 ",566 ,"5,612,077 ",3 ,"3,354 ",48 ,"46,976 "
 品川外貿,2 ,"27,364 ",25 ,"340,188 ",2 ,"27,364 ",25 ,"340,188 ",-,-,-,-
 品川内貿,59 ,"757,954 ",508 ,"6,414,152 ",-,-,-,-,59 ,"757,954 ",508 ,"6,414,152 "
晴海ふ頭,9 ,"66,305 ",64 ,"1,100,508 ",1 ,"30,277 ",24 ,"948,519 ",8 ,"36,028 ",40 ,"151,989 "
月島ふ頭,4 ,997 ,28 ,"9,808 ",-,-,-,-,4 ,997 ,28 ,"9,808 "
漁業基地,4 ,"10,701 ",20 ,"33,022 ",1 ,"1,211 ",1 ,"1,211 ",3 ,"9,490 ",19 ,"31,811 "
10号西岸壁,59 ,"665,157 ",560 ,"6,094,409 ",-,-,-,-,59 ,"665,157 ",560 ,"6,094,409 "
10号東岸壁,30 ,"12,886 ",245 ,"108,691 ",-,-,-,-,30 ,"12,886 ",245 ,"108,691 "
東京港フェリーふ頭,28 ,"353,808 ",230 ,"2,906,280 ",-,-,-,-,28 ,"353,808 ",230 ,"2,906,280 "
多目的ふ頭,5 ,"9,110 ",19 ,"45,969 ",-,-,1 ,"1,920 ",5 ,"9,110 ",18 ,"44,049 "
辰巳ふ頭,71 ,"25,974 ",653 ,"231,612 ",-,-,-,-,71 ,"25,974 ",653 ,"231,612 "
青海コンテナふ頭（公共）,133 ,"1,560,905 ","1,056 ","12,280,385 ",86 ,"1,520,326 ",680 ,"11,953,406 ",47 ,"40,579 ",376 ,"326,979 "
有明ふ頭,6 ,"3,874 ",49 ,"39,637 ",-,-,-,-,6 ,"3,874 ",49 ,"39,637 "
大井水産物ふ頭,-,-,5 ,"418,561 ",-,-,5 ,"418,561 ",-,-,-,-
大井食品ふ頭（OL）,11 ,"57,125 ",150 ,"532,749 ",2 ,"56,087 ",23 ,"513,194 ",9 ,"1,038 ",127 ,"19,555 "
大井食品ふ頭（OM）,4 ,"35,892 ",38 ,"344,462 ",4 ,"35,892 ",38 ,"344,462 ",-,-,-,-
大井食品ふ頭（ON）,3 ,"25,074 ",6 ,"59,126 ",2 ,"24,872 ",5 ,"58,924 ",1 ,202 ,1 ,202 
若洲内貿ふ頭,11 ,"110,374 ",95 ,"953,230 ",-,-,-,-,11 ,"110,374 ",95 ,"953,230 "
15号地木材ふ頭,-,-,38 ,"237,550 ",-,-,7 ,"231,032 ",-,-,31 ,"6,518 "
若洲建材ふ頭,36 ,"20,725 ",325 ,"186,000 ",-,-,-,-,36 ,"20,725 ",325 ,"186,000 "
大井建材ふ頭,65 ,"36,656 ",643 ,"371,379 ",-,-,-,-,65 ,"36,656 ",643 ,"371,379 "
城南島建設発生土ふ頭,32 ,"24,842 ",327 ,"218,292 ",-,-,-,-,32 ,"24,842 ",327 ,"218,292 "
中央防波堤内側ばら物ふ頭,4 ,"76,702 ",41 ,"231,399 ",2 ,"75,706 ",14 ,"216,050 ",2 ,996 ,27 ,"15,349 "
中央防波堤内側建設発生土ふ頭,4 ,"5,838 ",26 ,"36,589 ",-,-,-,-,4 ,"5,838 ",26 ,"36,589 "
中央防波堤内側内貿ふ頭,19 ,"201,120 ",163 ,"1,725,459 ",-,-,-,-,19 ,"201,120 ",163 ,"1,725,459 "
官公庁（晴海）,2 ,"4,813 ",13 ,"30,345 ",-,-,-,-,2 ,"4,813 ",13 ,"30,345 "
官公庁（月島）,3 ,595 ,35 ,"6,771 ",-,-,-,-,3 ,595 ,35 ,"6,771 "
官公庁（有明）,1 ,"2,497 ",8 ,"19,976 ",-,-,-,-,1 ,"2,497 ",8 ,"19,976 "
東京港埠頭㈱計,368 ,"8,711,076 ","2,973 ","68,445,382 ",244 ,"8,530,255 ","1,898 ","66,683,907 ",124 ,"180,821 ","1,075 ","1,761,475 "
青海コンテナふ頭(埠頭㈱),77 ,"2,088,571 ",599 ,"15,254,011 ",68 ,"2,080,854 ",504 ,"15,162,969 ",9 ,"7,717 ",95 ,"91,042 "
お台場ライナーふ頭,36 ,"256,565 ",278 ,"1,949,878 ",12 ,"177,200 ",92 ,"1,327,183 ",24 ,"79,365 ",186 ,"622,695 "
大井コンテナふ頭,255 ,"6,365,940 ","2,096 ","51,241,493 ",164 ,"6,272,201 ","1,302 ","50,193,755 ",91 ,"93,739 ",794 ,"1,047,738 "
民間計,535 ,"858,190 ","4,920 ","7,557,312 ",24 ,"272,494 ",201 ,"2,301,666 ",511 ,"585,696 ","4,719 ","5,255,646 "
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
