 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"290,168","115,581","268,296","102,773","69,927","102,114","198,369",659,"21,872","12,808","10,737","11,451","11,135","1,357"
,96.0%,101.7%,95.2%,109.0%,90.1%,109.4%,97.2%,70.6%,105.9%,66.2%,101.6%,65.8%,110.4%,69.9%
,"2,363,289","930,136","2,179,755","791,395","603,302","785,845","1,576,453","5,550","183,534","138,741","86,243","123,381","97,291","15,360"
,97.3%,102.9%,97.3%,108.1%,94.3%,108.6%,98.5%,67.0%,97.7%,80.7%,83.8%,78.6%,114.6%,103.2%
品川岸壁,"24,054","14,309","24,054","12,155","5,207","12,057","18,847",98,-,"2,154",-,"2,154",-,-
,95.1%,103.6%,95.1%,109.0%,87.1%,109.2%,97.6%,88.3%,-,80.9%,-,80.9%,-,-
,"191,309","125,429","190,985","105,489","40,864","104,711","150,121",778,324,"19,940",-,"19,636",324,304
,95.0%,116.5%,94.9%,118.9%,82.5%,119.7%,98.9%,62.7%,-,105.1%,-,104.9%,-,121.6%
10号西岸壁,"3,502",474,-,-,-,-,-,-,"3,502",474,"2,156",-,"1,346",474
,88.9%,62.2%,-,-,-,-,-,-,88.9%,62.2%,83.1%,-,100.2%,62.2%
,"30,760","5,807",-,-,-,-,-,-,"30,760","5,807","18,832",39,"11,928","5,768"
,99.1%,153.5%,-,-,-,-,-,-,99.1%,153.5%,96.5%,-,103.5%,152.5%
青海コンテナふ頭（公共）,"56,049","25,015","53,710","20,657","9,481","20,556","44,229",101,"2,339","4,358","1,398","4,223",941,135
,98.1%,80.8%,96.8%,83.6%,82.5%,85.4%,100.5%,16.2%,142.5%,69.8%,181.1%,72.4%,108.3%,32.7%
,"425,577","208,439","410,133","167,661","81,430","166,221","328,703","1,440","15,444","40,778","8,745","40,248","6,699",530
,96.2%,88.5%,95.5%,86.4%,89.8%,86.7%,97.0%,62.0%,122.6%,98.8%,114.4%,102.1%,135.2%,28.5%
青海コンテナふ頭(埠頭㈱),"39,180","20,975","38,720","20,468","9,822","20,436","28,898",32,460,507,374,507,86,-
,94.7%,88.6%,95.0%,89.8%,110.5%,89.7%,90.6%,91.4%,77.3%,58.8%,62.9%,58.8%,-,-
,"311,585","164,947","306,690","156,785","73,392","156,446","233,298",339,"4,895","8,162","3,659","8,162","1,236",-
,93.5%,96.5%,93.0%,104.0%,94.6%,104.4%,92.5%,39.1%,137.1%,40.5%,105.9%,40.8%,"1,065.5%",-
お台場ライナーふ頭,131,60,131,60,2,-,129,60,-,-,-,-,-,-
,92.3%,-,92.3%,-,-,-,90.8%,-,-,-,-,-,-,-
,916,320,916,320,2,-,914,320,-,-,-,-,-,-
,73.2%,780.5%,73.2%,780.5%,-,-,73.0%,780.5%,-,-,-,-,-,-
大井コンテナふ頭,"148,561","46,554","139,796","42,570","42,790","42,215","97,006",355,"8,765","3,984","2,858","3,895","5,907",89
,95.3%,124.0%,94.8%,141.9%,91.3%,141.5%,96.5%,219.1%,104.0%,52.9%,92.6%,52.8%,110.6%,57.1%
,"1,244,891","355,731","1,171,636","305,036","384,321","302,386","787,315","2,650","73,255","50,695","20,663","50,130","52,592",565
,98.2%,108.5%,98.8%,121.6%,96.3%,122.3%,100.1%,72.4%,88.7%,65.9%,54.0%,67.8%,118.8%,18.2%
その他,"18,691","8,194","11,885","6,863","2,625","6,850","9,260",13,"6,806","1,331","3,951",672,"2,855",659
,100.3%,118.8%,94.4%,122.2%,60.7%,122.0%,112.0%,"1,300.0%",112.5%,103.9%,112.2%,100.0%,112.9%,108.2%
,"158,251","69,463","99,395","56,104","23,293","56,081","76,102",23,"58,856","13,359","34,344","5,166","24,512","8,193"
,105.0%,119.3%,107.3%,118.2%,101.9%,118.5%,109.0%,15.1%,101.4%,123.9%,100.9%,102.5%,102.1%,142.8%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
