（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"3,086,809",92.7%,"32,890,592",98.0%,100.0%
1,中国,"1,343,238",92.5%,"13,826,854",97.8%,42.0%
,(香港),"136,612",82.8%,"1,467,633",83.1%,4.5%
2,アメリカ,"344,994",96.5%,"3,656,078",91.8%,11.1%
3,タイ,"183,180",80.3%,"2,093,391",94.3%,6.4%
4,ベトナム,"193,057",106.1%,"2,003,264",109.1%,6.1%
5,台湾,"124,013",89.3%,"1,476,441",109.9%,4.5%
6,韓国,"132,998",103.5%,"1,282,883",99.0%,3.9%
7,カナダ,"111,884",86.0%,"1,259,669",90.5%,3.8%
8,シンガポール,"89,425",80.6%,"1,079,620",104.7%,3.3%
9,フィリピン,"97,686",94.3%,"1,024,746",95.0%,3.1%
10,マレーシア,"87,293",122.6%,"939,053",109.6%,2.9%
11,インドネシア,"70,056",101.4%,"816,154",101.6%,2.5%
12,ドイツ,"51,741",93.0%,"505,730",96.6%,1.5%
13,オランダ,"45,734",99.2%,"437,229",93.4%,1.3%
14,フランス,"31,036",101.7%,"300,776",101.2%,0.9%
15,ニュージーランド,"18,409",58.0%,"284,540",94.8%,0.9%
16,チリ,"26,388",66.2%,"268,942",78.0%,0.8%
17,イタリア,"16,554",95.2%,"164,652",103.8%,0.5%
18,イギリス,"14,734",96.7%,"148,555",98.4%,0.5%
19,メキシコ,"13,030",73.1%,"125,112",72.3%,0.4%
20,ブラジル,"10,228",97.1%,"120,395",129.6%,0.4%
,その他,"81,131",86.3%,"1,076,508",101.4%,3.3%
