年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成28年平均,2016,,446,731,693,356,1216,308,253,473,532,277,378,766,604
実数／男女計／平成29年平均,2017,,434,716,724,367,1272,327,257,515,515,271,372,803,606
実数／男女計／平成30年平均,2018,,466,691,747,377,1304,298,256,546,567,285,368,809,650
実数／男女計／平成28年７～９月平均,2016,07～09,474,755,710,353,1164,321,257,510,525,249,365,778,642
実数／男女計／平成28年10～12月平均,2016,10～12,428,695,695,374,1275,322,286,464,574,301,371,763,566
実数／男女計／平成29年１～３月平均,2017,01～03,421,699,690,377,1258,281,261,484,517,268,391,779,653
実数／男女計／平成29年４～６月平均,2017,04～06,430,756,772,354,1234,335,234,567,502,272,388,795,550
実数／男女計／平成29年７～９月平均,2017,07～09,467,718,727,367,1311,367,276,513,508,257,330,785,618
実数／男女計／平成29年10～12月平均,2017,10～12,419,690,708,368,1283,326,259,495,531,285,379,855,604
実数／男女計／平成30年１～３月平均,2018,01～03,475,749,746,339,1315,301,238,526,555,269,384,777,682
実数／男女計／平成30年４～６月平均,2018,04～06,468,698,775,413,1235,338,253,624,538,283,352,795,638
実数／男女計／平成30年７～９月平均,2018,07～09,464,637,727,393,1407,265,263,547,577,278,378,823,604
実数／男女計／平成30年10～12月平均,2018,10～12,456,682,738,362,1259,287,269,488,599,308,358,843,676
実数／男／平成28年平均,2016,,377,498,492,284,631,161,152,295,246,124,173,209,344
実数／男／平成29年平均,2017,,359,500,513,290,638,160,154,315,239,116,155,230,348
実数／男／平成30年平均,2018,,380,496,530,298,659,133,149,344,258,106,155,218,370
実数／男／平成28年７～９月平均,2016,07～09,401,518,519,286,600,158,145,331,226,103,160,193,368
実数／男／平成28年10～12月平均,2016,10～12,358,456,483,306,647,181,175,300,256,137,178,210,315
実数／男／平成29年１～３月平均,2017,01～03,351,477,468,310,637,130,156,293,235,124,181,243,379
実数／男／平成29年４～６月平均,2017,04～06,358,539,559,267,601,170,145,338,238,133,150,241,315
実数／男／平成29年７～９月平均,2017,07～09,390,518,531,289,654,170,161,332,221,95,132,211,352
実数／男／平成29年10～12月平均,2017,10～12,338,467,496,294,659,169,155,298,262,113,159,225,347
実数／男／平成30年１～３月平均,2018,01～03,381,532,528,268,629,130,133,321,253,108,171,223,396
実数／男／平成30年４～６月平均,2018,04～06,383,503,544,326,640,154,159,377,233,111,131,208,358
実数／男／平成30年７～９月平均,2018,07～09,392,472,510,307,730,123,152,367,266,92,145,208,334
実数／男／平成30年10～12月平均,2018,10～12,365,476,536,292,636,126,151,312,278,114,172,233,393
実数／女／平成28年平均,2016,,69,233,201,72,585,147,101,178,286,153,205,557,260
実数／女／平成29年平均,2017,,75,215,211,77,634,168,103,200,276,155,217,573,258
実数／女／平成30年平均,2018,,86,196,217,78,645,165,107,202,310,178,213,592,280
実数／女／平成28年７～９月平均,2016,07～09,73,237,191,67,564,163,112,179,299,146,205,585,274
実数／女／平成28年10～12月平均,2016,10～12,70,239,212,67,628,140,112,164,318,165,193,553,251
実数／女／平成29年１～３月平均,2017,01～03,70,221,222,66,621,151,105,191,282,145,210,537,274
実数／女／平成29年４～６月平均,2017,04～06,72,217,213,88,633,165,89,229,263,140,238,554,236
実数／女／平成29年７～９月平均,2017,07～09,77,200,197,79,657,197,116,181,287,162,198,573,266
実数／女／平成29年10～12月平均,2017,10～12,81,223,212,74,623,158,103,198,269,172,220,630,257
実数／女／平成30年１～３月平均,2018,01～03,94,217,218,71,686,171,105,205,302,161,212,554,286
実数／女／平成30年４～６月平均,2018,04～06,85,195,231,87,594,185,94,246,306,171,220,587,280
実数／女／平成30年７～９月平均,2018,07～09,73,165,217,85,676,142,111,180,311,186,233,616,270
実数／女／平成30年10～12月平均,2018,10～12,90,206,202,70,623,161,117,176,321,194,185,610,283
対前年・対前年同期増減数／男女計／平成28年平均,2016,,-55,17,16,-13,-20,49,-6,53,12,1,7,30,22
対前年・対前年同期増減数／男女計／平成29年平均,2017,,-12,-15,31,11,56,19,4,42,-17,-6,-6,37,2
対前年・対前年同期増減数／男女計／平成30年平均,2018,,32,-25,23,10,32,-29,-1,31,52,14,-4,6,44
対前年・対前年同期増減数／男女計／平成28年７～９月平均,2016,07～09,-53,33,35,-28,-56,48,5,83,16,8,-35,54,46
対前年・対前年同期増減数／男女計／平成28年10～12月平均,2016,10～12,-37,-41,57,-21,-29,66,20,54,56,13,22,10,-3
対前年・対前年同期増減数／男女計／平成29年１～３月平均,2017,01～03,-16,-10,37,-4,19,3,12,52,-27,-3,9,76,7
対前年・対前年同期増減数／男女計／平成29年４～６月平均,2017,04～06,-13,-10,57,37,49,23,13,81,18,-12,-5,-24,-13
対前年・対前年同期増減数／男女計／平成29年７～９月平均,2017,07～09,-7,-37,17,14,147,46,19,3,-17,8,-35,7,-24
対前年・対前年同期増減数／男女計／平成29年10～12月平均,2017,10～12,-9,-5,13,-6,8,4,-27,31,-43,-16,8,92,38
対前年・対前年同期増減数／男女計／平成30年１～３月平均,2018,01～03,54,50,56,-38,57,20,-23,42,38,1,-7,-2,29
対前年・対前年同期増減数／男女計／平成30年４～６月平均,2018,04～06,38,-58,3,59,1,3,19,57,36,11,-36,0,88
対前年・対前年同期増減数／男女計／平成30年７～９月平均,2018,07～09,-3,-81,0,26,96,-102,-13,34,69,21,48,38,-14
対前年・対前年同期増減数／男女計／平成30年10～12月平均,2018,10～12,37,-8,30,-6,-24,-39,10,-7,68,23,-21,-12,72
対前年・対前年同期増減数／男／平成28年平均,2016,,-44,4,7,-17,-18,40,3,25,17,0,5,20,7
対前年・対前年同期増減数／男／平成29年平均,2017,,-18,2,21,6,7,-1,2,20,-7,-8,-18,21,4
対前年・対前年同期増減数／男／平成30年平均,2018,,21,-4,17,8,21,-27,-5,29,19,-10,0,-12,22
対前年・対前年同期増減数／男／平成28年７～９月平均,2016,07～09,-36,21,26,-25,-69,40,0,46,1,10,-24,15,40
対前年・対前年同期増減数／男／平成28年10～12月平均,2016,10～12,-31,-51,28,-16,-30,73,25,33,20,-7,16,3,-21
対前年・対前年同期増減数／男／平成29年１～３月平均,2017,01～03,-22,12,5,10,-17,-9,3,37,-39,5,7,35,3
対前年・対前年同期増減数／男／平成29年４～６月平均,2017,04～06,-17,-14,56,23,-20,5,8,45,8,-3,-28,17,-3
対前年・対前年同期増減数／男／平成29年７～９月平均,2017,07～09,-11,0,12,3,54,12,16,1,-5,-8,-28,18,-16
対前年・対前年同期増減数／男／平成29年10～12月平均,2017,10～12,-20,11,13,-12,12,-12,-20,-2,6,-24,-19,15,32
対前年・対前年同期増減数／男／平成30年１～３月平均,2018,01～03,30,55,60,-42,-8,0,-23,28,18,-16,-10,-20,17
対前年・対前年同期増減数／男／平成30年４～６月平均,2018,04～06,25,-36,-15,59,39,-16,14,39,-5,-22,-19,-33,43
対前年・対前年同期増減数／男／平成30年７～９月平均,2018,07～09,2,-46,-21,18,76,-47,-9,35,45,-3,13,-3,-18
対前年・対前年同期増減数／男／平成30年10～12月平均,2018,10～12,27,9,40,-2,-23,-43,-4,14,16,1,13,8,46
対前年・対前年同期増減数／女／平成28年平均,2016,,-11,13,9,4,-2,8,-9,27,-4,1,1,10,14
対前年・対前年同期増減数／女／平成29年平均,2017,,6,-18,10,5,49,21,2,22,-10,2,12,16,-2
対前年・対前年同期増減数／女／平成30年平均,2018,,11,-19,6,1,11,-3,4,2,34,23,-4,19,22
対前年・対前年同期増減数／女／平成28年７～９月平均,2016,07～09,-17,12,9,-3,13,8,5,37,15,-2,-12,39,6
対前年・対前年同期増減数／女／平成28年10～12月平均,2016,10～12,-6,11,29,-6,1,-8,-5,21,36,20,6,7,18
対前年・対前年同期増減数／女／平成29年１～３月平均,2017,01～03,6,-23,32,-15,36,12,9,16,12,-7,2,42,4
対前年・対前年同期増減数／女／平成29年４～６月平均,2017,04～06,4,3,1,15,69,19,6,36,8,-8,23,-40,-9
対前年・対前年同期増減数／女／平成29年７～９月平均,2017,07～09,4,-37,6,12,93,34,4,2,-12,16,-7,-12,-8
対前年・対前年同期増減数／女／平成29年10～12月平均,2017,10～12,11,-16,0,7,-5,18,-9,34,-49,7,27,77,6
対前年・対前年同期増減数／女／平成30年１～３月平均,2018,01～03,24,-4,-4,5,65,20,0,14,20,16,2,17,12
対前年・対前年同期増減数／女／平成30年４～６月平均,2018,04～06,13,-22,18,-1,-39,20,5,17,43,31,-18,33,44
対前年・対前年同期増減数／女／平成30年７～９月平均,2018,07～09,-4,-35,20,6,19,-55,-5,-1,24,24,35,43,4
対前年・対前年同期増減数／女／平成30年10～12月平均,2018,10～12,9,-17,-10,-4,0,3,14,-22,52,22,-35,-20,26
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成30年10～12月平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
