区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12262,12175,87,0.7,6006,5969,37,0.6,6256,6206,50,0.8
〔就業状態〕／労働力人口,8098,7970,128,1.6,4542,4509,33,0.7,3556,3461,95,2.7
〔就業状態〕／労働力人口／就業者数,7899,7757,142,1.8,4412,4384,28,0.6,3487,3373,114,3.4
〔就業状態〕／労働力人口／就業者数／自営業主数,549,557,-8,-1.4,375,391,-16,-4.1,174,166,8,4.8
〔就業状態〕／労働力人口／就業者数／家族従業者数,85,92,-7,-7.6,16,15,1,6.7,69,77,-8,-10.4
〔就業状態〕／労働力人口／就業者数／雇用者数,7190,7056,134,1.9,3977,3952,25,0.6,3213,3105,108,3.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4340,4225,115,2.7,2822,2773,49,1.8,1518,1452,66,4.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2361,2300,61,2.7,788,761,27,3.5,1572,1538,34,2.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1624,1523,101,6.6,455,401,54,13.5,1169,1122,47,4.2
〔就業状態〕／労働力人口／完全失業者数,198,213,-15,-7,130,125,5,4,69,88,-19,-21.6
〔就業状態〕／非労働力人口,4154,4200,-46,-1.1,1460,1459,1,0.1,2694,2741,-47,-1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,7899,7757,142,1.8,4412,4384,28,0.6,3487,3373,114,3.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7605,7547,58,0.8,4313,4311,2,0,3293,3236,57,1.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6421,6434,-13,-0.2,4092,4136,-44,-1.1,2330,2299,31,1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,295,248,47,19,149,105,44,41.9,146,143,3,2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,889,864,25,2.9,72,69,3,4.3,817,795,22,2.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,294,210,84,40,99,73,26,35.6,195,137,58,42.3
〔就業者の主な産業別内訳〕／建設業,464,467,-3,-0.6,392,390,2,0.5,73,77,-4,-5.2
〔就業者の主な産業別内訳〕／製造業,637,718,-81,-11.3,472,518,-46,-8.9,165,200,-35,-17.5
〔就業者の主な産業別内訳〕／情報通信業,727,727,0,0,510,531,-21,-4,217,197,20,10.2
〔就業者の主な産業別内訳〕／運輸業，郵便業,393,367,26,7.1,307,289,18,6.2,85,79,6,7.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1407,1311,96,7.3,730,654,76,11.6,676,657,19,2.9
〔就業者の主な産業別内訳〕／金融業，保険業,265,367,-102,-27.8,123,170,-47,-27.6,142,197,-55,-27.9
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,263,276,-13,-4.7,152,161,-9,-5.6,111,116,-5,-4.3
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,547,513,34,6.6,367,332,35,10.5,180,181,-1,-0.6
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,577,508,69,13.6,266,221,45,20.4,311,287,24,8.4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,278,257,21,8.2,92,95,-3,-3.2,186,162,24,14.8
〔就業者の主な産業別内訳〕／教育，学習支援業,378,330,48,14.5,145,132,13,9.8,233,198,35,17.7
〔就業者の主な産業別内訳〕／医療，福祉,823,785,38,4.8,208,211,-3,-1.4,616,573,43,7.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,604,618,-14,-2.3,334,352,-18,-5.1,270,266,4,1.5
〔雇用者の主な産業別内訳〕／建設業,408,391,17,4.3,338,321,17,5.3,70,70,0,0
〔雇用者の主な産業別内訳〕／製造業,611,685,-74,-10.8,456,501,-45,-9,156,184,-28,-15.2
〔雇用者の主な産業別内訳〕／情報通信業,695,693,2,0.3,487,510,-23,-4.5,208,183,25,13.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,368,350,18,5.1,282,271,11,4.1,85,79,6,7.6
〔雇用者の主な産業別内訳〕／卸売業，小売業,1326,1221,105,8.6,679,597,82,13.7,647,624,23,3.7
〔雇用者の主な産業別内訳〕／金融業，保険業,265,366,-101,-27.6,123,170,-47,-27.6,142,196,-54,-27.6
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,230,248,-18,-7.3,135,142,-7,-4.9,95,107,-12,-11.2
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,418,378,40,10.6,280,244,36,14.8,138,134,4,3
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,520,453,67,14.8,238,195,43,22.1,283,258,25,9.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,212,197,15,7.6,68,68,0,0,144,129,15,11.6
〔雇用者の主な産業別内訳〕／教育，学習支援業,336,303,33,10.9,141,129,12,9.3,195,174,21,12.1
〔雇用者の主な産業別内訳〕／医療，福祉,790,743,47,6.3,184,185,-1,-0.5,605,558,47,8.4
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,566,580,-14,-2.4,312,327,-15,-4.6,253,253,0,0
〔非農林業雇用者の従業者規模別内訳〕／総数,7183,7050,133,1.9,3973,3949,24,0.6,3211,3101,110,3.5
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1729,1734,-5,-0.3,961,963,-2,-0.2,768,771,-3,-0.4
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2072,2145,-73,-3.4,1124,1159,-35,-3,949,986,-37,-3.8
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2769,2594,175,6.7,1577,1510,67,4.4,1192,1084,108,10
〔完全失業率（年齢階級別）(%)〕／総数,2.4,2.7,-0.3,…,2.9,2.8,0.1,…,1.9,2.5,-0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,3.9,4.6,-0.7,…,5.2,5.7,-0.5,…,2.4,3.9,-1.5,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.4,2.6,0.8,…,3.6,2.6,1,…,3.2,2.7,0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,1.9,3.1,-1.2,…,2.9,2.9,0,…,0.8,3.4,-2.6,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2,2.1,-0.1,…,2,2.2,-0.2,…,1.9,2,-0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.1,2.2,-0.1,…,2.1,2.4,-0.3,…,1.8,1.7,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.1,1.9,0.2,…,2.7,2.2,0.5,…,1.2,1.3,-0.1,…
〔就業率（%）〕／総数,64.4,63.7,0.7,…,73.5,73.4,0.1,…,55.7,54.4,1.3,…
〔労働力人口比率(%)〕／総数,66,65.5,0.5,…,75.6,75.5,0.1,…,56.8,55.8,1,…
,,,,,,,,,,,,
東京の労働力統計データ（平成30年7～9月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成30年7～9月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
