男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成26年平均,2014,392,690,653,360,1155,254,210,317,416,217,339,672,492,420
実数／男女計／平成27年平均,2015,424,675,647,343,1163,256,229,318,460,211,337,688,538,406
実数／男女計／平成28年平均,2016,374,696,661,335,1143,306,221,364,475,217,349,714,564,417
実数／男女計／平成29年平均,2017,374,683,689,345,1194,325,230,381,455,212,338,761,563,435
実数／男女計／平成30年平均,2018,401,662,707,350,1233,296,227,400,498,228,330,773,601,464
実数／男／平成26年平均,2014,318,495,463,293,578,128,130,197,179,92,159,169,285,256
実数／男／平成27年平均,2015,351,473,461,276,605,119,133,201,199,93,159,161,307,249
実数／男／平成28年平均,2016,312,477,469,264,587,160,134,224,213,95,165,179,317,258
実数／男／平成29年平均,2017,303,482,488,269,594,159,139,232,207,88,145,204,319,274
実数／男／平成30年平均,2018,322,477,502,272,617,132,135,249,222,84,147,195,338,263
実数／女／平成26年平均,2014,74,196,190,66,576,126,81,119,238,125,180,503,207,164
実数／女／平成27年平均,2015,72,202,186,67,558,137,96,117,261,117,178,527,231,156
実数／女／平成28年平均,2016,63,219,192,71,555,146,86,140,262,122,184,535,248,159
実数／女／平成29年平均,2017,71,201,201,76,600,167,91,150,249,125,193,556,243,161
実数／女／平成30年平均,2018,80,185,205,78,617,164,92,150,277,144,183,579,263,202
対前年増減数／男女計／平成27年平均,2015,32,-15,-6,-17,8,2,19,1,44,-6,-2,16,46,-14
対前年増減数／男女計／平成28年平均,2016,-50,21,14,-8,-20,50,-8,46,15,6,12,26,26,11
対前年増減数／男女計／平成29年平均,2017,0,-13,28,10,51,19,9,17,-20,-5,-11,47,-1,18
対前年増減数／男女計／平成30年平均,2018,27,-21,18,5,39,-29,-3,19,43,16,-8,12,38,29
対前年増減数／男／平成27年平均,2015,33,-22,-2,-17,27,-9,3,4,20,1,0,-8,22,-7
対前年増減数／男／平成28年平均,2016,-39,4,8,-12,-18,41,1,23,14,2,6,18,10,9
対前年増減数／男／平成29年平均,2017,-9,5,19,5,7,-1,5,8,-6,-7,-20,25,2,16
対前年増減数／男／平成30年平均,2018,19,-5,14,3,23,-27,-4,17,15,-4,2,-9,19,-11
対前年増減数／女／平成27年平均,2015,-2,6,-4,1,-18,11,15,-2,23,-8,-2,24,24,-8
対前年増減数／女／平成28年平均,2016,-9,17,6,4,-3,9,-10,23,1,5,6,8,17,3
対前年増減数／女／平成29年平均,2017,8,-18,9,5,45,21,5,10,-13,3,9,21,-5,2
対前年増減数／女／平成30年平均,2018,9,-16,4,2,17,-3,1,0,28,19,-10,23,20,41
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成30年平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,,,
