年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成28年平均,2016,,374,696,661,335,1143,306,221,364,475,217,349,714,564
実数／男女計／平成29年平均,2017,,374,683,689,345,1194,325,230,381,455,212,338,761,563
実数／男女計／平成30年平均,2018,,401,662,707,350,1233,296,227,400,498,228,330,773,601
実数／男女計／平成28年７～９月平均,2016,07～09,395,718,672,330,1091,317,214,387,460,196,333,734,603
実数／男女計／平成28年10～12月平均,2016,10～12,376,668,672,345,1204,319,257,379,513,232,346,702,522
実数／男女計／平成29年１～３月平均,2017,01～03,359,675,650,351,1184,277,237,351,457,211,359,746,611
実数／男女計／平成29年４～６月平均,2017,04～06,373,712,735,335,1148,334,216,412,459,215,344,751,506
実数／男女計／平成29年７～９月平均,2017,07～09,391,685,693,350,1221,366,248,378,453,197,303,743,580
実数／男女計／平成29年10～12月平均,2017,10～12,374,662,680,346,1224,324,218,386,452,227,348,802,554
実数／男女計／平成30年１～３月平均,2018,01～03,397,715,712,316,1248,300,209,375,488,223,343,737,629
実数／男女計／平成30年４～６月平均,2018,04～06,409,671,730,383,1176,338,219,436,464,227,317,752,583
実数／男女計／平成30年７～９月平均,2018,07～09,408,611,695,368,1326,265,230,418,520,212,336,790,566
実数／男女計／平成30年10～12月平均,2018,10～12,391,650,691,334,1183,282,249,370,522,250,325,814,626
実数／男／平成28年平均,2016,,312,477,469,264,587,160,134,224,213,95,165,179,317
実数／男／平成29年平均,2017,,303,482,488,269,594,159,139,232,207,88,145,204,319
実数／男／平成30年平均,2018,,322,477,502,272,617,132,135,249,222,84,147,195,338
実数／男／平成28年７～９月平均,2016,07～09,326,495,491,265,556,157,117,246,187,79,155,166,339
実数／男／平成28年10～12月平均,2016,10～12,313,440,470,279,603,181,159,249,219,100,164,172,285
実数／男／平成29年１～３月平均,2017,01～03,291,464,438,285,596,126,143,219,202,92,172,219,354
実数／男／平成29年４～６月平均,2017,04～06,304,512,525,249,557,170,134,238,213,103,135,216,284
実数／男／平成29年７～９月平均,2017,07～09,321,501,510,271,597,170,142,244,195,68,129,185,327
実数／男／平成29年10～12月平均,2017,10～12,295,452,481,272,624,168,135,227,216,88,145,197,312
実数／男／平成30年１～３月平均,2018,01～03,312,512,505,246,593,129,121,233,220,90,162,196,357
実数／男／平成30年４～６月平均,2018,04～06,328,486,511,295,607,153,138,253,195,90,122,186,321
実数／男／平成30年７～９月平均,2018,07～09,338,456,487,282,679,123,135,280,238,68,141,184,312
実数／男／平成30年10～12月平均,2018,10～12,308,455,506,265,588,123,146,231,234,87,162,213,362
実数／女／平成28年平均,2016,,63,219,192,71,555,146,86,140,262,122,184,535,248
実数／女／平成29年平均,2017,,71,201,201,76,600,167,91,150,249,125,193,556,243
実数／女／平成30年平均,2018,,80,185,205,78,617,164,92,150,277,144,183,579,263
実数／女／平成28年７～９月平均,2016,07～09,70,222,180,65,535,161,97,141,274,117,178,568,264
実数／女／平成28年10～12月平均,2016,10～12,63,227,202,66,601,138,97,130,294,132,182,530,237
実数／女／平成29年１～３月平均,2017,01～03,67,210,212,66,588,150,94,132,255,119,187,527,257
実数／女／平成29年４～６月平均,2017,04～06,69,199,210,86,591,165,82,174,246,113,209,535,222
実数／女／平成29年７～９月平均,2017,07～09,70,184,183,79,624,196,107,134,258,129,174,558,253
実数／女／平成29年10～12月平均,2017,10～12,79,210,199,74,599,156,83,159,236,139,202,605,242
実数／女／平成30年１～３月平均,2018,01～03,85,203,207,70,655,171,88,142,267,132,181,542,272
実数／女／平成30年４～６月平均,2018,04～06,81,185,220,87,569,185,81,183,269,137,195,566,262
実数／女／平成30年７～９月平均,2018,07～09,70,156,208,85,647,142,95,138,283,144,195,605,253
実数／女／平成30年10～12月平均,2018,10～12,83,195,185,69,595,159,103,139,289,163,162,601,264
対前年・対前年同期増減数／男女計／平成28年平均,2016,,-50,21,14,-8,-20,50,-8,46,15,6,12,26,26
対前年・対前年同期増減数／男女計／平成29年平均,2017,,0,-13,28,10,51,19,9,17,-20,-5,-11,47,-1
対前年・対前年同期増減数／男女計／平成30年平均,2018,,27,-21,18,5,39,-29,-3,19,43,16,-8,12,38
対前年・対前年同期増減数／男女計／平成28年７～９月平均,2016,07～09,-52,20,25,-27,-78,45,-12,68,7,17,-30,54,46
対前年・対前年同期増減数／男女計／平成28年10～12月平均,2016,10～12,-20,-15,65,-20,-2,67,14,55,49,17,22,1,-5
対前年・対前年同期増減数／男女計／平成29年１～３月平均,2017,01～03,7,5,34,-6,25,2,19,29,-27,-2,1,79,0
対前年・対前年同期増減数／男女計／平成29年４～６月平均,2017,04～06,-1,-18,49,27,33,23,23,44,17,-11,-15,-3,-15
対前年・対前年同期増減数／男女計／平成29年７～９月平均,2017,07～09,-4,-33,21,20,130,49,34,-9,-7,1,-30,9,-23
対前年・対前年同期増減数／男女計／平成29年10～12月平均,2017,10～12,-2,-6,8,1,20,5,-39,7,-61,-5,2,100,32
対前年・対前年同期増減数／男女計／平成30年１～３月平均,2018,01～03,38,40,62,-35,64,23,-28,24,31,12,-16,-9,18
対前年・対前年同期増減数／男女計／平成30年４～６月平均,2018,04～06,36,-41,-5,48,28,4,3,24,5,12,-27,1,77
対前年・対前年同期増減数／男女計／平成30年７～９月平均,2018,07～09,17,-74,2,18,105,-101,-18,40,67,15,33,47,-14
