男女・年,西暦(年),総数(千人),15～24歳(千人),25～34歳(千人),35～44歳(千人),45～54歳(千人),55～64歳(千人),65歳以上(千人)
実数／男女計／正規／平成28年平均,2016,4058,277,1134,1153,954,439,100
実数／男女計／正規／平成29年平均,2017,4169,290,1144,1170,1005,455,107
実数／男女計／正規／平成30年平均,2018,4292,302,1183,1167,1066,465,109
実数／男女計／非正規／平成28年平均,2016,2248,322,370,429,457,371,299
実数／男女計／非正規／平成29年平均,2017,2281,333,363,397,478,391,320
実数／男女計／非正規／平成30年平均,2018,2386,390,326,416,487,403,364
実数／男／正規／平成28年平均,2016,2672,142,676,792,686,315,61
実数／男／正規／平成29年平均,2017,2720,148,677,788,710,333,64
実数／男／正規／平成30年平均,2018,2772,145,682,780,758,338,69
実数／男／非正規／平成28年平均,2016,774,150,136,108,82,137,161
実数／男／非正規／平成29年平均,2017,770,153,134,93,86,135,169
実数／男／非正規／平成30年平均,2018,814,190,126,100,76,137,185
実数／女／正規／平成28年平均,2016,1386,135,458,362,268,124,39
実数／女／正規／平成29年平均,2017,1450,142,467,382,294,122,43
実数／女／正規／平成30年平均,2018,1521,157,502,387,308,126,40
実数／女／非正規／平成28年平均,2016,1473,172,235,321,375,233,137
実数／女／非正規／平成29年平均,2017,1511,180,229,303,391,257,151
実数／女／非正規／平成30年平均,2018,1572,199,201,316,411,266,179
対前年増減数／男女計／正規／平成29年平均,2017,111,13,10,17,51,16,7
対前年増減数／男女計／正規／平成30年平均,2018,123,12,39,-3,61,10,2
対前年増減数／男女計／非正規／平成29年平均,2017,33,11,-7,-32,21,20,21
対前年増減数／男女計／非正規／平成30年平均,2018,105,57,-37,19,9,12,44
対前年増減数／男／正規／平成29年平均,2017,48,6,1,-4,24,18,3
対前年増減数／男／正規／平成30年平均,2018,52,-3,5,-8,48,5,5
対前年増減数／男／非正規／平成29年平均,2017,-4,3,-2,-15,4,-2,8
対前年増減数／男／非正規／平成30年平均,2018,44,37,-8,7,-10,2,16
対前年増減数／女／正規／平成29年平均,2017,64,7,9,20,26,-2,4
対前年増減数／女／正規／平成30年平均,2018,71,15,35,5,14,4,-3
対前年増減数／女／非正規／平成29年平均,2017,38,8,-6,-18,16,24,14
対前年増減数／女／非正規／平成30年平均,2018,61,19,-28,13,20,9,28
,,,,,,,,
東京の労働力統計データ（平成30年平均）,,,,,,,,
第８表 年齢階級、雇用形態別の役員を除く雇用者数,,,,,,,,
注）雇用形態別の役員を除く雇用者数については、平成25年平均から集計している。,,,,,,,,
注）正規：正規の職員･従業員,,,,,,,,
注）非正規：非正規の職員･従業員,,,,,,,,
