区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12279,12189,90,0.7,6012,5974,38,0.6,6267,6214,53,0.9
〔就業状態〕／労働力人口,8136,7953,183,2.3,4537,4456,81,1.8,3599,3497,102,2.9
〔就業状態〕／労働力人口／就業者数,7946,7723,223,2.9,4435,4314,121,2.8,3511,3409,102,3
〔就業状態〕／労働力人口／就業者数／自営業主数,565,524,41,7.8,400,362,38,10.5,165,162,3,1.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,102,105,-3,-2.9,28,23,5,21.7,75,82,-7,-8.5
〔就業状態〕／労働力人口／就業者数／雇用者数,7202,7052,150,2.1,3966,3909,57,1.5,3235,3144,91,2.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4279,4242,37,0.9,2755,2723,32,1.2,1523,1520,3,0.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2451,2292,159,6.9,844,782,62,7.9,1608,1510,98,6.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1702,1506,196,13,503,426,77,18.1,1199,1080,119,11
〔就業状態〕／労働力人口／完全失業者数,190,230,-40,-17.4,102,142,-40,-28.2,88,88,0,0
〔就業状態〕／非労働力人口,4139,4227,-88,-2.1,1475,1516,-41,-2.7,2665,2711,-46,-1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,7946,7723,223,2.9,4435,4314,121,2.8,3511,3409,102,3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7713,7502,211,2.8,4361,4243,118,2.8,3352,3259,93,2.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6488,6438,50,0.8,4088,4034,54,1.3,2401,2404,-3,-0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,330,255,75,29.4,183,125,58,46.4,147,130,17,13.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,895,809,86,10.6,91,84,7,8.3,804,725,79,10.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,233,221,12,5.4,74,71,3,4.2,159,151,8,5.3
〔就業者の主な産業別内訳〕／建設業,456,419,37,8.8,365,338,27,8,90,81,9,11.1
〔就業者の主な産業別内訳〕／製造業,682,690,-8,-1.2,476,467,9,1.9,206,223,-17,-7.6
〔就業者の主な産業別内訳〕／情報通信業,738,708,30,4.2,536,496,40,8.1,202,212,-10,-4.7
〔就業者の主な産業別内訳〕／運輸業，郵便業,362,368,-6,-1.6,292,294,-2,-0.7,70,74,-4,-5.4
〔就業者の主な産業別内訳〕／卸売業，小売業,1259,1283,-24,-1.9,636,659,-23,-3.5,623,623,0,0
〔就業者の主な産業別内訳〕／金融業，保険業,287,326,-39,-12,126,169,-43,-25.4,161,158,3,1.9
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,269,259,10,3.9,151,155,-4,-2.6,117,103,14,13.6
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,488,495,-7,-1.4,312,298,14,4.7,176,198,-22,-11.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,599,531,68,12.8,278,262,16,6.1,321,269,52,19.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,308,285,23,8.1,114,113,1,0.9,194,172,22,12.8
〔就業者の主な産業別内訳〕／教育，学習支援業,358,379,-21,-5.5,172,159,13,8.2,185,220,-35,-15.9
〔就業者の主な産業別内訳〕／医療，福祉,843,855,-12,-1.4,233,225,8,3.6,610,630,-20,-3.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,676,604,72,11.9,393,347,46,13.3,283,257,26,10.1
〔雇用者の主な産業別内訳〕／建設業,391,374,17,4.5,308,295,13,4.4,83,79,4,5.1
〔雇用者の主な産業別内訳〕／製造業,650,662,-12,-1.8,455,452,3,0.7,195,210,-15,-7.1
〔雇用者の主な産業別内訳〕／情報通信業,691,680,11,1.6,506,481,25,5.2,185,199,-14,-7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,334,346,-12,-3.5,265,272,-7,-2.6,69,74,-5,-6.8
〔雇用者の主な産業別内訳〕／卸売業，小売業,1183,1224,-41,-3.3,588,624,-36,-5.8,595,599,-4,-0.7
〔雇用者の主な産業別内訳〕／金融業，保険業,282,324,-42,-13,123,168,-45,-26.8,159,156,3,1.9
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,249,218,31,14.2,146,135,11,8.1,103,83,20,24.1
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,370,386,-16,-4.1,231,227,4,1.8,139,159,-20,-12.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,522,452,70,15.5,234,216,18,8.3,289,236,53,22.5
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,250,227,23,10.1,87,88,-1,-1.1,163,139,24,17.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,325,348,-23,-6.6,162,145,17,11.7,162,202,-40,-19.8
〔雇用者の主な産業別内訳〕／医療，福祉,814,802,12,1.5,213,197,16,8.1,601,605,-4,-0.7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,626,554,72,13,362,312,50,16,264,242,22,9.1
〔非農林業雇用者の従業者規模別内訳〕／総数,7192,7040,152,2.2,3963,3901,62,1.6,3230,3139,91,2.9
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1711,1680,31,1.8,946,920,26,2.8,765,760,5,0.7
