区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12197,12110,87,0.7,5978,5942,36,0.6,6219,6168,51,0.8
〔就業状態〕／労働力人口,8094,7795,299,3.8,4501,4413,88,2,3593,3382,211,6.2
〔就業状態〕／労働力人口／就業者数,7875,7560,315,4.2,4376,4279,97,2.3,3499,3281,218,6.6
〔就業状態〕／労働力人口／就業者数／自営業主数,590,553,37,6.7,396,378,18,4.8,194,175,19,10.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,86,73,13,17.8,12,15,-3,-20,74,58,16,27.6
〔就業状態〕／労働力人口／就業者数／雇用者数,7152,6898,254,3.7,3941,3866,75,1.9,3211,3032,179,5.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4228,4027,201,5,2742,2669,73,2.7,1486,1358,128,9.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2430,2335,95,4.1,834,791,43,5.4,1597,1543,54,3.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1608,1526,82,5.4,450,432,18,4.2,1158,1095,63,5.8
〔就業状態〕／労働力人口／完全失業者数,218,235,-17,-7.2,125,133,-8,-6,94,101,-7,-6.9
〔就業状態〕／非労働力人口,4099,4309,-210,-4.9,1476,1526,-50,-3.3,2623,2783,-160,-5.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,7875,7560,315,4.2,4376,4279,97,2.3,3499,3281,218,6.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7619,7298,321,4.4,4293,4196,97,2.3,3326,3102,224,7.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6455,6260,195,3.1,4070,4013,57,1.4,2384,2247,137,6.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,283,249,34,13.7,146,126,20,15.9,138,123,15,12.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,881,790,91,11.5,77,57,20,35.1,804,732,72,9.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,256,262,-6,-2.3,83,83,0,0,173,179,-6,-3.4
〔就業者の主な産業別内訳〕／建設業,475,421,54,12.8,381,351,30,8.5,94,70,24,34.3
〔就業者の主な産業別内訳〕／製造業,749,699,50,7.2,532,477,55,11.5,217,221,-4,-1.8
〔就業者の主な産業別内訳〕／情報通信業,746,690,56,8.1,528,468,60,12.8,218,222,-4,-1.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,339,377,-38,-10.1,268,310,-42,-13.5,71,66,5,7.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1315,1258,57,4.5,629,637,-8,-1.3,686,621,65,10.5
〔就業者の主な産業別内訳〕／金融業，保険業,301,281,20,7.1,130,130,0,0,171,151,20,13.2
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,238,261,-23,-8.8,133,156,-23,-14.7,105,105,0,0
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,526,484,42,8.7,321,293,28,9.6,205,191,14,7.3
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,555,517,38,7.4,253,235,18,7.7,302,282,20,7.1
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,269,268,1,0.4,108,124,-16,-12.9,161,145,16,11
〔就業者の主な産業別内訳〕／教育，学習支援業,384,391,-7,-1.8,171,181,-10,-5.5,212,210,2,1
〔就業者の主な産業別内訳〕／医療，福祉,777,779,-2,-0.3,223,243,-20,-8.2,554,537,17,3.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,682,653,29,4.4,396,379,17,4.5,286,274,12,4.4
〔雇用者の主な産業別内訳〕／建設業,397,359,38,10.6,312,291,21,7.2,85,67,18,26.9
〔雇用者の主な産業別内訳〕／製造業,715,675,40,5.9,512,464,48,10.3,203,210,-7,-3.3
〔雇用者の主な産業別内訳〕／情報通信業,712,650,62,9.5,505,438,67,15.3,207,212,-5,-2.4
〔雇用者の主な産業別内訳〕／運輸業，郵便業,316,351,-35,-10,246,285,-39,-13.7,70,66,4,6.1
〔雇用者の主な産業別内訳〕／卸売業，小売業,1248,1184,64,5.4,593,596,-3,-0.5,655,588,67,11.4
〔雇用者の主な産業別内訳〕／金融業，保険業,300,277,23,8.3,129,126,3,2.4,171,150,21,14
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,209,237,-28,-11.8,121,143,-22,-15.4,88,94,-6,-6.4
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,375,351,24,6.8,233,219,14,6.4,142,132,10,7.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,488,457,31,6.8,220,202,18,8.9,267,255,12,4.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,223,211,12,5.7,90,92,-2,-2.2,132,119,13,10.9
〔雇用者の主な産業別内訳〕／教育，学習支援業,343,359,-16,-4.5,162,172,-10,-5.8,181,187,-6,-3.2
〔雇用者の主な産業別内訳〕／医療，福祉,737,746,-9,-1.2,196,219,-23,-10.5,542,527,15,2.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,629,611,18,2.9,357,354,3,0.8,272,257,15,5.8
〔非農林業雇用者の従業者規模別内訳〕／総数,7146,6882,264,3.8,3936,3856,80,2.1,3210,3026,184,6.1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1730,1701,29,1.7,945,926,19,2.1,786,776,10,1.3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2152,2095,57,2.7,1189,1156,33,2.9,963,939,24,2.6
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2707,2501,206,8.2,1515,1443,72,5,1192,1058,134,12.7
〔完全失業率（年齢階級別）(%)〕／総数,2.7,3,-0.3,…,2.8,3,-0.2,…,2.6,3,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,2.6,4.8,-2.2,…,3,5.4,-2.4,…,2.5,4.3,-1.8,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.8,2.9,0.9,…,4.4,3,1.4,…,3.2,2.7,0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.2,3.5,-1.3,…,1.8,3.2,-1.4,…,2.8,3.9,-1.1,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.4,2.4,0,…,2.8,2.3,0.5,…,2.1,2.5,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.1,2.7,0.4,…,3.2,2.8,0.4,…,2.9,2.5,0.4,…
